BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-02-22,8.1,27831000,229173926.4
TQBR,2024-02-26,7.683,16546400,129810256.4
TQBR,2024-02-27,7.39,15955500,118829278.8
TQBR,2024-02-28,7.515,7297700,54744770.8
TQBR,2024-02-29,8.484,34725600,284678090.7
TQBR,2024-03-01,8.433,17195600,146578927.7
TQBR,2024-03-04,8.643,6587300,56122380.1
TQBR,2024-03-05,8.3,4508700,38021091.2
TQBR,2024-03-06,8.23,3168400,26247622.1
TQBR,2024-03-07,8.506,4272000,35912801.7
TQBR,2024-03-11,8.476,2668600,22503420.9
TQBR,2024-03-12,8.5,2747800,23230211.2
TQBR,2024-03-13,8.449,2326700,19483345.1
TQBR,2024-03-14,8.454,1714500,14387818.7
TQBR,2024-03-15,8.479,1280500,10763617.8
TQBR,2024-03-18,8.415,2070200,17370365.4
TQBR,2024-03-19,8.386,1989800,16735131.8
TQBR,2024-03-20,8.37,2311300,19254131.4
TQBR,2024-03-21,8.445,2067500,17305970.1
TQBR,2024-03-22,8.415,3098300,25841269.5
TQBR,2024-03-25,8.285,715200,5936379.6
TQBR,2024-03-26,8.128,1748300,14349003.7
TQBR,2024-03-27,7.931,2379700,18994533.5
TQBR,2024-03-28,7.991,2028500,16375600.8
TQBR,2024-03-29,8.012,974700,7805437.5
TQBR,2024-04-01,8.131,2819400,22985724.3
TQBR,2024-04-02,8.001,1194400,9587010.0
TQBR,2024-04-03,8.0,770700,6197344.8
TQBR,2024-04-04,8.046,608100,4891108.6
TQBR,2024-04-05,8.048,576000,4650707.1
TQBR,2024-04-08,8.015,855400,6899325.7
TQBR,2024-04-09,8.056,875700,7092654.6
TQBR,2024-04-10,8.049,591800,4755522.0
TQBR,2024-04-11,8.041,612100,4912482.0
TQBR,2024-04-12,8.001,734800,5884750.2
TQBR,2024-04-15,8.007,1234800,9908294.9
TQBR,2024-04-16,8.04,4769800,38552529.2
TQBR,2024-04-17,8.15,1768600,14411235.1
TQBR,2024-04-18,8.267,2030800,16628788.7
TQBR,2024-04-19,8.186,1550500,12774093.4
TQBR,2024-04-22,8.12,1631200,13284007.5
TQBR,2024-04-23,8.093,817600,6614836.0
TQBR,2024-04-24,8.018,1021100,8215264.1
TQBR,2024-04-25,8.037,950400,7619364.9
TQBR,2024-04-26,8.041,1029900,8286843.1
TQBR,2024-04-27,8.027,679000,5454941.3
TQBR,2024-04-29,8.051,615500,4932750.5
TQBR,2024-04-30,8.023,380800,3057344.6
TQBR,2024-05-02,7.972,764500,6115367.8
TQBR,2024-05-03,7.964,502500,4001329.6
TQBR,2024-05-06,7.738,1882000,14681516.4
TQBR,2024-05-07,7.818,1071200,8318688.2
TQBR,2024-05-08,7.726,733500,5674277.0
TQBR,2024-05-10,7.734,242400,1874732.8
TQBR,2024-05-13,7.766,637100,4953715.0
TQBR,2024-05-14,7.688,731300,5646500.6
TQBR,2024-05-15,7.576,974900,7437685.6
TQBR,2024-05-16,7.55,646700,4909895.6
TQBR,2024-05-17,7.49,855700,6428830.2
TQBR,2024-05-20,7.406,1653300,12302286.0
TQBR,2024-05-21,7.204,1408600,10269441.2
TQBR,2024-05-22,7.232,699500,5052814.2
TQBR,2024-05-23,7.224,572600,4125673.0
TQBR,2024-05-24,7.154,443300,3183158.2
TQBR,2024-05-27,7.014,1081300,7673164.4
TQBR,2024-05-28,6.794,2120300,14466598.6
TQBR,2024-05-29,6.75,990500,6622328.8
TQBR,2024-05-30,6.778,993100,6772020.6
TQBR,2024-05-31,6.45,1100200,7218513.8
TQBR,2024-06-03,6.278,1602100,9921449.8
TQBR,2024-06-04,6.55,1020100,6520245.8
TQBR,2024-06-05,6.752,585100,3954578.2
TQBR,2024-06-06,6.572,931200,6102747.8
TQBR,2024-06-07,6.756,1217800,8192461.0
TQBR,2024-06-10,6.756,213100,1459362.4
TQBR,2024-06-11,6.536,587200,3884667.8
TQBR,2024-06-13,6.412,1460500,9256228.2
TQBR,2024-06-14,6.402,225600,1447492.8
TQBR,2024-06-17,6.4,253200,1633268.4
TQBR,2024-06-18,6.402,1098000,6989040.2
TQBR,2024-06-19,6.382,443400,2807724.4
TQBR,2024-06-20,6.37,473900,3029968.4
TQBR,2024-06-21,6.668,659000,4271602.6
TQBR,2024-06-24,7.78,24779200,187255543.2
TQBR,2024-06-25,7.102,13198600,97004622.8
TQBR,2024-06-26,6.95,5405200,38795859.0
TQBR,2024-06-27,6.888,3076600,21279684.8
TQBR,2024-06-28,6.77,795700,5471267.0
TQBR,2024-07-01,6.776,1166800,7908636.2
TQBR,2024-07-02,6.944,4430000,31235000.2
TQBR,2024-07-03,6.878,2761000,19279455.8
TQBR,2024-07-04,6.726,1690000,11370608.2
TQBR,2024-07-05,6.506,1208400,7903428.0
TQBR,2024-07-08,6.426,435600,2810492.6
TQBR,2024-07-09,6.16,1067800,6679776.6
TQBR,2024-07-10,6.048,829600,5039405.0
TQBR,2024-07-11,6.31,951000,5839301.4
TQBR,2024-07-12,6.252,368000,2292578.4
TQBR,2024-07-15,6.128,474300,2894143.8
TQBR,2024-07-16,6.0,1097100,6567338.6
TQBR,2024-07-17,6.028,859700,5201928.2
TQBR,2024-07-18,6.116,470700,2868938.8
TQBR,2024-07-19,6.3,1211400,7676242.4
TQBR,2024-07-22,6.29,1149100,7250714.6
TQBR,2024-07-23,6.226,1236000,7679989.6
TQBR,2024-07-24,6.36,1214100,7706472.2
TQBR,2024-07-25,6.368,1561200,10045620.4
TQBR,2024-07-26,6.23,953800,6047587.4
TQBR,2024-07-29,6.106,516800,3170163.0
TQBR,2024-07-30,6.164,343400,2119543.2
TQBR,2024-07-31,6.288,304000,1898568.4
TQBR,2024-08-01,6.272,262900,1656315.0
TQBR,2024-08-02,6.258,265300,1660736.0
TQBR,2024-08-05,6.054,839200,5079995.8
TQBR,2024-08-06,6.118,348900,2123579.6
TQBR,2024-08-07,6.08,1108400,6663809.0
TQBR,2024-08-08,6.02,344500,2080391.8
TQBR,2024-08-09,6.032,192800,1161089.6
TQBR,2024-08-12,5.978,466900,2783919.0
TQBR,2024-08-13,6.052,844200,5104917.0
TQBR,2024-08-14,6.018,358900,2173235.4
TQBR,2024-08-15,6.036,350800,2112441.4
TQBR,2024-08-16,6.006,166200,1000229.2
TQBR,2024-08-19,5.952,356900,2130423.4
TQBR,2024-08-20,5.81,1026500,6009351.8
TQBR,2024-08-21,5.724,731000,4175881.8
TQBR,2024-08-22,5.34,2061800,11287666.2
TQBR,2024-08-23,5.174,1066500,5580833.8
TQBR,2024-08-26,5.25,1534500,8069739.6
TQBR,2024-08-27,5.238,409500,2178701.4
TQBR,2024-08-28,5.07,1250800,6338532.4
TQBR,2024-08-29,4.934,646200,3195923.2
TQBR,2024-08-30,4.598,2040000,9513964.8
TQBR,2024-09-02,4.156,2055800,8765313.8
TQBR,2024-09-03,4.298,1113600,4762579.8
TQBR,2024-09-04,4.53,701900,3095622.8
TQBR,2024-09-05,4.58,615600,2823432.2
TQBR,2024-09-06,4.628,196000,907327.6
TQBR,2024-09-09,4.644,436400,2051236.0
TQBR,2024-09-10,4.66,562900,2620303.0
TQBR,2024-09-11,4.57,906700,4141826.4
TQBR,2024-09-12,4.458,442500,1968648.8
TQBR,2024-09-13,4.45,401600,1763509.8
TQBR,2024-09-16,4.542,608300,2783388.8
TQBR,2024-09-17,4.712,495000,2318742.4
TQBR,2024-09-18,4.856,1339200,6535339.4
TQBR,2024-09-19,4.844,516400,2503916.6
TQBR,2024-09-20,5.054,1274700,6395337.4
TQBR,2024-09-23,5.136,953400,4862106.4
TQBR,2024-09-24,5.122,494800,2528435.6
TQBR,2024-09-25,5.026,634700,3229784.2
TQBR,2024-09-26,4.95,662400,3237451.8
TQBR,2024-09-27,5.016,423600,2123767.6
TQBR,2024-09-30,4.994,240900,1214765.0
