BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,430.0,6,2700.0
TQBR,2014-06-10,500.0,204,101246.5
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,494.0,5,2470.0
TQBR,2014-06-17,520.0,230,119360.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,525.0,1,525.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,500.0,1,500.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,450.0,1,450.0
TQBR,2014-07-02,458.7,8,3669.6
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,490.0,1,490.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,484.0,3,1452.0
TQBR,2014-07-15,484.0,19,9196.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,487.0,611,306059.4
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,490.0,7,3430.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,519.0,2,960.9
TQBR,2014-07-28,480.0,5,2340.5
TQBR,2014-07-29,480.0,13,6136.0
TQBR,2014-07-30,460.0,7,3220.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,490.0,21,10088.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,480.0,15,7170.0
TQBR,2014-08-06,475.1,1,475.1
TQBR,2014-08-07,475.0,31,14725.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,460.5,16,8256.7
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,450.0,45,20272.3
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,450.0,143,64423.7
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,498.0,30,14940.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,488.0,3,1464.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,480.0,10,4894.5
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,450.0,400,180006.3
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,450.0,46,20810.7
TQBR,2014-09-17,450.0,69,31050.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,451.1,2,902.2
TQBR,2014-09-23,450.0,120,54000.0
TQBR,2014-09-24,450.0,4,1800.0
TQBR,2014-09-25,460.0,10,4600.0
TQBR,2014-09-26,470.0,231,101073.1
TQBR,2014-09-29,425.0,89,37825.0
TQBR,2014-09-30,469.9,3,1409.7
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,425.0,35,14878.0
TQBR,2014-10-03,425.0,26,11050.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,453.0,2,922.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,460.0,2,910.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,469.0,27,12532.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,468.0,26,10518.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,430.0,24,10322.0
TQBR,2014-10-31,400.0,30,12029.0
TQBR,2014-11-03,479.0,1,479.0
TQBR,2014-11-05,460.0,4,1840.0
TQBR,2014-11-06,400.0,68,27962.0
TQBR,2014-11-07,445.0,21,9289.0
TQBR,2014-11-10,405.0,66,29965.0
TQBR,2014-11-11,454.0,311,126008.0
TQBR,2014-11-12,467.0,379,177457.0
TQBR,2014-11-13,468.0,58,26551.0
TQBR,2014-11-14,469.0,248,114524.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,468.0,106,49025.0
TQBR,2014-11-19,481.0,1,481.0
TQBR,2014-11-20,450.0,763,332774.0
TQBR,2014-11-21,470.0,150,66766.0
TQBR,2014-11-24,500.0,44,21927.0
TQBR,2014-11-25,458.0,10,5046.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,470.0,78,35862.0
TQBR,2014-12-01,,0,0.0
TQBR,2014-12-02,451.0,1,451.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,470.0,40,18399.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,497.0,2,903.0
TQBR,2014-12-09,404.0,1,404.0
TQBR,2014-12-10,,0,0.0
TQBR,2014-12-11,,0,0.0
TQBR,2014-12-12,,0,0.0
TQBR,2014-12-15,,0,0.0
TQBR,2014-12-16,408.0,26,10574.0
TQBR,2014-12-17,410.0,21,8329.0
TQBR,2014-12-18,433.0,3,1287.0
TQBR,2014-12-19,405.0,5,2028.0
TQBR,2014-12-22,,0,0.0
TQBR,2014-12-23,406.0,35,14210.0
TQBR,2014-12-24,,0,0.0
TQBR,2014-12-25,,0,0.0
TQBR,2014-12-26,,0,0.0
TQBR,2014-12-29,,0,0.0
TQBR,2014-12-30,,0,0.0
TQBR,2015-01-05,,0,0.0
TQBR,2015-01-06,,0,0.0
TQBR,2015-01-08,,0,0.0
TQBR,2015-01-09,420.0,9,4054.0
TQBR,2015-01-12,,0,0.0
TQBR,2015-01-13,,0,0.0
TQBR,2015-01-14,449.0,1,449.0
TQBR,2015-01-15,449.0,8,3594.0
TQBR,2015-01-16,,0,0.0
TQBR,2015-01-19,479.0,8,3821.0
TQBR,2015-01-20,479.0,2,958.0
TQBR,2015-01-21,478.0,3,1434.0
TQBR,2015-01-22,400.0,37,15950.0
TQBR,2015-01-23,477.0,8,3814.0
TQBR,2015-01-26,,0,0.0
TQBR,2015-01-27,460.0,2,920.0
TQBR,2015-01-28,470.0,1,470.0
TQBR,2015-01-29,476.0,2,952.0
TQBR,2015-01-30,,0,0.0
TQBR,2015-02-02,460.0,12,5723.0
TQBR,2015-02-03,,0,0.0
TQBR,2015-02-04,479.0,31,14847.0
TQBR,2015-02-05,509.0,149,74302.0
TQBR,2015-02-06,507.0,12,5174.0
TQBR,2015-02-09,450.0,18,8258.0
TQBR,2015-02-10,507.0,170,86424.0
TQBR,2015-02-11,500.0,209,100060.0
TQBR,2015-02-12,500.0,2,1000.0
TQBR,2015-02-13,500.0,3,1500.0
TQBR,2015-02-16,500.0,68,34181.0
TQBR,2015-02-17,512.0,10,4954.0
TQBR,2015-02-18,500.0,16,8052.0
TQBR,2015-02-19,480.0,53,25443.0
TQBR,2015-02-20,,0,0.0
TQBR,2015-02-24,500.0,1,500.0
TQBR,2015-02-25,490.0,83,40650.0
TQBR,2015-02-26,516.0,109,55963.0
TQBR,2015-02-27,600.0,264,144731.0
TQBR,2015-03-02,584.0,11,5915.0
TQBR,2015-03-03,577.0,16,9319.0
TQBR,2015-03-04,522.0,49,25661.0
TQBR,2015-03-05,532.0,4,2191.0
TQBR,2015-03-06,520.0,57,29938.0
TQBR,2015-03-10,520.0,67,38751.0
TQBR,2015-03-11,551.0,33,17191.0
TQBR,2015-03-12,594.0,25,14593.0
TQBR,2015-03-13,,0,0.0
TQBR,2015-03-16,550.0,24,14151.0
TQBR,2015-03-17,,0,0.0
TQBR,2015-03-18,585.0,2,1130.0
TQBR,2015-03-19,,0,0.0
TQBR,2015-03-20,533.0,15,7995.0
TQBR,2015-03-23,,0,0.0
TQBR,2015-03-24,,0,0.0
TQBR,2015-03-25,,0,0.0
TQBR,2015-03-26,514.0,45,22147.0
TQBR,2015-03-27,,0,0.0
TQBR,2015-03-30,475.0,28,13349.0
TQBR,2015-03-31,500.0,352,175921.0
TQBR,2015-04-01,476.0,494,247113.0
TQBR,2015-04-02,480.0,3,1463.0
TQBR,2015-04-03,,0,0.0
TQBR,2015-04-06,575.0,1,575.0
TQBR,2015-04-07,488.0,2,1058.0
TQBR,2015-04-08,,0,0.0
TQBR,2015-04-09,481.0,1,481.0
TQBR,2015-04-10,468.0,10,4771.0
TQBR,2015-04-13,480.0,4,1923.0
TQBR,2015-04-14,514.0,4,1966.0
TQBR,2015-04-15,503.0,80,37151.0
TQBR,2015-04-16,486.0,3,1458.0
TQBR,2015-04-17,498.0,10,4924.0
TQBR,2015-04-20,501.0,33,17066.0
TQBR,2015-04-21,532.0,31,16485.0
TQBR,2015-04-22,,0,0.0
TQBR,2015-04-23,,0,0.0
TQBR,2015-04-24,530.0,10,5300.0
TQBR,2015-04-27,501.0,46,23507.0
TQBR,2015-04-28,500.0,16,8000.0
TQBR,2015-04-29,,0,0.0
TQBR,2015-04-30,510.0,2,1010.0
TQBR,2015-05-05,,0,0.0
TQBR,2015-05-06,490.0,46,22989.0
TQBR,2015-05-07,,0,0.0
TQBR,2015-05-08,,0,0.0
TQBR,2015-05-12,,0,0.0
TQBR,2015-05-13,470.0,97,44279.0
TQBR,2015-05-14,465.0,7,3253.0
TQBR,2015-05-15,455.0,33,14920.0
TQBR,2015-05-18,,0,0.0
TQBR,2015-05-19,459.0,5,2295.0
TQBR,2015-05-20,480.0,10,4800.0
TQBR,2015-05-21,463.0,5,2316.0
TQBR,2015-05-22,,0,0.0
TQBR,2015-05-25,,0,0.0
TQBR,2015-05-26,469.0,5,2345.0
TQBR,2015-05-27,468.0,55,25515.0
TQBR,2015-05-28,,0,0.0
TQBR,2015-05-29,470.0,2,940.0
TQBR,2015-06-01,460.0,1,460.0
TQBR,2015-06-02,470.0,5,2350.0
TQBR,2015-06-03,,0,0.0
TQBR,2015-06-04,,0,0.0
TQBR,2015-06-05,460.0,26,11941.0
TQBR,2015-06-08,480.0,104,46200.0
TQBR,2015-06-09,,0,0.0
TQBR,2015-06-10,440.0,203,87804.0
TQBR,2015-06-11,,0,0.0
TQBR,2015-06-15,,0,0.0
TQBR,2015-06-16,447.0,19,8464.0
TQBR,2015-06-17,439.0,43,18733.0
TQBR,2015-06-18,438.0,16,7023.0
TQBR,2015-06-19,449.0,541,234898.0
TQBR,2015-06-22,455.0,46,20930.0
TQBR,2015-06-23,447.0,17,7601.0
TQBR,2015-06-24,,0,0.0
TQBR,2015-06-25,426.0,172,73956.0
TQBR,2015-06-26,433.0,326,141202.0
TQBR,2015-06-29,,0,0.0
TQBR,2015-06-30,439.0,5,2195.0
TQBR,2015-07-01,435.0,2,873.0
TQBR,2015-07-02,432.0,61,26424.0
TQBR,2015-07-03,438.0,12,5248.0
TQBR,2015-07-06,430.0,17,7310.0
TQBR,2015-07-07,418.0,30,12711.0
TQBR,2015-07-08,414.0,1,414.0
TQBR,2015-07-09,,0,0.0
TQBR,2015-07-10,425.0,74,31387.0
TQBR,2015-07-13,427.0,63,25849.0
TQBR,2015-07-14,,0,0.0
TQBR,2015-07-15,425.0,200,85000.0
TQBR,2015-07-16,434.0,16,7251.0
TQBR,2015-07-17,438.0,2,876.0
TQBR,2015-07-20,437.0,18,7845.0
TQBR,2015-07-21,443.0,11,4902.0
TQBR,2015-07-22,434.0,5,2206.0
TQBR,2015-07-23,,0,0.0
TQBR,2015-07-24,424.0,3,1295.0
TQBR,2015-07-27,,0,0.0
TQBR,2015-07-28,421.0,1,421.0
TQBR,2015-07-29,415.0,1,415.0
TQBR,2015-07-30,,0,0.0
TQBR,2015-07-31,,0,0.0
TQBR,2015-08-03,421.0,1,421.0
TQBR,2015-08-04,425.0,4,1700.0
TQBR,2015-08-05,448.0,36,16027.0
TQBR,2015-08-06,454.0,22,9819.0
TQBR,2015-08-07,450.0,34,15424.0
TQBR,2015-08-10,,0,0.0
TQBR,2015-08-11,404.0,718,295503.0
TQBR,2015-08-12,400.0,659,259345.0
TQBR,2015-08-13,394.0,18,7191.0
TQBR,2015-08-14,381.0,1180,483586.0
TQBR,2015-08-17,380.0,230,87502.0
TQBR,2015-08-18,395.0,1,395.0
TQBR,2015-08-19,392.0,221,88367.0
TQBR,2015-08-20,,0,0.0
TQBR,2015-08-21,400.0,277,107842.0
TQBR,2015-08-24,400.0,10,4025.0
TQBR,2015-08-25,396.0,11,4336.0
TQBR,2015-08-26,397.0,3,1191.0
TQBR,2015-08-27,405.0,114,46142.0
TQBR,2015-08-28,,0,0.0
TQBR,2015-08-31,384.0,260,100110.0
TQBR,2015-09-01,395.0,4,1576.0
TQBR,2015-09-02,,0,0.0
TQBR,2015-09-03,390.0,320,120170.0
TQBR,2015-09-04,397.0,80,30989.0
TQBR,2015-09-07,388.0,15,5922.0
TQBR,2015-09-08,399.0,9,3584.0
TQBR,2015-09-09,396.0,444,175441.0
TQBR,2015-09-10,400.0,1,400.0
TQBR,2015-09-11,399.0,1,399.0
TQBR,2015-09-14,402.0,18,7327.0
TQBR,2015-09-15,400.0,26,10440.0
TQBR,2015-09-16,397.0,13,5167.0
TQBR,2015-09-17,,0,0.0
TQBR,2015-09-18,397.0,105,40814.0
TQBR,2015-09-21,387.0,205,74754.0
TQBR,2015-09-22,373.0,30,11203.0
TQBR,2015-09-23,375.0,220,78719.0
TQBR,2015-09-24,396.0,50,19272.0
TQBR,2015-09-25,,0,0.0
TQBR,2015-09-28,387.0,377,148104.0
TQBR,2015-09-29,388.0,255,97930.0
TQBR,2015-09-30,381.0,1,381.0
TQBR,2015-10-01,393.0,4,1568.0
TQBR,2015-10-02,389.0,1042,401110.0
TQBR,2015-10-05,381.0,261,100221.0
TQBR,2015-10-06,,0,0.0
TQBR,2015-10-07,385.0,1455,557387.0
TQBR,2015-10-08,377.0,403,154736.0
TQBR,2015-10-09,385.0,8,3071.0
TQBR,2015-10-12,,0,0.0
TQBR,2015-10-13,,0,0.0
TQBR,2015-10-14,390.0,358,139394.0
TQBR,2015-10-15,385.0,202,78697.0
TQBR,2015-10-16,380.0,114,43418.0
TQBR,2015-10-19,376.0,278,106304.0
TQBR,2015-10-20,360.0,50,18211.0
TQBR,2015-10-21,364.0,1122,400995.0
TQBR,2015-10-22,,0,0.0
TQBR,2015-10-23,380.0,34,12907.0
TQBR,2015-10-26,399.0,332,133197.0
TQBR,2015-10-27,390.0,151,58890.0
TQBR,2015-10-28,380.0,1732,625028.0
TQBR,2015-10-29,391.0,15,5849.0
TQBR,2015-10-30,390.0,80,31031.0
TQBR,2015-11-02,387.0,5,1921.0
TQBR,2015-11-03,390.0,52,20207.0
TQBR,2015-11-05,386.0,1,386.0
TQBR,2015-11-06,375.0,526,194933.0
TQBR,2015-11-09,,0,0.0
TQBR,2015-11-10,,0,0.0
TQBR,2015-11-11,370.0,33,12219.0
TQBR,2015-11-12,379.0,20,7503.0
TQBR,2015-11-13,390.0,54,21166.0
TQBR,2015-11-16,377.0,1,377.0
TQBR,2015-11-17,368.0,2156,775861.0
TQBR,2015-11-18,370.0,465,170316.0
TQBR,2015-11-19,373.0,70,26121.0
TQBR,2015-11-20,403.0,7287,2904299.0
TQBR,2015-11-23,443.0,8828,4059424.0
TQBR,2015-11-24,443.0,13655,6476999.0
TQBR,2015-11-25,434.0,2960,1302749.0
TQBR,2015-11-26,417.0,3559,1481908.0
TQBR,2015-11-27,410.0,2702,1089475.0
TQBR,2015-11-30,434.0,1693,705265.0
TQBR,2015-12-01,425.0,2405,1044539.0
TQBR,2015-12-02,410.0,931,386069.0
TQBR,2015-12-03,412.0,197,79830.0
TQBR,2015-12-04,410.0,303,122884.0
TQBR,2015-12-07,422.0,1128,478217.0
TQBR,2015-12-08,416.0,110,45462.0
TQBR,2015-12-09,407.0,100,40549.0
TQBR,2015-12-10,410.0,190,77897.0
TQBR,2015-12-11,414.0,126,51677.0
TQBR,2015-12-14,400.0,911,351657.0
TQBR,2015-12-15,406.0,649,260824.0
TQBR,2015-12-16,409.0,750,303387.0
TQBR,2015-12-17,413.0,20,8221.0
