BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,46820.0,2,93630
TQBR,2014-06-10,45990.0,13,591520
TQBR,2014-06-11,45180.0,1,45180
TQBR,2014-06-16,45360.0,5,229430
TQBR,2014-06-17,47500.0,9,427710
TQBR,2014-06-18,49500.0,10,488500
TQBR,2014-06-19,51000.0,3,151000
TQBR,2014-06-20,50010.0,3,153010
TQBR,2014-06-23,51800.0,2,103600
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,50000.0,5,249950
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,54000.0,16,792470
TQBR,2014-07-01,50000.0,2,100000
TQBR,2014-07-02,48210.0,4,195290
TQBR,2014-07-03,47590.0,1,47590
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,48000.0,1,48000
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,48990.0,8,385850
TQBR,2014-07-16,50000.0,29,1423450
TQBR,2014-07-17,52010.0,455,23754300
TQBR,2014-07-18,55000.0,10,550000
TQBR,2014-07-21,56490.0,14,759420
TQBR,2014-07-22,60000.0,49,2812970
TQBR,2014-07-23,60000.0,24,1419830
TQBR,2014-07-24,60000.0,33,1937170
TQBR,2014-07-25,60000.0,1,60000
TQBR,2014-07-28,58100.0,2,116600
TQBR,2014-07-29,57000.0,4,228000
TQBR,2014-07-30,60020.0,7,422120
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,57500.0,4,231540
TQBR,2014-08-04,58000.0,1,58000
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,55000.0,9,497040
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,60000.0,9,540000
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,60000.0,83,4979790
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,59500.0,1,59500
TQBR,2014-08-21,60000.0,64,3819000
TQBR,2014-08-22,60000.0,4,240000
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,57000.0,54,3172930
TQBR,2014-08-27,56900.0,10,562730
TQBR,2014-08-28,55000.0,4,222000
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,55000.0,1,55000
TQBR,2014-09-02,54000.0,3,162000
TQBR,2014-09-03,55510.0,14,817740
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,54000.0,15,810690
TQBR,2014-09-10,59760.0,33,1841780
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,56000.0,5,280000
TQBR,2014-09-15,55360.0,30,1782310
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,54870.0,23,1219390
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,59000.0,9,513640
TQBR,2014-10-01,54900.0,3,162100
TQBR,2014-10-02,54100.0,5,266300
