BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,170.0,280,48100.8
TQBR,2014-06-10,165.0,110,18650.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,170.0,20,3400.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,160.0,560,91226.8
TQBR,2014-06-23,160.0,330,52800.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,155.27,10,1552.7
TQBR,2014-06-26,158.0,710,112225.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,166.3,550,89915.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,160.01,150,24001.0
TQBR,2014-07-10,155.0,140,21950.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,166.3,1200,199246.5
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,169.0,210,33940.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,161.0,610,98790.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,161.0,350,56350.0
TQBR,2014-07-28,159.0,260,41350.0
TQBR,2014-07-29,156.0,220,34540.0
TQBR,2014-07-30,159.9,10,1599.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,142.1,2360,337339.5
TQBR,2014-08-07,141.02,210,29952.4
TQBR,2014-08-08,140.0,2890,405672.3
TQBR,2014-08-11,147.0,1000,154964.4
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,142.1,760,107763.5
TQBR,2014-08-14,137.02,290,41172.3
TQBR,2014-08-15,133.01,40,5380.3
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,136.0,40,5500.0
TQBR,2014-08-20,135.01,940,127644.1
TQBR,2014-08-21,135.3,2270,307131.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,162.61,300,48251.1
TQBR,2014-08-26,145.0,20,2899.9
TQBR,2014-08-27,140.0,200,28001.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,140.0,30,4210.0
TQBR,2014-09-03,154.0,1780,268168.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,157.0,800,123783.8
TQBR,2014-09-08,150.0,100,15000.0
TQBR,2014-09-09,158.8,20,3176.0
TQBR,2014-09-10,146.05,20,2921.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,146.05,100,14605.0
TQBR,2014-09-15,142.21,30,4282.1
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,140.0,30,4200.0
TQBR,2014-09-22,139.0,60,8340.0
TQBR,2014-09-23,139.0,10,1390.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,137.95,20,2759.0
TQBR,2014-09-29,136.44,20,2744.4
