BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,2.9,11000,35264
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,2.6,28000,72800
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,2.5,11000,27561
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,2.5,4000,10000
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,2.3,2000,4700
TQBR,2014-07-02,2.503,2000,5007
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,2.979,1000,2979
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,2.111,1000,2111
TQBR,2014-07-21,2.232,1000,2232
TQBR,2014-07-22,2.3,56000,128810
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,2.2,19000,41538
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,2.3,7000,16000
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,1.621,10000,20514
TQBR,2014-08-07,2.014,1000,2014
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,2.01,1000,2010
TQBR,2014-08-13,2.01,1000,2010
TQBR,2014-08-14,2.01,1000,2010
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,2.285,6000,13608
TQBR,2014-08-19,2.285,5000,11425
TQBR,2014-08-20,2.277,13000,29747
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
