BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,6.45,29000,188695.7
TQBR,2014-06-10,6.45,9000,58050.0
TQBR,2014-06-11,6.3718,13000,86770.6
TQBR,2014-06-16,6.3505,179000,1160551.7
TQBR,2014-06-17,6.2501,207000,1305270.5
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,6.4,30000,197999.3
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,6.3526,2000,13046.1
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,6.6997,10000,66997.0
TQBR,2014-06-30,6.2501,2000,12571.1
TQBR,2014-07-01,6.2,8000,49702.5
TQBR,2014-07-02,6.6997,37000,243707.6
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,6.47,180000,1168936.5
TQBR,2014-07-07,6.5499,12000,78099.9
TQBR,2014-07-08,6.5,19000,123500.0
TQBR,2014-07-09,6.55,10000,65150.0
TQBR,2014-07-10,6.5,70000,455000.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,6.5011,35000,227533.8
TQBR,2014-07-17,6.578,40000,263533.4
TQBR,2014-07-18,6.5995,1000,6599.5
TQBR,2014-07-21,6.5996,35000,227630.7
TQBR,2014-07-22,6.5997,39000,257376.6
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,6.7,80000,536000.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,6.6,161000,1085737.4
TQBR,2014-07-30,6.7001,58000,391777.9
TQBR,2014-07-31,6.5001,17000,111326.5
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,6.75,321000,2167361.0
TQBR,2014-08-05,7.1099,15000,106009.1
TQBR,2014-08-06,6.401,5000,32006.1
TQBR,2014-08-07,6.7,2000,13400.0
TQBR,2014-08-08,6.6497,8000,53197.6
