BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,2.9592,1000,2959.2
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,2.9589,2000,5917.9
TQBR,2014-06-20,2.95,1000,2950.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,2.9579,2000,5915.9
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,2.85,2000,5700.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,3.1624,3000,9487.1
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,2.989,35000,104582.6
TQBR,2014-07-08,2.9539,59000,173518.1
TQBR,2014-07-09,2.9307,1000,2930.7
TQBR,2014-07-10,2.9209,23000,67180.9
TQBR,2014-07-11,2.901,1000,2901.0
TQBR,2014-07-14,3.05,1000,3050.0
TQBR,2014-07-15,2.9126,2000,5854.7
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,2.901,14000,40614.3
TQBR,2014-07-18,2.91,1000,2910.0
TQBR,2014-07-21,2.9949,5000,14572.6
TQBR,2014-07-22,2.9499,2000,5879.9
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,2.8855,2000,5800.1
TQBR,2014-07-28,2.8652,72000,207040.5
TQBR,2014-07-29,2.9,1000,2900.0
TQBR,2014-07-30,2.9077,1000,2907.7
TQBR,2014-07-31,2.8498,79000,224177.2
TQBR,2014-08-01,2.87,11000,31570.0
TQBR,2014-08-04,2.8501,1000,2850.1
TQBR,2014-08-05,2.84,35000,99400.0
TQBR,2014-08-06,2.802,10000,28039.2
TQBR,2014-08-07,2.8497,61000,172942.0
TQBR,2014-08-08,2.808,1000,2808.0
