BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-03-29,950.0,5161193,5139557831.2
TQBR,2024-04-01,976.2,1235147,1192824154.0
TQBR,2024-04-02,960.0,440637,425543978.6
TQBR,2024-04-03,984.2,721561,701961951.5
TQBR,2024-04-04,1005.0,876915,876888175.0
TQBR,2024-04-05,1011.5,774458,781331249.7
TQBR,2024-04-08,1015.5,424832,432967010.2
TQBR,2024-04-09,997.9,459651,461168589.3
TQBR,2024-04-10,1002.0,394192,393523610.3
TQBR,2024-04-11,1005.0,300462,301441945.1
TQBR,2024-04-12,997.1,230511,231143531.1
TQBR,2024-04-15,991.7,261884,260837669.9
TQBR,2024-04-16,1008.0,500329,503038617.1
TQBR,2024-04-17,1004.3,296216,298572630.0
TQBR,2024-04-18,1005.0,267287,269141053.2
TQBR,2024-04-19,1040.0,1164353,1199204455.6
TQBR,2024-04-22,1044.0,708410,735154355.9
TQBR,2024-04-23,1037.2,439503,457377553.9
TQBR,2024-04-24,1044.0,657652,685352074.5
TQBR,2024-04-25,1050.0,659898,690295129.6
TQBR,2024-04-26,1054.7,520344,547959251.4
TQBR,2024-04-27,1047.0,393228,410079545.1
TQBR,2024-04-29,1050.0,81012,85142221.7
TQBR,2024-04-30,1040.6,50533,52722058.3
TQBR,2024-05-02,1046.5,165550,172597283.1
TQBR,2024-05-03,1047.2,109443,114803483.5
TQBR,2024-05-06,1035.5,148322,154204311.4
TQBR,2024-05-07,1023.2,180761,185576369.0
TQBR,2024-05-08,1038.7,180182,184413874.4
TQBR,2024-05-10,1036.3,41426,43031376.7
TQBR,2024-05-13,1028.0,152787,157254307.4
TQBR,2024-05-14,1025.9,102145,104759229.5
TQBR,2024-05-15,1014.7,138976,141602658.5
TQBR,2024-05-16,1028.6,381269,389880920.9
TQBR,2024-05-17,1045.1,311009,324607669.6
TQBR,2024-05-20,1040.7,124305,129292198.7
TQBR,2024-05-21,1030.1,88038,90760872.3
TQBR,2024-05-22,1033.0,73877,76493988.3
TQBR,2024-05-23,1027.6,117963,121251848.2
TQBR,2024-05-24,1017.0,229953,235393370.8
TQBR,2024-05-27,976.6,323128,321727688.5
TQBR,2024-05-28,989.0,195882,194273665.4
TQBR,2024-05-29,976.9,156108,152563302.2
TQBR,2024-05-30,996.4,287453,287757131.9
TQBR,2024-05-31,969.3,206160,201076871.3
TQBR,2024-06-03,982.8,323611,307574621.6
TQBR,2024-06-04,1000.9,287528,286518631.3
TQBR,2024-06-05,1020.4,236145,239681893.1
TQBR,2024-06-06,1003.4,92897,93616223.1
TQBR,2024-06-07,1012.0,162037,164407906.3
TQBR,2024-06-10,1015.0,275688,280130742.3
TQBR,2024-06-11,988.0,183606,182307810.8
TQBR,2024-06-13,985.8,248334,242610121.6
TQBR,2024-06-14,995.0,136679,135323927.9
TQBR,2024-06-17,965.0,168687,166186279.0
TQBR,2024-06-18,952.3,168924,162920241.0
TQBR,2024-06-19,938.4,162982,153715856.6
TQBR,2024-06-20,952.0,582309,551293961.4
TQBR,2024-06-21,941.5,169528,160666307.7
TQBR,2024-06-24,935.2,168204,156746532.8
TQBR,2024-06-25,915.4,188809,173222790.0
TQBR,2024-06-26,930.3,396506,362723717.5
TQBR,2024-06-27,908.5,268675,244813221.1
TQBR,2024-06-28,911.8,195869,178948946.5
TQBR,2024-07-01,914.9,101838,93164211.4
TQBR,2024-07-02,909.0,97353,88561203.7
TQBR,2024-07-03,901.0,235412,212035974.0
TQBR,2024-07-04,880.0,141157,125811803.1
TQBR,2024-07-05,895.0,733028,663883910.1
TQBR,2024-07-08,871.0,181525,158448988.6
TQBR,2024-07-09,848.3,190378,161963499.9
TQBR,2024-07-10,831.9,254986,214786352.7
TQBR,2024-07-11,893.6,196944,170932310.5
TQBR,2024-07-12,883.2,101346,89056266.3
TQBR,2024-07-15,856.9,129605,111810972.3
TQBR,2024-07-16,855.0,232384,196867108.8
TQBR,2024-07-17,849.9,118261,101361205.4
TQBR,2024-07-18,875.2,91242,79063549.1
