BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-12-01,,0,0.0
TQBR,2021-12-02,,0,0.0
TQBR,2021-12-03,,0,0.0
TQBR,2021-12-06,,0,0.0
TQBR,2021-12-07,,0,0.0
TQBR,2021-12-08,,0,0.0
TQBR,2021-12-09,,0,0.0
TQBR,2021-12-10,,0,0.0
TQBR,2021-12-13,,0,0.0
TQBR,2021-12-14,1095.0,42,45990.0
TQBR,2021-12-15,1150.0,1630,1872199.6
TQBR,2021-12-16,1264.4,4839,6031176.6
TQBR,2021-12-17,1301.0,6592,8908328.0
TQBR,2021-12-20,1150.0,7426,8845631.6
TQBR,2021-12-21,1111.8,4973,5592392.6
TQBR,2021-12-22,1057.0,7541,8069503.2
TQBR,2021-12-23,1014.0,9392,9670438.8
TQBR,2021-12-24,997.6,8144,8150506.8
TQBR,2021-12-27,1049.2,12164,12537660.8
TQBR,2021-12-28,1033.6,4720,4887539.0
TQBR,2021-12-29,999.0,14225,14261457.0
TQBR,2021-12-30,998.0,7618,7617281.2
TQBR,2022-01-03,1001.4,5219,5220595.4
TQBR,2022-01-04,1019.8,8034,8149704.8
TQBR,2022-01-05,1025.0,2104,2146796.0
TQBR,2022-01-06,1019.6,2142,2179341.8
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,999.0,11516,11557420.2
TQBR,2022-01-11,1008.8,2663,2658922.8
TQBR,2022-01-12,1009.2,2210,2228623.8
TQBR,2022-01-13,982.6,10076,10052815.2
TQBR,2022-01-14,977.2,8370,8195697.8
TQBR,2022-01-17,974.2,5476,5320532.0
TQBR,2022-01-18,933.8,11763,11211839.2
TQBR,2022-01-19,940.8,8376,7786482.6
TQBR,2022-01-20,958.6,3798,3616623.0
TQBR,2022-01-21,919.0,15082,13814624.2
TQBR,2022-01-24,826.8,23880,20052866.4
TQBR,2022-01-25,830.0,8717,7197073.0
TQBR,2022-01-26,858.0,3767,3217521.0
TQBR,2022-01-27,880.0,3228,2811923.0
TQBR,2022-01-28,898.0,3242,2895287.6
TQBR,2022-01-31,894.2,9945,8938894.0
TQBR,2022-02-01,907.0,2340,2119434.5
TQBR,2022-02-02,905.0,3534,3194356.0
TQBR,2022-02-03,888.0,2073,1839815.0
TQBR,2022-02-04,877.5,1908,1700512.0
TQBR,2022-02-07,872.5,2900,2521760.0
TQBR,2022-02-08,870.0,2736,2370212.5
TQBR,2022-02-09,885.0,2588,2285314.5
TQBR,2022-02-10,884.5,4171,3697388.5
TQBR,2022-02-11,879.0,7817,6903003.5
TQBR,2022-02-14,866.0,1490,1294606.0
TQBR,2022-02-15,878.0,3277,2900280.0
TQBR,2022-02-16,893.5,3849,3481383.5
TQBR,2022-02-17,883.5,4564,4075459.5
TQBR,2022-02-18,877.0,3176,2802779.5
TQBR,2022-02-21,839.0,18041,15659971.5
TQBR,2022-02-22,850.5,7748,6101358.0
TQBR,2022-02-23,,0,0.0
TQBR,2022-02-24,605.0,40975,21107155.5
TQBR,2022-02-25,645.0,10760,7236028.5
TQBR,2022-02-28,,0,0.0
TQBR,2022-03-01,,0,0.0
TQBR,2022-03-02,,0,0.0
TQBR,2022-03-03,,0,0.0
TQBR,2022-03-04,,0,0.0
TQBR,2022-03-09,,0,0.0
TQBR,2022-03-10,,0,0.0
TQBR,2022-03-11,,0,0.0
TQBR,2022-03-14,,0,0.0
TQBR,2022-03-15,,0,0.0
TQBR,2022-03-16,,0,0.0
TQBR,2022-03-17,,0,0.0
TQBR,2022-03-18,,0,0.0
TQBR,2022-03-21,,0,0.0
TQBR,2022-03-22,,0,0.0
TQBR,2022-03-23,,0,0.0
TQBR,2022-03-24,,0,0.0
TQBR,2022-03-25,,0,0.0
TQBR,2022-03-28,638.5,9672,5963661.5
TQBR,2022-03-29,708.0,11513,8001441.5
TQBR,2022-03-30,884.5,65865,57865798.0
TQBR,2022-03-31,863.0,26016,22371692.5
TQBR,2022-04-01,861.0,18306,16052781.5
TQBR,2022-04-04,855.5,7632,6584719.5
