BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,14.744,5300,79699.5
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,13.841,38500,565224.0
TQBR,2014-06-16,14.3,13800,197285.0
TQBR,2014-06-17,14.199,1200,16994.7
TQBR,2014-06-18,13.071,22800,301662.9
TQBR,2014-06-19,14.12,39400,551775.8
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,14.0,62300,882761.3
TQBR,2014-06-25,13.95,100,1395.0
TQBR,2014-06-26,14.146,300,4259.6
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,13.842,100,1384.2
TQBR,2014-07-01,13.772,4700,64485.3
TQBR,2014-07-02,13.987,700400,9595577.2
TQBR,2014-07-03,14.2,48400,687086.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,14.319,100,1431.9
TQBR,2014-07-08,14.257,4400,63833.9
TQBR,2014-07-09,14.301,200,2887.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,14.108,3500,49421.5
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,13.814,300,4144.2
TQBR,2014-07-18,14.479,500,6956.6
TQBR,2014-07-21,14.431,200,2863.2
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,14.001,1200,16932.8
TQBR,2014-07-24,14.0,2100,29399.0
TQBR,2014-07-25,14.0,14800,207162.5
TQBR,2014-07-28,13.939,1600,22189.8
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,13.75,200,2750.7
TQBR,2014-07-31,13.7,1500,20554.3
TQBR,2014-08-01,13.681,100,1368.1
TQBR,2014-08-04,13.702,1300,18134.9
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,13.886,2900,39615.1
TQBR,2014-08-07,13.009,4800,62819.5
TQBR,2014-08-08,13.499,200,2699.7
TQBR,2014-08-11,13.5,8500,108372.6
TQBR,2014-08-12,13.8,4500,62503.3
TQBR,2014-08-13,13.9,100,1390.0
TQBR,2014-08-14,14.0,19300,270151.6
TQBR,2014-08-15,13.999,1600,22340.3
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,13.999,200,2799.8
TQBR,2014-08-20,13.75,19200,264076.6
TQBR,2014-08-21,13.69,34800,477023.5
TQBR,2014-08-22,13.68,1500,20534.3
TQBR,2014-08-25,13.68,2800,37792.5
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,13.45,500,6725.1
