BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,6098.9,34,207508.6
TQBR,2014-06-10,6099.8,61,370588.7
TQBR,2014-06-11,6062.8,674,4033027.0
TQBR,2014-06-16,6050.0,289,1757301.7
TQBR,2014-06-17,5983.1,531,3201958.0
TQBR,2014-06-18,6018.8,78,469888.9
TQBR,2014-06-19,6039.9,374,2251954.5
TQBR,2014-06-20,6005.8,114,686700.2
TQBR,2014-06-23,6049.8,74,447399.4
TQBR,2014-06-24,6002.0,124,746364.4
TQBR,2014-06-25,6005.6,157,942441.5
TQBR,2014-06-26,6025.0,44,264536.9
TQBR,2014-06-27,6023.8,154,926371.0
TQBR,2014-06-30,5995.3,404,2423236.9
TQBR,2014-07-01,6000.0,92,551477.6
TQBR,2014-07-02,6019.9,134,803310.3
TQBR,2014-07-03,6034.0,198,1192584.6
TQBR,2014-07-04,6018.0,216,1309452.1
TQBR,2014-07-07,6010.0,246,1484297.8
TQBR,2014-07-08,6000.0,186,1118646.3
TQBR,2014-07-09,6002.0,191,1146198.0
TQBR,2014-07-10,5995.0,106,636170.5
TQBR,2014-07-11,5980.0,109,652408.9
TQBR,2014-07-14,5970.8,246,1469033.5
TQBR,2014-07-15,6099.8,335,2035259.2
TQBR,2014-07-16,6030.0,158,959702.7
TQBR,2014-07-17,5750.0,1629,9482240.2
TQBR,2014-07-18,5849.9,169,979360.4
TQBR,2014-07-21,5939.1,213,1247846.7
TQBR,2014-07-22,5899.8,32,188572.6
TQBR,2014-07-23,5800.0,127,739655.4
TQBR,2014-07-24,5800.0,121,699040.5
TQBR,2014-07-25,5826.2,11,63720.8
TQBR,2014-07-28,5801.0,41,239735.7
TQBR,2014-07-29,5800.0,13,75376.1
TQBR,2014-07-30,5801.0,14,81364.3
TQBR,2014-07-31,5800.8,69,400610.5
TQBR,2014-08-01,5791.3,32,185817.9
TQBR,2014-08-04,5802.1,44,255227.0
TQBR,2014-08-05,5800.2,11,63907.7
TQBR,2014-08-06,5777.0,90,519968.5
TQBR,2014-08-07,5752.0,51,293891.5
TQBR,2014-08-08,5827.0,60,347916.5
TQBR,2014-08-11,5809.9,95,552907.6
TQBR,2014-08-12,5778.0,207,1190913.5
TQBR,2014-08-13,5817.6,72,419966.9
TQBR,2014-08-14,5844.0,209,1220934.3
TQBR,2014-08-15,5849.7,69,402827.7
TQBR,2014-08-18,5800.0,77,447286.5
TQBR,2014-08-19,5815.0,58,337336.9
TQBR,2014-08-20,5804.0,54,313603.1
TQBR,2014-08-21,5818.9,107,620609.5
TQBR,2014-08-22,5817.8,60,348495.3
TQBR,2014-08-25,5834.9,13,75520.4
TQBR,2014-08-26,5810.0,26,151070.4
TQBR,2014-08-27,5700.1,327,1888958.6
TQBR,2014-08-28,5700.0,117,667604.0
TQBR,2014-08-29,5799.0,890,5142177.4
TQBR,2014-09-01,5700.0,29,165615.2
TQBR,2014-09-02,5743.0,9,51440.4
TQBR,2014-09-03,5794.7,48,274321.5
TQBR,2014-09-04,5725.0,49,279065.2
TQBR,2014-09-05,5746.0,32,181526.9
TQBR,2014-09-08,5744.5,12,68081.5
TQBR,2014-09-09,5680.0,52,295388.4
TQBR,2014-09-10,5690.1,11,62863.0
TQBR,2014-09-11,5720.0,36,205686.2
TQBR,2014-09-12,5707.3,35,200708.5
TQBR,2014-09-15,5780.0,104,596195.8
TQBR,2014-09-16,5789.5,213,1214751.0
TQBR,2014-09-17,5728.0,36,206519.9
TQBR,2014-09-18,5715.0,44,251752.7
TQBR,2014-09-19,5694.8,35,199732.7
TQBR,2014-09-22,5605.0,70,393043.8
TQBR,2014-09-23,5636.2,12,67763.9
TQBR,2014-09-24,5620.0,78,440135.0
TQBR,2014-09-25,5699.9,47,267562.3
TQBR,2014-09-26,5646.6,2,11326.5
TQBR,2014-09-29,5713.7,16,90649.1
TQBR,2014-09-30,5720.0,9,51479.1
TQBR,2014-10-01,5720.0,11,62740.0
TQBR,2014-10-02,5630.0,54,305460.0
TQBR,2014-10-03,5630.0,99,554950.0
TQBR,2014-10-06,5620.0,115,644050.0
TQBR,2014-10-07,5620.0,102,571870.0
TQBR,2014-10-08,5600.0,78,438170.0
TQBR,2014-10-09,5520.0,103,576260.0
TQBR,2014-10-10,5030.0,404,2105910.0
TQBR,2014-10-13,4640.0,523,2469220.0
TQBR,2014-10-14,4530.0,276,1246590.0
TQBR,2014-10-15,3830.0,762,3013590.0
TQBR,2014-10-16,3250.0,703,2420590.0
TQBR,2014-10-17,3680.0,726,2676090.0
TQBR,2014-10-20,3890.0,129,494000.0
TQBR,2014-10-21,3750.0,57,214410.0
TQBR,2014-10-22,3740.0,277,1015980.0
TQBR,2014-10-23,3600.0,34,125990.0
TQBR,2014-10-24,3760.0,59,216950.0
TQBR,2014-10-27,3700.0,99,352960.0
TQBR,2014-10-28,3630.0,9,33280.0
TQBR,2014-10-29,3690.0,84,310310.0
