BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,2.982,113200,338428.1
TQBR,2014-06-10,3.004,129200,386352.1
TQBR,2014-06-11,2.991,41300,123800.6
TQBR,2014-06-16,2.895,60500,177068.5
TQBR,2014-06-17,2.801,447400,1285705.8
TQBR,2014-06-18,2.833,333000,947564.6
TQBR,2014-06-19,2.84,485400,1385218.2
TQBR,2014-06-20,2.8,250300,691741.4
TQBR,2014-06-23,2.73,524400,1441151.3
TQBR,2014-06-24,2.777,371400,1019612.2
TQBR,2014-06-25,2.764,595100,1616025.6
TQBR,2014-06-26,2.748,370900,1007737.9
TQBR,2014-06-27,2.738,8800,24039.1
TQBR,2014-06-30,2.9,238400,666104.9
TQBR,2014-07-01,2.69,485100,1316832.4
TQBR,2014-07-02,2.751,352000,958146.7
TQBR,2014-07-03,2.76,132300,364441.9
TQBR,2014-07-04,2.819,177200,496771.5
TQBR,2014-07-07,2.8,114400,320718.2
TQBR,2014-07-08,2.751,424200,1132431.0
TQBR,2014-07-09,2.762,29900,81802.9
TQBR,2014-07-10,2.686,168600,456712.0
TQBR,2014-07-11,2.67,180300,481271.5
TQBR,2014-07-14,2.648,126400,333735.5
TQBR,2014-07-15,2.636,85100,222005.5
TQBR,2014-07-16,2.64,237500,626019.4
TQBR,2014-07-17,2.653,165400,438267.5
TQBR,2014-07-18,2.708,92200,248797.1
TQBR,2014-07-21,2.668,241800,640776.4
TQBR,2014-07-22,2.67,279600,743980.9
TQBR,2014-07-23,2.621,393000,1037784.4
TQBR,2014-07-24,2.677,271700,722492.0
TQBR,2014-07-25,2.64,351900,928320.7
TQBR,2014-07-28,2.637,46900,123351.4
TQBR,2014-07-29,2.69,550700,1481718.8
TQBR,2014-07-30,2.797,186300,501619.4
TQBR,2014-07-31,2.748,524400,1449896.9
TQBR,2014-08-01,2.64,532700,1403607.0
TQBR,2014-08-04,2.65,156900,418171.3
TQBR,2014-08-05,2.626,95900,250459.6
TQBR,2014-08-06,2.563,48300,123856.7
TQBR,2014-08-07,2.582,93700,242551.0
TQBR,2014-08-08,2.569,186500,480958.7
TQBR,2014-08-11,2.63,33300,87582.6
TQBR,2014-08-12,2.627,49900,132239.7
TQBR,2014-08-13,2.765,186100,506108.8
TQBR,2014-08-14,2.74,54900,149923.3
TQBR,2014-08-15,2.739,700,1908.7
TQBR,2014-08-18,2.657,382500,1021430.1
TQBR,2014-08-19,2.699,371400,995873.7
TQBR,2014-08-20,2.704,403900,1096402.6
TQBR,2014-08-21,2.76,393800,1090684.6
TQBR,2014-08-22,2.735,370100,1008679.7
TQBR,2014-08-25,2.733,1005000,2691926.6
TQBR,2014-08-26,2.699,215400,581424.7
TQBR,2014-08-27,2.683,218300,587418.8
TQBR,2014-08-28,2.637,199300,536537.0
TQBR,2014-08-29,2.707,245000,657806.5
TQBR,2014-09-01,2.728,265500,727233.3
TQBR,2014-09-02,2.727,184000,498587.3
TQBR,2014-09-03,2.705,595500,1645348.3
TQBR,2014-09-04,2.7,227600,612988.9
TQBR,2014-09-05,2.7,308500,833433.2
TQBR,2014-09-08,2.65,224100,594067.1
TQBR,2014-09-09,2.71,586300,1582554.1
TQBR,2014-09-10,2.7,557000,1503539.3
TQBR,2014-09-11,2.725,362500,978705.0
TQBR,2014-09-12,2.723,145000,388370.7
TQBR,2014-09-15,2.735,158500,427718.3
TQBR,2014-09-16,2.689,338600,918600.9
TQBR,2014-09-17,2.621,136100,360395.9
TQBR,2014-09-18,2.67,123000,328281.2
TQBR,2014-09-19,2.67,128300,340136.3
TQBR,2014-09-22,2.675,121200,321184.1
TQBR,2014-09-23,2.609,132700,345366.1
TQBR,2014-09-24,2.633,84500,218662.3
TQBR,2014-09-25,2.63,154800,406271.0
TQBR,2014-09-26,2.647,121400,317967.9
TQBR,2014-09-29,2.518,218500,558188.0
TQBR,2014-09-30,2.433,390400,950910.7
TQBR,2014-10-01,2.395,339400,815735.0
TQBR,2014-10-02,2.355,273100,647100.5
TQBR,2014-10-03,2.405,253300,608522.5
TQBR,2014-10-06,2.4,254900,619427.0
TQBR,2014-10-07,2.375,282500,662441.0
TQBR,2014-10-08,2.33,346200,815421.5
TQBR,2014-10-09,2.305,273200,628027.0
TQBR,2014-10-10,2.24,217700,493401.0
TQBR,2014-10-13,2.345,2213100,5377339.0
TQBR,2014-10-14,2.33,1127000,2648316.5
TQBR,2014-10-15,2.35,319000,740468.0
TQBR,2014-10-16,2.34,20400,47353.0
TQBR,2014-10-17,2.35,86700,203408.0
TQBR,2014-10-20,2.335,115200,263577.5
TQBR,2014-10-21,2.35,96800,227180.5
TQBR,2014-10-22,2.335,71800,168002.5
TQBR,2014-10-23,2.395,558000,1318005.5
TQBR,2014-10-24,2.345,51400,119895.0
TQBR,2014-10-27,2.39,227300,546351.5
TQBR,2014-10-28,2.38,212600,508508.5
TQBR,2014-10-29,2.375,769100,1859834.5
TQBR,2014-10-30,2.38,394000,939692.0
TQBR,2014-10-31,2.385,13400,31736.0
TQBR,2014-11-03,2.395,14000,33311.0
TQBR,2014-11-05,2.3,358900,828029.5
TQBR,2014-11-06,2.345,454700,1072920.0
TQBR,2014-11-07,2.33,292900,684915.0
TQBR,2014-11-10,2.33,381700,884475.0
TQBR,2014-11-11,2.32,482900,1116620.5
TQBR,2014-11-12,2.315,312400,721537.0
TQBR,2014-11-13,2.315,350800,808588.0
TQBR,2014-11-14,2.325,571100,1316636.5
TQBR,2014-11-17,2.285,698600,1575887.0
TQBR,2014-11-18,2.29,489800,1129203.5
TQBR,2014-11-19,2.18,713800,1571317.0
TQBR,2014-11-20,2.21,382500,840363.5
TQBR,2014-11-21,2.15,150900,327274.5
TQBR,2014-11-24,2.135,143300,309971.0
TQBR,2014-11-25,2.165,81500,176734.5
TQBR,2014-11-26,2.18,1429200,3115313.5
TQBR,2014-11-27,2.175,103400,224711.0
TQBR,2014-11-28,2.17,13400,28694.5
TQBR,2014-12-01,2.17,306700,662630.5
TQBR,2014-12-02,2.17,299600,643714.0
TQBR,2014-12-03,2.15,382600,831127.5
TQBR,2014-12-04,2.11,200400,417736.5
TQBR,2014-12-05,2.15,249200,528355.0
TQBR,2014-12-08,2.16,328800,687440.5
TQBR,2014-12-09,2.155,288100,618445.0
TQBR,2014-12-10,2.155,295300,636173.5
TQBR,2014-12-11,2.12,289500,613537.0
TQBR,2014-12-12,2.115,304800,640176.5
TQBR,2014-12-15,1.965,168600,344036.0
TQBR,2014-12-16,1.78,574300,960668.5
TQBR,2014-12-17,1.67,587800,1014217.5
TQBR,2014-12-18,1.74,1070000,1817965.5
TQBR,2014-12-19,1.815,692900,1295366.5
TQBR,2014-12-22,1.89,407000,763800.0
TQBR,2014-12-23,1.855,155900,295391.0
TQBR,2014-12-24,1.905,127500,237456.5
TQBR,2014-12-25,1.88,111800,208563.0
TQBR,2014-12-26,1.79,356900,663664.0
TQBR,2014-12-29,1.805,840300,1556282.0
TQBR,2014-12-30,1.75,324600,574389.5
TQBR,2015-01-05,1.795,108000,191656.5
TQBR,2015-01-06,1.84,135000,246185.0
TQBR,2015-01-08,1.85,294400,551266.0
TQBR,2015-01-09,1.85,284300,531182.5
TQBR,2015-01-12,1.855,86600,160387.5
TQBR,2015-01-13,1.855,480400,896647.0
TQBR,2015-01-14,1.86,506600,943510.5
TQBR,2015-01-15,1.835,588800,1089204.0
TQBR,2015-01-16,1.87,558800,1046912.5
TQBR,2015-01-19,1.82,692700,1253073.5
TQBR,2015-01-20,1.795,647200,1155758.5
TQBR,2015-01-21,1.82,505400,918372.5
TQBR,2015-01-22,1.905,1678000,3290833.5
TQBR,2015-01-23,1.945,75000,145042.0
TQBR,2015-01-26,1.91,86500,161545.5
TQBR,2015-01-27,1.875,353100,650767.5
TQBR,2015-01-28,1.885,207900,382418.0
TQBR,2015-01-29,1.845,325100,591886.0
TQBR,2015-01-30,1.94,288500,536753.0
TQBR,2015-02-02,1.915,527100,1046044.0
TQBR,2015-02-03,1.93,441400,870034.5
TQBR,2015-02-04,1.98,397800,776801.0
TQBR,2015-02-05,1.905,1139300,2193136.5
TQBR,2015-02-06,1.93,786700,1514493.0
TQBR,2015-02-09,1.91,543800,1041753.0
TQBR,2015-02-10,1.92,615900,1169858.5
TQBR,2015-02-11,1.95,243000,465752.5
TQBR,2015-02-12,1.955,740500,1439802.0
TQBR,2015-02-13,2.145,3903900,8540782.0
TQBR,2015-02-16,2.155,2244300,4941251.0
TQBR,2015-02-17,2.145,838500,1811308.0
TQBR,2015-02-18,2.17,624900,1358563.5
TQBR,2015-02-19,2.1,470600,999651.0
TQBR,2015-02-20,2.26,2978500,6619974.0
TQBR,2015-02-24,2.16,935100,2053457.5
TQBR,2015-02-25,2.145,177400,387838.0
TQBR,2015-02-26,2.235,2266700,5079395.0
TQBR,2015-02-27,2.28,833400,1866216.0
TQBR,2015-03-02,2.39,937300,2243706.5
TQBR,2015-03-03,2.45,1206000,2839452.5
TQBR,2015-03-04,2.66,2752700,7175808.5
TQBR,2015-03-05,2.93,962800,2718805.5
TQBR,2015-03-06,2.81,433700,1247740.0
TQBR,2015-03-10,2.675,1148800,3039428.0
TQBR,2015-03-11,2.8,817000,2272065.0
TQBR,2015-03-12,2.935,106900,304660.5
TQBR,2015-03-13,2.865,268000,773015.5
TQBR,2015-03-16,2.72,186900,513981.0
TQBR,2015-03-17,2.63,143200,379341.0
TQBR,2015-03-18,2.58,440500,1127687.5
TQBR,2015-03-19,2.345,971900,2339156.0
TQBR,2015-03-20,2.33,611700,1387319.5
