BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-04-26,2624.0,1716856,4554616272.0
TQBR,2024-04-27,2604.0,433601,1131936346.0
TQBR,2024-04-29,2620.0,126043,331155374.0
TQBR,2024-04-30,2608.0,69064,180406175.0
TQBR,2024-05-02,2569.0,203191,523548040.5
TQBR,2024-05-03,2557.0,111929,285744826.0
TQBR,2024-05-06,2504.0,175696,441394982.5
TQBR,2024-05-07,2597.5,284911,729807608.5
TQBR,2024-05-08,2605.0,172806,449974711.5
TQBR,2024-05-10,2599.0,76860,200318615.5
TQBR,2024-05-13,2570.5,99094,255683131.5
TQBR,2024-05-14,2563.0,60361,154589653.0
TQBR,2024-05-15,2565.5,83224,214585666.0
TQBR,2024-05-16,2519.5,133346,338398092.0
TQBR,2024-05-17,2520.5,170433,429282240.5
TQBR,2024-05-20,2513.0,69368,174358529.5
TQBR,2024-05-21,2511.0,202104,506792666.0
TQBR,2024-05-22,2508.5,67942,170695687.0
TQBR,2024-05-23,2502.0,88496,221892000.0
TQBR,2024-05-24,2501.0,217583,544151448.0
TQBR,2024-05-27,2505.0,230345,570057627.5
TQBR,2024-05-28,2500.0,63300,158560801.0
TQBR,2024-05-29,2501.0,63503,157814860.5
TQBR,2024-05-30,2500.0,55581,138729948.5
TQBR,2024-05-31,2401.0,123423,302320578.0
TQBR,2024-06-03,2308.0,135164,312440093.0
TQBR,2024-06-04,2375.5,54521,127537366.0
TQBR,2024-06-05,2351.0,43469,103717632.0
TQBR,2024-06-06,2321.0,15689,36544673.0
TQBR,2024-06-07,2360.5,49537,116812446.0
TQBR,2024-06-10,2315.0,26871,62948642.5
TQBR,2024-06-11,2288.0,32788,74892870.0
TQBR,2024-06-13,2285.0,74866,167540570.5
TQBR,2024-06-14,2277.5,12877,29351040.0
TQBR,2024-06-17,2234.5,20037,45160437.5
TQBR,2024-06-18,2197.0,28345,62306053.0
TQBR,2024-06-19,2099.0,52193,110894327.5
TQBR,2024-06-20,2152.5,101646,212382214.0
TQBR,2024-06-21,2145.0,28929,62148332.0
TQBR,2024-06-24,2146.0,28537,60862674.0
TQBR,2024-06-25,2190.0,24940,54318332.5
TQBR,2024-06-26,2183.5,39132,86310751.0
TQBR,2024-06-27,2190.0,20490,44697989.5
TQBR,2024-06-28,2208.5,19405,42737201.5
TQBR,2024-07-01,2183.0,21061,46269337.0
TQBR,2024-07-02,2173.0,13429,29205028.5
TQBR,2024-07-03,2110.0,113716,239919410.5
TQBR,2024-07-04,2074.5,40824,84418301.0
TQBR,2024-07-05,2040.0,31254,63873815.0
TQBR,2024-07-08,2004.0,35976,72785008.5
TQBR,2024-07-09,1885.5,108716,210671011.5
TQBR,2024-07-10,1750.0,148602,268485736.5
TQBR,2024-07-11,1836.0,75407,137693327.5
TQBR,2024-07-12,1862.0,53344,97999710.5
