BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-11-09,466.5,80940,37976213.0
TQBR,2020-11-10,454.0,44870,20560595.0
TQBR,2020-11-11,478.45,37140,17283821.5
TQBR,2020-11-12,480.45,45530,21935634.5
TQBR,2020-11-13,486.15,19310,9405824.0
TQBR,2020-11-16,475.0,28750,13879601.5
TQBR,2020-11-17,472.2,14520,6872442.5
TQBR,2020-11-18,471.75,18020,8513992.0
TQBR,2020-11-19,472.75,8000,3784858.0
TQBR,2020-11-20,474.0,4530,2136721.0
TQBR,2020-11-23,470.5,5480,2584959.0
TQBR,2020-11-24,471.0,5370,2525888.5
TQBR,2020-11-25,469.8,9560,4490920.0
TQBR,2020-11-26,465.2,10940,5087236.0
TQBR,2020-11-27,470.1,8120,3822797.0
TQBR,2020-11-30,469.2,6270,2953213.0
TQBR,2020-12-01,470.0,6970,3278646.0
TQBR,2020-12-02,467.0,3060,1434211.0
TQBR,2020-12-03,455.6,15050,6939638.5
TQBR,2020-12-04,458.2,13220,6057851.0
TQBR,2020-12-07,457.5,11250,5178847.5
TQBR,2020-12-08,455.0,6130,2796413.0
TQBR,2020-12-09,456.05,5760,2630323.0
TQBR,2020-12-10,455.05,9160,4168231.5
TQBR,2020-12-11,455.6,9950,4507165.0
TQBR,2020-12-14,457.9,18530,8441106.5
TQBR,2020-12-15,466.95,5930,2747483.5
TQBR,2020-12-16,456.0,10920,5053865.5
TQBR,2020-12-17,450.25,26940,12120481.0
TQBR,2020-12-18,451.65,3620,1631536.0
TQBR,2020-12-21,451.4,4620,2078500.0
TQBR,2020-12-22,451.7,10100,4539879.5
TQBR,2020-12-23,451.0,2400,1086533.5
TQBR,2020-12-24,451.0,8030,3608683.5
TQBR,2020-12-25,452.05,2710,1222409.0
TQBR,2020-12-28,451.6,4850,2190061.0
TQBR,2020-12-29,451.55,13680,6184370.5
TQBR,2020-12-30,457.4,6930,3159239.5
TQBR,2021-01-04,460.0,14560,6650160.0
TQBR,2021-01-05,462.25,11250,5238524.0
TQBR,2021-01-06,461.95,24920,11569240.5
TQBR,2021-01-08,465.5,4210,1962078.0
TQBR,2021-01-11,471.85,12550,5883216.0
TQBR,2021-01-12,467.25,11060,5201827.5
TQBR,2021-01-13,464.05,4490,2096612.0
TQBR,2021-01-14,463.7,6360,2970595.5
TQBR,2021-01-15,463.55,6560,3037875.5
TQBR,2021-01-18,465.05,5800,2699051.0
TQBR,2021-01-19,490.9,112200,54068799.5
TQBR,2021-01-20,501.95,312510,158112703.0
TQBR,2021-01-21,490.0,40200,19878797.5
TQBR,2021-01-22,491.2,25290,12447045.0
TQBR,2021-01-25,499.45,14230,7033345.0
TQBR,2021-01-26,489.5,14070,6921245.0
TQBR,2021-01-27,487.65,9220,4496117.5
TQBR,2021-01-28,485.0,7160,3494193.5
TQBR,2021-01-29,471.95,18150,8722844.5
TQBR,2021-02-01,464.0,88400,41131015.5
TQBR,2021-02-02,471.0,32130,15044512.5
TQBR,2021-02-03,468.35,12350,5798800.5
TQBR,2021-02-04,466.5,6230,2911394.0
TQBR,2021-02-05,463.0,9480,4397168.0
TQBR,2021-02-08,486.1,51140,24399549.5
TQBR,2021-02-09,499.95,69490,34265268.0
TQBR,2021-02-10,498.1,26600,13205612.0
TQBR,2021-02-11,497.0,42250,20800116.0
TQBR,2021-02-12,492.35,26700,13227584.5
TQBR,2021-02-15,492.2,3430,1690556.5
TQBR,2021-02-16,495.1,6600,3272250.5
TQBR,2021-02-17,502.0,27290,13571454.5
TQBR,2021-02-18,507.0,30480,15411290.5
TQBR,2021-02-19,510.0,57790,29429526.0
TQBR,2021-02-20,537.05,263720,141225749.0
TQBR,2021-02-22,543.95,86200,47991653.5
