BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,501.1,400,201042
TQBR,2014-06-11,502.0,40,20181
TQBR,2014-06-16,517.6,30,15532
TQBR,2014-06-17,529.9,590,311357
TQBR,2014-06-18,541.7,300,162503
TQBR,2014-06-19,528.1,700,374560
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,550.0,360,197528
TQBR,2014-06-24,530.2,390,206706
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,513.0,20,10260
TQBR,2014-06-27,539.7,100,51489
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,533.2,80,42511
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,528.2,540,283012
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,520.9,30,15560
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,530.0,210,111057
TQBR,2014-07-16,560.0,1850,1034101
TQBR,2014-07-17,551.0,860,476011
TQBR,2014-07-18,548.1,570,311042
TQBR,2014-07-21,560.0,830,460368
TQBR,2014-07-22,560.0,1690,966600
TQBR,2014-07-23,560.0,300,168000
TQBR,2014-07-24,553.0,150,82953
TQBR,2014-07-25,560.0,100,56000
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,565.0,530,299442
TQBR,2014-07-30,570.0,220,125243
TQBR,2014-07-31,567.0,180,101920
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,551.0,280,156690
TQBR,2014-08-05,579.9,1740,1007102
TQBR,2014-08-06,587.0,350,203066
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,600.0,190,113995
TQBR,2014-08-13,571.0,40,22841
TQBR,2014-08-14,583.1,980,583111
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,585.0,120,70187
TQBR,2014-08-20,625.0,350,211579
TQBR,2014-08-21,615.2,80,50080
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,615.6,80,50113
TQBR,2014-08-26,638.0,1960,1253558
TQBR,2014-08-27,668.0,50,32628
TQBR,2014-08-28,641.5,50,32081
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,652.0,40,26579
TQBR,2014-09-02,660.0,880,579724
TQBR,2014-09-03,699.8,770,509343
TQBR,2014-09-04,749.9,20870,15129458
TQBR,2014-09-05,785.0,770,600808
TQBR,2014-09-08,779.8,5960,4641483
TQBR,2014-09-09,789.7,15940,12588295
TQBR,2014-09-10,758.9,90,66864
TQBR,2014-09-11,790.0,1070,848020
TQBR,2014-09-12,820.0,19330,15785177
TQBR,2014-09-15,848.9,13230,10620219
TQBR,2014-09-16,825.0,780,628958
TQBR,2014-09-17,795.0,1580,1337156
TQBR,2014-09-18,822.3,230,185664
TQBR,2014-09-19,787.0,1140,895274
TQBR,2014-09-22,752.8,21090,16972820
TQBR,2014-09-23,819.9,30,23739
TQBR,2014-09-24,750.0,420,315157
TQBR,2014-09-25,794.4,1030,817644
TQBR,2014-09-26,740.0,60,44962
