BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,421.0,50,21051.0
TQBR,2014-06-10,422.0,240,101230.6
TQBR,2014-06-11,435.0,2970,1276047.8
TQBR,2014-06-16,440.0,2330,1024480.1
TQBR,2014-06-17,435.04,2390,1050798.1
TQBR,2014-06-18,444.12,3360,1488594.5
TQBR,2014-06-19,460.0,4760,2193903.3
TQBR,2014-06-20,474.01,7670,3661919.4
TQBR,2014-06-23,496.5,8940,4364245.4
TQBR,2014-06-24,509.0,10510,5331653.6
TQBR,2014-06-25,500.0,4030,2063597.0
TQBR,2014-06-26,499.0,3510,1753773.7
TQBR,2014-06-27,511.0,1920,968359.1
TQBR,2014-06-30,510.0,1010,515636.2
TQBR,2014-07-01,504.0,240,121117.1
TQBR,2014-07-02,516.07,5290,2727525.3
TQBR,2014-07-03,514.02,1510,783493.0
TQBR,2014-07-04,519.0,340,176639.1
TQBR,2014-07-07,518.02,280,145380.1
TQBR,2014-07-08,506.74,570,289150.9
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,505.0,290,144391.2
TQBR,2014-07-11,501.0,100,50232.0
TQBR,2014-07-14,505.0,410,205993.1
TQBR,2014-07-15,515.08,1070,554535.8
TQBR,2014-07-16,565.0,19010,9912961.0
TQBR,2014-07-17,570.0,2750,1539316.3
TQBR,2014-07-18,548.02,360,197362.1
TQBR,2014-07-21,545.0,2990,1635451.7
TQBR,2014-07-22,560.0,7350,4165863.2
TQBR,2014-07-23,560.0,1160,649600.0
TQBR,2014-07-24,560.0,810,453600.1
TQBR,2014-07-25,560.0,880,492800.0
TQBR,2014-07-28,559.99,1200,662921.5
TQBR,2014-07-29,560.0,780,432507.4
TQBR,2014-07-30,568.0,370,210555.8
TQBR,2014-07-31,560.53,980,549527.1
TQBR,2014-08-01,561.85,70,39228.4
TQBR,2014-08-04,560.0,920,512058.7
TQBR,2014-08-05,566.0,670,380071.9
TQBR,2014-08-06,563.0,2120,1196236.4
TQBR,2014-08-07,563.85,800,448729.1
TQBR,2014-08-08,560.01,520,291265.4
TQBR,2014-08-11,560.0,350,196293.3
TQBR,2014-08-12,567.49,1040,582798.7
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,570.0,4400,2558597.6
TQBR,2014-08-15,562.5,720,407728.9
TQBR,2014-08-18,569.99,90,51222.9
TQBR,2014-08-19,571.0,200,114190.1
TQBR,2014-08-20,609.98,23320,13895015.0
TQBR,2014-08-21,604.02,230,139549.3
TQBR,2014-08-22,605.0,3330,2014198.9
TQBR,2014-08-25,615.98,8380,5155175.4
TQBR,2014-08-26,628.0,9500,5916049.8
TQBR,2014-08-27,638.0,6950,4418920.9
TQBR,2014-08-28,630.0,3940,2513204.1
TQBR,2014-08-29,626.0,400,250581.4
TQBR,2014-09-01,640.0,3760,2401502.5
TQBR,2014-09-02,640.01,19150,12356728.2
TQBR,2014-09-03,663.0,38770,25323655.9
TQBR,2014-09-04,721.86,35650,24415790.4
TQBR,2014-09-05,740.05,24850,18002163.0
TQBR,2014-09-08,750.0,11350,8414575.3
TQBR,2014-09-09,762.0,44020,33111491.3
TQBR,2014-09-10,755.0,580,440864.4
TQBR,2014-09-11,810.0,25080,19358195.5
TQBR,2014-09-12,805.05,38000,30280024.2
TQBR,2014-09-15,819.99,2520,2005965.9
TQBR,2014-09-16,809.98,1760,1408587.9
TQBR,2014-09-17,799.9,2060,1642127.4
TQBR,2014-09-18,800.0,730,583999.8
TQBR,2014-09-19,777.0,430,334121.7
TQBR,2014-09-22,754.01,13540,10102869.2
TQBR,2014-09-23,760.0,2850,2141507.8
TQBR,2014-09-24,750.0,1210,915229.0
TQBR,2014-09-25,757.0,30,22672.3
TQBR,2014-09-26,730.0,1650,1207721.1
TQBR,2014-09-29,747.0,580,443816.7
TQBR,2014-09-30,730.0,150,109330.2
TQBR,2014-10-01,729.0,60,44410.0
TQBR,2014-10-02,730.0,2220,1557440.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,740.0,1220,903460.0
TQBR,2014-10-07,778.0,4780,3588060.0
TQBR,2014-10-08,751.0,370,294750.0
TQBR,2014-10-09,750.0,890,666420.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,748.0,580,424390.0
TQBR,2014-10-14,730.0,50,36510.0
TQBR,2014-10-15,743.0,1340,981130.0
TQBR,2014-10-16,741.0,7320,5344520.0
TQBR,2014-10-17,745.0,430,320260.0
TQBR,2014-10-20,749.0,2220,1665000.0
TQBR,2014-10-21,730.0,840,613380.0
TQBR,2014-10-22,750.0,1310,982060.0
TQBR,2014-10-23,750.0,10560,7920070.0
TQBR,2014-10-24,752.0,2120,1550270.0
TQBR,2014-10-27,764.0,100,76400.0
TQBR,2014-10-28,751.0,90,67600.0
TQBR,2014-10-29,767.0,560,427980.0
TQBR,2014-10-30,750.0,1660,1247390.0
TQBR,2014-10-31,785.0,1780,1343830.0
TQBR,2014-11-03,762.0,11570,9008520.0
TQBR,2014-11-05,800.0,2500,1898520.0
TQBR,2014-11-06,762.0,2490,1910020.0
TQBR,2014-11-07,757.0,1600,1201570.0
TQBR,2014-11-10,755.0,1320,991740.0
TQBR,2014-11-11,754.0,460,346280.0
TQBR,2014-11-12,750.0,1470,1102920.0
TQBR,2014-11-13,752.0,440,331940.0
TQBR,2014-11-14,750.0,2750,2062600.0
TQBR,2014-11-17,750.0,2110,1582600.0
TQBR,2014-11-18,751.0,820,617770.0
TQBR,2014-11-19,751.0,5990,4493000.0
TQBR,2014-11-20,751.0,7740,5814010.0
TQBR,2014-11-21,750.0,1710,1292640.0
TQBR,2014-11-24,757.0,4920,3681190.0
TQBR,2014-11-25,753.0,1310,1011920.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,746.0,410,306100.0
TQBR,2014-11-28,742.0,860,636550.0
TQBR,2014-12-01,750.0,1020,765000.0
TQBR,2014-12-02,757.0,390,292200.0
TQBR,2014-12-03,750.0,900,675000.0
TQBR,2014-12-04,750.0,960,716730.0
TQBR,2014-12-05,721.0,11570,8664930.0
TQBR,2014-12-08,725.0,10500,7866010.0
TQBR,2014-12-09,750.0,18910,14181590.0
TQBR,2014-12-10,750.0,190,142490.0
TQBR,2014-12-11,730.0,12310,9027060.0
TQBR,2014-12-12,745.0,23630,17598780.0
TQBR,2014-12-15,703.0,3860,2828070.0
TQBR,2014-12-16,747.0,1660,1142270.0
TQBR,2014-12-17,705.0,220,158670.0
TQBR,2014-12-18,700.0,3820,2679430.0
TQBR,2014-12-19,740.0,80,58560.0
TQBR,2014-12-22,705.0,4890,3443040.0
TQBR,2014-12-23,700.0,250,176820.0
