BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5700.5,1,5700.5
TQBR,2014-06-10,5560.1,1,5560.1
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,5565.0,9,50061.1
TQBR,2014-06-17,5565.0,2,11129.9
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,5300.0,38,211156.4
TQBR,2014-06-23,5900.0,10,59000.0
TQBR,2014-06-24,5500.0,54,297000.0
TQBR,2014-06-25,5202.2,6,32080.2
TQBR,2014-06-26,5198.9,229,1142096.8
TQBR,2014-06-27,5249.9,2,10527.6
TQBR,2014-06-30,5299.8,4,20800.8
TQBR,2014-07-01,5279.6,2,10559.2
TQBR,2014-07-02,5078.2,4,21053.1
TQBR,2014-07-03,5225.0,59,306492.3
TQBR,2014-07-04,5277.0,38,200526.0
TQBR,2014-07-07,5375.0,8,44175.0
TQBR,2014-07-08,5209.1,7,36517.9
TQBR,2014-07-09,5299.8,6,31708.1
TQBR,2014-07-10,5226.7,10,52382.2
TQBR,2014-07-11,5200.0,20,107574.5
TQBR,2014-07-14,5412.6,38,203326.8
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,5400.0,7,41140.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,5000.0,31,155537.9
TQBR,2014-07-21,5008.0,53,262368.1
TQBR,2014-07-22,5008.0,2,10016.0
TQBR,2014-07-23,5180.2,22,113963.7
TQBR,2014-07-24,5000.0,1,5000.0
TQBR,2014-07-25,4210.0,6,28710.1
TQBR,2014-07-28,4336.0,5,24720.8
TQBR,2014-07-29,4989.0,3,14978.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,4650.0,24,116800.1
TQBR,2014-08-04,4881.0,18,85842.0
TQBR,2014-08-05,4881.0,3,14840.9
TQBR,2014-08-06,4578.3,1,4578.3
TQBR,2014-08-07,4578.3,1,4578.3
TQBR,2014-08-08,4828.0,18,84897.0
TQBR,2014-08-11,4828.0,1,4828.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,4500.0,6,27592.4
TQBR,2014-08-14,4698.0,36,163230.3
TQBR,2014-08-15,4460.1,5,22538.4
TQBR,2014-08-18,5150.0,26,118277.4
TQBR,2014-08-19,5040.0,23,109928.1
TQBR,2014-08-20,4800.0,16,76800.0
TQBR,2014-08-21,5169.5,20,99359.5
TQBR,2014-08-22,5099.4,17,83019.0
TQBR,2014-08-25,4891.0,18,85023.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,4993.9,1,4993.9
TQBR,2014-08-28,4970.0,18,86400.0
TQBR,2014-08-29,4320.0,11,47520.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,4700.0,1,4700.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,5099.9,3,15070.9
TQBR,2014-09-10,4900.0,4,19165.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,4455.0,61,272311.5
TQBR,2014-09-15,4800.0,30,142552.7
TQBR,2014-09-16,4794.4,10,44699.3
TQBR,2014-09-17,5000.0,1,5000.0
TQBR,2014-09-18,5491.0,49,269059.0
TQBR,2014-09-19,4870.0,90,474282.6
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,4693.7,3,13727.1
TQBR,2014-09-24,4599.6,17,76097.1
TQBR,2014-09-25,4777.7,41,187025.6
TQBR,2014-09-26,4400.7,4,17618.4
TQBR,2014-09-29,4965.0,131,639989.3
TQBR,2014-09-30,4506.0,126,644419.7
TQBR,2014-10-01,4450.0,20,89600.0
TQBR,2014-10-02,4500.0,6,27000.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,4320.0,6,26010.0
TQBR,2014-10-07,4350.0,61,261860.0
TQBR,2014-10-08,4250.0,17,72650.0
TQBR,2014-10-09,4230.0,1,4230.0
TQBR,2014-10-10,4200.0,8,34300.0
TQBR,2014-10-13,4200.0,2,8300.0
TQBR,2014-10-14,4240.0,10,41660.0
TQBR,2014-10-15,4110.0,17,69850.0
TQBR,2014-10-16,4200.0,11,44250.0
TQBR,2014-10-17,4100.0,86,394630.0
TQBR,2014-10-20,4000.0,74,300270.0
TQBR,2014-10-21,3930.0,4,15860.0
TQBR,2014-10-22,3970.0,2,7940.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,3970.0,2,7920.0
TQBR,2014-10-29,4200.0,6,24950.0
TQBR,2014-10-30,4050.0,20,79820.0
TQBR,2014-10-31,4080.0,196,853650.0
TQBR,2014-11-03,4250.0,6,25450.0
TQBR,2014-11-05,,0,0.0
TQBR,2014-11-06,4390.0,2,8390.0
TQBR,2014-11-07,,0,0.0
TQBR,2014-11-10,4330.0,2,8650.0
TQBR,2014-11-11,4380.0,69,286450.0
TQBR,2014-11-12,4100.0,10,41000.0
TQBR,2014-11-13,,0,0.0
