BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,489.99,40,19499.9
TQBR,2014-06-10,495.0,170,83398.3
TQBR,2014-06-11,490.0,110,53949.5
TQBR,2014-06-16,498.35,410,202584.3
TQBR,2014-06-17,520.0,150,74990.0
TQBR,2014-06-18,514.99,10,5149.9
TQBR,2014-06-19,530.0,30,15599.0
TQBR,2014-06-20,529.9,20,10549.0
TQBR,2014-06-23,628.0,50,28080.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,503.0,1540,779020.3
TQBR,2014-06-26,530.0,3310,1689089.9
TQBR,2014-06-27,509.98,370,162852.5
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,510.0,180,91769.4
TQBR,2014-07-03,509.99,60,29899.6
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,499.99,50,24999.5
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,468.0,10,4680.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,457.11,10,4571.1
TQBR,2014-07-24,450.02,10,4500.2
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,498.99,50,24949.5
TQBR,2014-07-30,497.95,20,9959.0
TQBR,2014-07-31,464.5,10,4645.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,430.0,520,225803.7
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,450.0,580,251400.0
TQBR,2014-08-13,455.08,350,159277.1
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,489.98,1050,514438.3
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,460.0,110,49800.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,440.0,400,176000.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,449.99,30,13499.7
TQBR,2014-09-04,479.94,50,23996.0
TQBR,2014-09-05,465.0,30,13950.0
TQBR,2014-09-08,465.0,30,13950.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,455.0,90,40350.0
TQBR,2014-09-17,460.0,120,55100.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,442.0,20,9169.2
TQBR,2014-09-25,457.03,10,4570.3
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,437.0,770,338010.0
TQBR,2014-10-07,430.0,20,8660.0
TQBR,2014-10-08,435.0,80,34850.0
TQBR,2014-10-09,440.0,200,88000.0
TQBR,2014-10-10,430.0,110,45860.0
TQBR,2014-10-13,425.0,20,8500.0
TQBR,2014-10-14,436.0,10,4360.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,431.0,10,4310.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,427.0,130,55510.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,438.0,10,4380.0
