BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,619.99,760,466666.0
TQBR,2014-06-10,623.0,1450,903125.2
TQBR,2014-06-11,623.0,250,155744.9
TQBR,2014-06-16,649.6,360,230587.9
TQBR,2014-06-17,636.0,510,318997.3
TQBR,2014-06-18,640.0,290,185978.0
TQBR,2014-06-19,648.99,50,32219.9
TQBR,2014-06-20,635.0,360,228016.9
TQBR,2014-06-23,641.0,950,610004.5
TQBR,2014-06-24,665.0,1160,762945.1
TQBR,2014-06-25,669.88,1380,918668.9
TQBR,2014-06-26,660.72,40,26817.2
TQBR,2014-06-27,665.0,310,206150.1
TQBR,2014-06-30,674.99,40,26740.2
TQBR,2014-07-01,675.0,260,175000.0
TQBR,2014-07-02,661.46,150,99218.9
TQBR,2014-07-03,639.88,1820,1173960.2
TQBR,2014-07-04,645.0,2970,1916465.9
TQBR,2014-07-07,641.01,1120,727592.9
TQBR,2014-07-08,563.95,2560,1431011.6
TQBR,2014-07-09,559.2,1370,769992.4
TQBR,2014-07-10,555.0,830,464305.2
TQBR,2014-07-11,558.0,370,206284.0
TQBR,2014-07-14,563.95,610,336229.4
TQBR,2014-07-15,557.0,630,351488.5
TQBR,2014-07-16,557.0,60,33577.9
TQBR,2014-07-17,551.0,80,44087.5
TQBR,2014-07-18,542.99,430,233190.5
TQBR,2014-07-21,532.77,140,75936.9
TQBR,2014-07-22,540.0,130,69967.0
TQBR,2014-07-23,538.01,270,145803.5
TQBR,2014-07-24,541.97,270,143391.6
TQBR,2014-07-25,534.0,10,5340.0
TQBR,2014-07-28,515.0,290,150907.3
TQBR,2014-07-29,522.01,40,20740.0
TQBR,2014-07-30,525.01,190,99840.3
TQBR,2014-07-31,525.0,340,178029.8
TQBR,2014-08-01,524.01,80,41930.2
TQBR,2014-08-04,524.01,80,41659.4
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,515.01,70,36150.8
TQBR,2014-08-07,500.0,1380,693032.6
TQBR,2014-08-08,500.0,150,74999.6
TQBR,2014-08-11,500.0,740,370000.0
TQBR,2014-08-12,515.01,860,439813.3
TQBR,2014-08-13,515.02,510,268739.1
TQBR,2014-08-14,515.0,40,20600.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,520.0,120,62159.7
TQBR,2014-08-19,520.0,10,5200.0
TQBR,2014-08-20,514.99,120,60968.2
TQBR,2014-08-21,520.0,50,26000.0
TQBR,2014-08-22,520.01,30,15972.7
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,519.99,10,5199.9
TQBR,2014-08-27,516.95,670,338765.3
TQBR,2014-08-28,500.0,1900,950024.6
TQBR,2014-08-29,519.0,360,184678.8
TQBR,2014-09-01,519.14,160,83042.6
TQBR,2014-09-02,518.95,20,10379.0
TQBR,2014-09-03,518.95,30,15559.0
TQBR,2014-09-04,510.0,50,25500.0
TQBR,2014-09-05,520.0,380,197458.9
TQBR,2014-09-08,519.9,210,107199.0
TQBR,2014-09-09,515.0,120,61799.9
TQBR,2014-09-10,518.01,530,275794.7
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,537.99,720,360788.3
TQBR,2014-09-16,538.95,460,237233.4
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,509.99,220,110103.1
TQBR,2014-09-19,492.59,200,98963.4
TQBR,2014-09-22,501.0,100,50100.2
TQBR,2014-09-23,500.0,310,155000.0
TQBR,2014-09-24,500.07,60,30565.3
TQBR,2014-09-25,518.77,20,10375.4
TQBR,2014-09-26,501.11,10,5011.1
TQBR,2014-09-29,502.06,20,10190.2
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,501.0,60,30010.0
TQBR,2014-10-02,501.0,230,113810.0
TQBR,2014-10-03,490.0,450,220750.0
TQBR,2014-10-06,481.0,660,321270.0
TQBR,2014-10-07,481.0,80,38510.0
TQBR,2014-10-08,487.0,1230,579450.0
TQBR,2014-10-09,490.0,420,205800.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,490.0,1250,612500.0
TQBR,2014-10-15,490.0,930,455680.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,490.0,550,269450.0
TQBR,2014-10-20,490.0,100,49000.0
TQBR,2014-10-21,490.0,690,338100.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,490.0,430,210070.0
TQBR,2014-10-27,490.0,20,9800.0
TQBR,2014-10-28,471.0,100,47740.0
TQBR,2014-10-29,480.0,250,120710.0
TQBR,2014-10-30,489.0,60,29370.0
TQBR,2014-10-31,490.0,140,68720.0
