BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.075,9240000,675428.2
TQBR,2014-06-10,0.068,24360000,1509179.4
TQBR,2014-06-11,0.068,10350000,703895.2
TQBR,2014-06-16,0.068,5720000,388860.9
TQBR,2014-06-17,0.0685,2110000,144363.4
TQBR,2014-06-18,0.0686,530000,36358.0
TQBR,2014-06-19,0.0687,160000,10992.0
TQBR,2014-06-20,0.0688,370000,25456.5
TQBR,2014-06-23,0.07097,460000,32331.4
TQBR,2014-06-24,0.074,10150000,760120.5
TQBR,2014-06-25,0.07479,440000,32558.4
TQBR,2014-06-26,0.0755,4310000,324656.0
TQBR,2014-06-27,0.076,4220000,320721.6
TQBR,2014-06-30,0.077,650000,50186.0
TQBR,2014-07-01,0.07777,1880000,146225.2
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,0.08499,3210000,262490.7
TQBR,2014-07-04,0.08152,110000,9017.4
TQBR,2014-07-07,0.087,240000,17757.2
TQBR,2014-07-08,0.08699,230000,19588.7
TQBR,2014-07-09,0.082,51500000,4426909.9
TQBR,2014-07-10,0.08401,20000,1680.2
TQBR,2014-07-11,0.08508,100000,8508.0
TQBR,2014-07-14,0.086,1810000,155618.4
TQBR,2014-07-15,0.08601,130000,10732.0
TQBR,2014-07-16,0.0883,2240000,194020.5
TQBR,2014-07-17,0.08799,800000,69695.8
TQBR,2014-07-18,0.0875,23260000,2035527.8
TQBR,2014-07-21,0.0885,100000,8850.0
TQBR,2014-07-22,0.094,2790000,252299.8
TQBR,2014-07-23,0.09004,200000,17605.2
TQBR,2014-07-24,0.09199,330000,30356.7
TQBR,2014-07-25,0.0889,3560000,318764.7
TQBR,2014-07-28,0.08856,3130000,281527.5
TQBR,2014-07-29,0.0895,1120000,100250.0
TQBR,2014-07-30,0.09198,200000,18209.8
TQBR,2014-07-31,0.089,2210000,188672.3
TQBR,2014-08-01,0.0885,320000,27070.5
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,0.09156,390000,34545.6
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,0.08777,6390000,532132.6
TQBR,2014-08-11,0.08701,20000,1740.2
TQBR,2014-08-12,0.08998,160000,14314.9
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.09,140000,12050.5
TQBR,2014-08-15,0.08113,8510000,695994.0
TQBR,2014-08-18,0.08599,3050000,258377.0
TQBR,2014-08-19,0.09059,3110000,279035.6
TQBR,2014-08-20,0.092,50000,4598.6
TQBR,2014-08-21,0.09,10000,900.0
TQBR,2014-08-22,0.088,20000,1760.0
TQBR,2014-08-25,0.08802,100000,8802.3
TQBR,2014-08-26,0.0888,20000,1785.6
TQBR,2014-08-27,0.08803,220000,19757.8
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,0.088,460000,40479.9
TQBR,2014-09-01,0.08751,110000,9625.6
TQBR,2014-09-02,0.08851,60000,5310.6
TQBR,2014-09-03,0.08851,120000,10619.7
TQBR,2014-09-04,0.08901,10000,890.1
TQBR,2014-09-05,0.088,2420000,212950.0
TQBR,2014-09-08,0.0885,470000,41453.1
TQBR,2014-09-09,0.0885,90000,7940.4
TQBR,2014-09-10,0.08901,1460000,133096.1
TQBR,2014-09-11,0.09,50000,4499.4
TQBR,2014-09-12,0.09,2630000,236702.4
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,0.08801,280000,23103.1
TQBR,2014-09-17,0.08801,20000,1760.2
TQBR,2014-09-18,0.088,10000,880.0
TQBR,2014-09-19,0.088,350000,30800.1
TQBR,2014-09-22,0.08901,20000,1780.2
TQBR,2014-09-23,0.093,330000,29463.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,0.089,1500000,129088.6
TQBR,2014-09-26,0.08861,20000,1786.1
TQBR,2014-09-29,0.08901,10000,890.1
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,0.0881,10000,881.0
TQBR,2014-10-06,0.09,60000,5399.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,0.094,300000,28389.0
TQBR,2014-10-09,0.0966,10000,966.0
TQBR,2014-10-10,0.0899,420000,37761.0
TQBR,2014-10-13,0.0895,360000,32221.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,0.089,280000,23938.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,0.089,710000,63190.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,,0,0.0
TQBR,2014-10-31,0.09,4220000,379800.0
TQBR,2014-11-03,0.0881,10000,881.0
TQBR,2014-11-05,,0,0.0
TQBR,2014-11-06,0.0871,30000,2613.0
TQBR,2014-11-07,0.094,6230000,584667.0
TQBR,2014-11-10,0.0928,120000,10720.0
TQBR,2014-11-11,,0,0.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,0.095,40000,3621.0
TQBR,2014-11-14,0.0949,10000,949.0
TQBR,2014-11-17,0.0901,10000,901.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,0.09,280000,24939.0
TQBR,2014-11-20,,0,0.0
TQBR,2014-11-21,0.09,20000,1800.0
TQBR,2014-11-24,,0,0.0
TQBR,2014-11-25,,0,0.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,0.09,1040000,93527.0
TQBR,2014-12-01,0.0856,330000,28245.0
TQBR,2014-12-02,0.089,3960000,353368.0
TQBR,2014-12-03,0.09,170000,15299.0
TQBR,2014-12-04,,0,0.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,0.09,1220000,109446.0
TQBR,2014-12-09,,0,0.0
TQBR,2014-12-10,0.088,100000,8454.0
TQBR,2014-12-11,0.0899,1020000,91644.0
TQBR,2014-12-12,,0,0.0
TQBR,2014-12-15,0.0871,10000,871.0
TQBR,2014-12-16,0.088,1130000,99711.0
TQBR,2014-12-17,0.0907,11260000,1017671.0
TQBR,2014-12-18,0.0881,340000,29954.0
TQBR,2014-12-19,0.088,1230000,102482.0
TQBR,2014-12-22,0.0842,1250000,109663.0
TQBR,2014-12-23,0.0885,110000,9605.0
TQBR,2014-12-24,0.09,5220000,478665.0
TQBR,2014-12-25,,0,0.0
TQBR,2014-12-26,0.0899,10000,899.0
TQBR,2014-12-29,0.0899,10000,899.0
TQBR,2014-12-30,0.09,680000,61034.0
TQBR,2015-01-05,0.0891,10000,891.0
TQBR,2015-01-06,,0,0.0
TQBR,2015-01-08,0.09,120000,10974.0
TQBR,2015-01-09,,0,0.0
TQBR,2015-01-12,,0,0.0
TQBR,2015-01-13,0.0861,10000,861.0
TQBR,2015-01-14,,0,0.0
TQBR,2015-01-15,0.084,10000,840.0
TQBR,2015-01-16,,0,0.0
TQBR,2015-01-19,0.0883,140000,12193.0
TQBR,2015-01-20,,0,0.0
TQBR,2015-01-21,0.0899,270000,23104.0
TQBR,2015-01-22,0.0844,110000,9944.0
TQBR,2015-01-23,,0,0.0
TQBR,2015-01-26,,0,0.0
TQBR,2015-01-27,,0,0.0
TQBR,2015-01-28,0.099,180000,16895.0
TQBR,2015-01-29,0.09,120000,10652.0
TQBR,2015-01-30,0.087,60000,5223.0
TQBR,2015-02-02,0.0888,4750000,422699.0
TQBR,2015-02-03,0.0883,10000,883.0
TQBR,2015-02-04,0.091,40000,3635.0
TQBR,2015-02-05,,0,0.0
TQBR,2015-02-06,,0,0.0
TQBR,2015-02-09,,0,0.0
TQBR,2015-02-10,0.092,50000,4525.0
TQBR,2015-02-11,,0,0.0
TQBR,2015-02-12,0.0855,570000,48384.0
TQBR,2015-02-13,0.0899,190000,16990.0
TQBR,2015-02-16,0.092,110000,10090.0
TQBR,2015-02-17,0.0911,120000,11233.0
TQBR,2015-02-18,0.0912,190000,16978.0
TQBR,2015-02-19,0.0912,80000,7230.0
TQBR,2015-02-20,0.0899,90000,8100.0
TQBR,2015-02-24,,0,0.0
TQBR,2015-02-25,0.089,2130000,189570.0
TQBR,2015-02-26,,0,0.0
TQBR,2015-02-27,0.089,10000,890.0
