BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.058,540000,31306.0
TQBR,2014-06-10,0.057,5910000,337108.6
TQBR,2014-06-11,0.05701,320000,18110.6
TQBR,2014-06-16,0.05685,11670000,664741.5
TQBR,2014-06-17,0.056,1660000,93079.6
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,0.058,3150000,185331.2
TQBR,2014-06-20,0.05788,200000,11359.3
TQBR,2014-06-23,0.0565,820000,46660.4
TQBR,2014-06-24,0.0566,4220000,239352.7
TQBR,2014-06-25,0.057,240000,13681.2
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,0.0594,3320000,194249.1
TQBR,2014-06-30,0.05633,180000,10129.7
TQBR,2014-07-01,0.05698,2870000,162970.0
TQBR,2014-07-02,0.05685,1630000,91361.1
TQBR,2014-07-03,0.0567,1670000,94451.8
TQBR,2014-07-04,0.05702,5410000,313422.5
TQBR,2014-07-07,0.05886,240000,14033.5
TQBR,2014-07-08,0.05945,30000,1783.5
TQBR,2014-07-09,0.0606,14290000,864071.1
TQBR,2014-07-10,0.05819,750000,43689.7
TQBR,2014-07-11,0.05803,5610000,323670.0
TQBR,2014-07-14,0.057,2800000,160468.0
TQBR,2014-07-15,0.05853,133980000,7899136.3
TQBR,2014-07-16,0.05962,4020000,239668.1
TQBR,2014-07-17,0.059,3670000,215629.0
TQBR,2014-07-18,0.05905,133450000,7865413.5
TQBR,2014-07-21,0.05832,70000,4082.4
TQBR,2014-07-22,0.05774,20000,1142.2
TQBR,2014-07-23,0.05885,30000,1765.5
TQBR,2014-07-24,0.06027,340000,20049.7
TQBR,2014-07-25,0.05946,180000,10413.8
TQBR,2014-07-28,0.0565,2650000,153699.1
TQBR,2014-07-29,0.058,4200000,238257.6
TQBR,2014-07-30,0.0589,980000,56388.5
TQBR,2014-07-31,0.05844,2750000,159705.4
TQBR,2014-08-01,0.057,2830000,162005.3
TQBR,2014-08-04,0.05714,10000,571.4
TQBR,2014-08-05,0.05651,4080000,231371.8
TQBR,2014-08-06,0.05657,1450000,81932.4
TQBR,2014-08-07,0.05708,950000,54009.5
TQBR,2014-08-08,0.05889,230000,13225.1
TQBR,2014-08-11,0.06036,2420000,143793.7
TQBR,2014-08-12,0.06001,6170000,372025.1
TQBR,2014-08-13,0.06107,1340000,82215.6
TQBR,2014-08-14,0.062,7350000,463026.8
TQBR,2014-08-15,0.06117,10000,611.7
TQBR,2014-08-18,0.06093,130000,8649.3
TQBR,2014-08-19,0.05998,210000,12588.9
TQBR,2014-08-20,0.058,2600000,152338.0
TQBR,2014-08-21,0.0585,21400000,1231844.1
TQBR,2014-08-22,0.0599,40000,2344.9
TQBR,2014-08-25,0.05997,660000,38818.3
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,0.061,50000,3050.0
TQBR,2014-08-28,0.059,20000,1180.1
TQBR,2014-08-29,0.05859,40000,2366.8
TQBR,2014-09-01,0.05952,870000,52137.1
TQBR,2014-09-02,0.062,5180000,309246.2
TQBR,2014-09-03,0.06264,310000,19233.8
TQBR,2014-09-04,0.06072,1160000,71823.2
TQBR,2014-09-05,0.0637,50000,3184.9
TQBR,2014-09-08,0.059,2890000,173072.6
TQBR,2014-09-09,0.0605,430000,26000.4
TQBR,2014-09-10,0.06158,3650000,219769.8
TQBR,2014-09-11,0.06275,5410000,347451.3
TQBR,2014-09-12,0.06207,1570000,98508.2
TQBR,2014-09-15,0.06101,11940000,751572.2
TQBR,2014-09-16,0.06154,620000,37776.9
TQBR,2014-09-17,0.05992,1080000,63852.9
TQBR,2014-09-18,0.06069,1470000,87407.7
TQBR,2014-09-19,0.06047,190000,11531.3
TQBR,2014-09-22,0.05903,460000,27741.9
TQBR,2014-09-23,0.0595,210000,12558.5
TQBR,2014-09-24,0.06097,130000,7751.2
TQBR,2014-09-25,0.06219,110000,6650.9
TQBR,2014-09-26,0.05839,1770000,103343.3
TQBR,2014-09-29,0.05848,6150000,361976.7
TQBR,2014-09-30,0.05801,2420000,139240.0
TQBR,2014-10-01,0.0568,2160000,122278.0
TQBR,2014-10-02,0.0565,1720000,96769.0
TQBR,2014-10-03,0.0579,160000,9178.0
TQBR,2014-10-06,0.0578,80000,4675.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,0.0573,90000,5160.0
TQBR,2014-10-09,0.0563,40000,2274.0
TQBR,2014-10-10,0.0569,20000,1132.0
TQBR,2014-10-13,0.058,100000,5794.0
TQBR,2014-10-14,0.057,4080000,232817.0
TQBR,2014-10-15,0.0564,3110000,173238.0
TQBR,2014-10-16,0.0565,10540000,595178.0
TQBR,2014-10-17,0.057,4420000,251158.0
TQBR,2014-10-20,0.0567,2560000,144042.0
TQBR,2014-10-21,0.0565,8290000,468641.0
TQBR,2014-10-22,0.0565,2960000,167322.0
TQBR,2014-10-23,0.0565,1220000,68349.0
TQBR,2014-10-24,0.0567,2780000,156282.0
TQBR,2014-10-27,0.0573,2550000,145559.0
TQBR,2014-10-28,0.0569,20000,1145.0
TQBR,2014-10-29,0.0568,2240000,125615.0
TQBR,2014-10-30,0.0578,15950000,910515.0
TQBR,2014-10-31,0.0608,3050000,184993.0
TQBR,2014-11-03,0.0606,400000,24027.0
TQBR,2014-11-05,0.0599,12810000,756671.0
TQBR,2014-11-06,0.0591,2710000,161396.0
TQBR,2014-11-07,0.0573,550000,32356.0
TQBR,2014-11-10,0.0585,11430000,672012.0
TQBR,2014-11-11,0.0583,520000,30858.0
TQBR,2014-11-12,0.0582,810000,47086.0
TQBR,2014-11-13,0.0594,15230000,896010.0
TQBR,2014-11-14,0.0605,11250000,661647.0
TQBR,2014-11-17,0.0599,160000,9596.0
TQBR,2014-11-18,0.0594,50000,2981.0
TQBR,2014-11-19,0.0584,215210000,12589778.0
TQBR,2014-11-20,0.0594,590000,35171.0
TQBR,2014-11-21,0.06,2010000,122309.0
TQBR,2014-11-24,0.0611,20000,1229.0
TQBR,2014-11-25,0.0606,300000,18186.0
TQBR,2014-11-26,0.0609,2570000,159145.0
TQBR,2014-11-27,0.0613,2390000,146982.0
TQBR,2014-11-28,0.0594,2780000,166989.0
TQBR,2014-12-01,0.0593,7700000,464239.0
TQBR,2014-12-02,0.06,3490000,207879.0
TQBR,2014-12-03,0.0602,2230000,134584.0
TQBR,2014-12-04,0.0607,2450000,147729.0
TQBR,2014-12-05,0.0595,2750000,167740.0
TQBR,2014-12-08,0.0589,1920000,113014.0
TQBR,2014-12-09,0.0579,3710000,210327.0
TQBR,2014-12-10,0.0569,1260000,72505.0
TQBR,2014-12-11,0.0575,1310000,75628.0
TQBR,2014-12-12,0.0576,1930000,110023.0
TQBR,2014-12-15,0.0581,4060000,234829.0
TQBR,2014-12-16,0.055,6510000,338545.0
TQBR,2014-12-17,0.0578,1440000,80581.0
TQBR,2014-12-18,0.0585,2800000,167107.0
TQBR,2014-12-19,0.0586,850000,51500.0
TQBR,2014-12-22,0.0625,1930000,119339.0
TQBR,2014-12-23,0.0608,3010000,186219.0
TQBR,2014-12-24,0.0605,1780000,108517.0
TQBR,2014-12-25,0.0604,680000,40855.0
TQBR,2014-12-26,0.0595,270000,16097.0
TQBR,2014-12-29,0.06,3420000,212195.0
TQBR,2014-12-30,0.0611,380000,23092.0
TQBR,2015-01-05,0.0607,450000,27024.0
TQBR,2015-01-06,0.061,30000,1828.0
TQBR,2015-01-08,0.0626,90000,5620.0
TQBR,2015-01-09,0.0618,10000,618.0
TQBR,2015-01-12,0.06,1130000,67429.0
TQBR,2015-01-13,0.0603,120000,7248.0
TQBR,2015-01-14,0.0601,1240000,74953.0
TQBR,2015-01-15,0.0601,880000,51906.0
TQBR,2015-01-16,0.06,2050000,122886.0
TQBR,2015-01-19,0.0605,20000,1210.0
TQBR,2015-01-20,0.0595,340000,20188.0
TQBR,2015-01-21,0.0591,1760000,103611.0
TQBR,2015-01-22,0.0585,1660000,97767.0
TQBR,2015-01-23,0.058,1730000,100988.0
TQBR,2015-01-26,0.058,2610000,147047.0
TQBR,2015-01-27,0.0588,6030000,361236.0
TQBR,2015-01-28,0.059,410000,24535.0
TQBR,2015-01-29,0.0589,4240000,249372.0
TQBR,2015-01-30,0.0589,2000000,117805.0
TQBR,2015-02-02,0.0583,7650000,449312.0
TQBR,2015-02-03,0.0579,86330000,5047558.0
TQBR,2015-02-04,0.058,20210000,1174630.0
TQBR,2015-02-05,0.0585,70000,4084.0
TQBR,2015-02-06,0.058,1040000,60908.0
TQBR,2015-02-09,0.0576,11310000,654947.0
TQBR,2015-02-10,0.0573,7070000,407715.0
TQBR,2015-02-11,0.0578,4170000,240183.0
TQBR,2015-02-12,0.0573,15770000,905533.0
TQBR,2015-02-13,0.0588,18890000,1109597.0
TQBR,2015-02-16,0.059,25940000,1530870.0
TQBR,2015-02-17,0.0588,2650000,156554.0
TQBR,2015-02-18,0.0579,88350000,5156298.0
TQBR,2015-02-19,0.058,63660000,3699713.0
TQBR,2015-02-20,0.058,8280000,482224.0
TQBR,2015-02-24,0.0588,18310000,1046624.0
TQBR,2015-02-25,0.058,19240000,1105742.0
TQBR,2015-02-26,0.0605,18990000,1102072.0
TQBR,2015-02-27,0.0613,9540000,569477.0
TQBR,2015-03-02,0.061,5830000,357950.0
TQBR,2015-03-03,0.0659,31910000,2041491.0
TQBR,2015-03-04,0.0774,67270000,4952058.0
TQBR,2015-03-05,0.0755,5130000,382482.0
TQBR,2015-03-06,0.071,33780000,2376797.0
TQBR,2015-03-10,0.0693,3220000,224357.0
TQBR,2015-03-11,0.0697,8320000,587956.0
TQBR,2015-03-12,0.0749,19100000,1416033.0
TQBR,2015-03-13,0.0755,8740000,666985.0
TQBR,2015-03-16,0.0729,1030000,75459.0
TQBR,2015-03-17,0.0726,1280000,92923.0
TQBR,2015-03-18,0.0757,4540000,345783.0
TQBR,2015-03-19,0.0739,17230000,1288213.0
TQBR,2015-03-20,0.071,19570000,1392728.0
TQBR,2015-03-23,0.0681,6810000,469419.0
TQBR,2015-03-24,0.0671,17360000,1171946.0
TQBR,2015-03-25,0.0667,14200000,948126.0
TQBR,2015-03-26,0.0655,1930000,127143.0
TQBR,2015-03-27,0.0654,3920000,254685.0
TQBR,2015-03-30,0.0672,7870000,513710.0
TQBR,2015-03-31,0.067,40000,2648.0
TQBR,2015-04-01,0.067,7170000,474633.0
TQBR,2015-04-02,0.0675,5410000,364935.0
TQBR,2015-04-03,0.0684,2130000,146369.0
TQBR,2015-04-06,0.0708,1950000,136404.0
TQBR,2015-04-07,0.07,2740000,193830.0
TQBR,2015-04-08,0.069,9550000,660715.0
TQBR,2015-04-09,0.0664,27380000,1828716.0
TQBR,2015-04-10,0.0668,26910000,1762513.0
TQBR,2015-04-13,0.0669,17100000,1146900.0
TQBR,2015-04-14,0.0669,760000,50439.0
TQBR,2015-04-15,0.0678,8430000,564222.0
TQBR,2015-04-16,0.0716,19740000,1372715.0
TQBR,2015-04-17,0.0742,12840000,938504.0
TQBR,2015-04-20,0.073,9950000,727896.0
TQBR,2015-04-21,0.0742,18060000,1364126.0
TQBR,2015-04-22,0.0762,620000,45843.0
TQBR,2015-04-23,0.0704,51580000,3619625.0
TQBR,2015-04-24,0.0708,5720000,400666.0
TQBR,2015-04-27,0.07,143580000,10053030.0
TQBR,2015-04-28,0.0702,17420000,1228280.0
TQBR,2015-04-29,0.07,5000000,350331.0
TQBR,2015-04-30,0.0708,7540000,528329.0
TQBR,2015-05-05,0.074,22900000,1695351.0
TQBR,2015-05-06,0.073,3610000,268776.0
TQBR,2015-05-07,0.0721,3620000,259920.0
TQBR,2015-05-08,0.0729,2250000,162670.0
TQBR,2015-05-12,0.0751,8370000,628194.0
TQBR,2015-05-13,0.0756,4340000,333501.0
TQBR,2015-05-14,0.0768,5730000,448958.0
TQBR,2015-05-15,0.078,2950000,229281.0
TQBR,2015-05-18,0.0779,2380000,184080.0
TQBR,2015-05-19,0.0775,5050000,391679.0
TQBR,2015-05-20,0.076,3510000,265351.0
TQBR,2015-05-21,0.0755,700000,52890.0
TQBR,2015-05-22,0.0774,3170000,244010.0
TQBR,2015-05-25,0.0776,1380000,106835.0
TQBR,2015-05-26,0.0762,740000,56040.0
TQBR,2015-05-27,0.076,4000000,304371.0
TQBR,2015-05-28,0.0758,1710000,132119.0
TQBR,2015-05-29,0.076,5170000,392935.0
TQBR,2015-06-01,0.0761,6830000,512487.0
TQBR,2015-06-02,0.0781,4150000,315407.0
TQBR,2015-06-03,0.0789,6490000,511513.0
TQBR,2015-06-04,0.0775,2460000,190919.0
TQBR,2015-06-05,0.0795,16760000,1319641.0
TQBR,2015-06-08,0.078,2610000,205552.0
TQBR,2015-06-09,0.078,2040000,159164.0
TQBR,2015-06-10,0.0772,19100000,1453787.0
TQBR,2015-06-11,0.077,430000,33207.0
TQBR,2015-06-15,0.0812,7770000,609662.0
TQBR,2015-06-16,0.082,2710000,220106.0
TQBR,2015-06-17,0.0818,2470000,201866.0
TQBR,2015-06-18,0.081,1430000,115160.0
TQBR,2015-06-19,0.0839,5960000,494308.0
TQBR,2015-06-22,0.0846,8100000,698299.0
TQBR,2015-06-23,0.085,3260000,278904.0
TQBR,2015-06-24,0.084,3740000,318258.0
TQBR,2015-06-25,0.0845,5420000,455758.0
TQBR,2015-06-26,0.0805,5110000,410168.0
TQBR,2015-06-29,0.0788,960000,75308.0
TQBR,2015-06-30,0.077,4250000,325122.0
TQBR,2015-07-01,0.0759,1950000,147148.0
TQBR,2015-07-02,0.077,1670000,127086.0
TQBR,2015-07-03,0.075,1660000,125189.0
TQBR,2015-07-06,0.075,3670000,275679.0
TQBR,2015-07-07,0.075,8210000,615775.0
TQBR,2015-07-08,0.0745,1550000,115784.0
TQBR,2015-07-09,0.0759,30000,2252.0
TQBR,2015-07-10,0.0745,2530000,189886.0
TQBR,2015-07-13,0.0753,840000,62707.0
TQBR,2015-07-14,0.074,210000,15547.0
TQBR,2015-07-15,0.0731,360000,26210.0
TQBR,2015-07-16,0.0742,140000,10347.0
TQBR,2015-07-17,0.0732,440000,32509.0
TQBR,2015-07-20,0.0727,2250000,162329.0
TQBR,2015-07-21,0.0709,18630000,1307561.0
TQBR,2015-07-22,0.0718,2330000,167417.0
TQBR,2015-07-23,0.0715,310000,22060.0
TQBR,2015-07-24,0.0717,130000,9318.0
TQBR,2015-07-27,0.0681,1970000,137676.0
TQBR,2015-07-28,0.0681,930000,62988.0
TQBR,2015-07-29,0.0693,1660000,114979.0
TQBR,2015-07-30,0.0695,1310000,90326.0
TQBR,2015-07-31,0.0688,3060000,208203.0
TQBR,2015-08-03,0.0676,3070000,207587.0
TQBR,2015-08-04,0.0678,4390000,296758.0
TQBR,2015-08-05,0.0679,450000,30313.0
TQBR,2015-08-06,0.0677,820000,54373.0
TQBR,2015-08-07,0.0675,2940000,197203.0
TQBR,2015-08-10,0.067,2490000,166032.0
TQBR,2015-08-11,0.0679,2080000,141709.0
TQBR,2015-08-12,0.068,5390000,365735.0
TQBR,2015-08-13,0.0674,2390000,161887.0
TQBR,2015-08-14,0.0676,1220000,82510.0
TQBR,2015-08-17,0.0684,1020000,69089.0
TQBR,2015-08-18,0.0683,90000,6093.0
TQBR,2015-08-19,0.0668,7940000,530223.0
TQBR,2015-08-20,0.0672,630000,42183.0
TQBR,2015-08-21,0.0669,960000,64404.0
TQBR,2015-08-24,0.063,5890000,376431.0
TQBR,2015-08-25,0.0649,730000,47106.0
TQBR,2015-08-26,0.065,1950000,126158.0
TQBR,2015-08-27,0.0655,1230000,80929.0
TQBR,2015-08-28,0.0656,1770000,117869.0
TQBR,2015-08-31,0.0662,770000,51207.0
TQBR,2015-09-01,0.0666,250000,16788.0
TQBR,2015-09-02,0.068,230000,15591.0
TQBR,2015-09-03,0.0694,990000,67875.0
TQBR,2015-09-04,0.0686,3040000,212497.0
TQBR,2015-09-07,0.0696,1340000,93233.0
TQBR,2015-09-08,0.0687,300000,20503.0
TQBR,2015-09-09,0.0686,1540000,106085.0
TQBR,2015-09-10,0.0702,450000,31273.0
TQBR,2015-09-11,0.0717,3210000,230048.0
TQBR,2015-09-14,0.0765,12280000,933394.0
TQBR,2015-09-15,0.0761,5250000,398308.0
TQBR,2015-09-16,0.0752,4580000,344415.0
TQBR,2015-09-17,0.0759,3590000,270152.0
TQBR,2015-09-18,0.0757,2110000,159756.0
TQBR,2015-09-21,0.0763,4740000,358350.0
TQBR,2015-09-22,0.076,1160000,88033.0
TQBR,2015-09-23,0.0751,3200000,243154.0
TQBR,2015-09-24,0.0754,25730000,1950384.0
TQBR,2015-09-25,0.075,3050000,231098.0
TQBR,2015-09-28,0.0749,1400000,106019.0
TQBR,2015-09-29,0.076,880000,66875.0
TQBR,2015-09-30,0.0755,280000,21001.0
TQBR,2015-10-01,0.0759,1690000,127899.0
TQBR,2015-10-02,0.0753,31270000,2344874.0
TQBR,2015-10-05,0.0749,550000,41127.0
TQBR,2015-10-06,0.0752,8640000,642092.0
TQBR,2015-10-07,0.0774,4850000,376339.0
TQBR,2015-10-08,0.0777,8580000,660565.0
TQBR,2015-10-09,0.0798,1890000,150148.0
TQBR,2015-10-12,0.0795,8730000,702015.0
TQBR,2015-10-13,0.08,4040000,322742.0
TQBR,2015-10-14,0.08,240000,19277.0
TQBR,2015-10-15,0.0796,2030000,160159.0
TQBR,2015-10-16,0.0819,7320000,598449.0
TQBR,2015-10-19,0.0834,7940000,676299.0
TQBR,2015-10-20,0.0808,2110000,173945.0
TQBR,2015-10-21,0.0822,6370000,537942.0
TQBR,2015-10-22,0.0835,370000,30405.0
TQBR,2015-10-23,0.0839,240000,20135.0
TQBR,2015-10-26,0.0838,640000,52870.0
TQBR,2015-10-27,0.083,3980000,331998.0
TQBR,2015-10-28,0.0869,6770000,603870.0
TQBR,2015-10-29,0.092,8170000,758773.0
TQBR,2015-10-30,0.0919,430000,39719.0
