BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,0.103,40000,4120.2
TQBR,2014-06-17,0.1,80000,8150.5
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,0.1,110000,11000.0
TQBR,2014-06-20,0.10499,60000,6299.2
TQBR,2014-06-23,0.1055,20000,2105.0
TQBR,2014-06-24,0.10801,40000,4320.2
TQBR,2014-06-25,0.10002,10000,1000.2
TQBR,2014-06-26,0.10901,190000,20828.8
TQBR,2014-06-27,0.10302,190000,20950.5
TQBR,2014-06-30,0.096,780000,81980.8
TQBR,2014-07-01,0.09889,160000,15978.9
TQBR,2014-07-02,0.10097,230000,22929.7
TQBR,2014-07-03,0.0945,300000,32280.9
TQBR,2014-07-04,0.095,300000,28523.3
TQBR,2014-07-07,0.09112,60000,5469.6
TQBR,2014-07-08,0.09201,40000,4238.1
TQBR,2014-07-09,0.098,20000,1969.9
TQBR,2014-07-10,0.091,80000,7475.1
TQBR,2014-07-11,0.0902,90000,8126.7
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,0.094,10000,940.0
TQBR,2014-07-21,0.095,30000,2850.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,0.11982,60000,7208.5
TQBR,2014-07-29,0.11977,20000,2395.4
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.091,40000,3623.2
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,0.09011,20000,1802.2
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,0.09011,10000,901.1
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.0901,10000,901.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,0.09011,300000,27031.6
