BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,1.001,1000,1001.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,1.0005,1000,1000.5
TQBR,2013-08-20,1.1097,192000,190324.8
TQBR,2013-08-21,1.4441,3000,3900.1
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,1.135,1000,1135.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,1.15,1000,1150.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,1.0918,1000,1091.8
TQBR,2013-09-02,1.0808,5526000,6048011.3
TQBR,2013-09-03,1.0936,10279000,11123955.3
TQBR,2013-09-04,1.0844,6430000,7006341.7
TQBR,2013-09-05,1.088,14547000,15767599.1
TQBR,2013-09-06,1.0704,15407000,16647837.5
TQBR,2013-09-09,1.0935,13983000,15260107.3
TQBR,2013-09-10,1.1147,21052000,23367476.0
TQBR,2013-09-11,1.1203,29596000,33167047.7
TQBR,2013-09-12,1.084,17495000,19232616.7
TQBR,2013-09-13,1.0849,17868000,19443172.5
TQBR,2013-09-16,1.0967,11224000,12239924.6
TQBR,2013-09-17,1.0831,10021000,10868377.6
TQBR,2013-09-18,1.0849,14147000,15351162.3
TQBR,2013-09-19,1.0897,14116000,15390756.6
TQBR,2013-09-20,1.0918,5453000,5934997.7
TQBR,2013-09-23,1.0739,15652000,16884850.5
TQBR,2013-09-24,1.0708,10988000,11782370.6
TQBR,2013-09-25,1.0731,47828000,51507751.4
TQBR,2013-09-26,1.077,11954000,12900803.7
TQBR,2013-09-27,1.064,24730000,26446368.0
TQBR,2013-09-30,1.0378,13691000,14346058.0
TQBR,2013-10-01,1.0349,26575000,27381714.2
TQBR,2013-10-02,1.0257,10303000,10647312.2
TQBR,2013-10-03,1.025,7321000,7533998.8
TQBR,2013-10-04,1.024,7905000,8078729.9
TQBR,2013-10-07,1.0376,10098000,10402925.2
TQBR,2013-10-08,1.0284,16168000,16618402.5
TQBR,2013-10-09,1.02,18232000,18620471.4
TQBR,2013-10-10,1.0159,35540000,35765862.1
TQBR,2013-10-11,1.0145,4457000,4533320.8
TQBR,2013-10-14,0.9999,18660000,18707635.2
TQBR,2013-10-15,0.996,17673000,17645177.4
TQBR,2013-10-16,0.9701,39152000,38273718.4
TQBR,2013-10-17,0.9879,35504000,34693352.4
TQBR,2013-10-18,0.9738,29779000,29016219.4
TQBR,2013-10-21,0.9789,37307000,36583637.2
TQBR,2013-10-22,0.9544,35191000,33876812.2
TQBR,2013-10-23,0.928,41515000,38662012.1
TQBR,2013-10-24,0.9243,14528000,13499831.3
TQBR,2013-10-25,0.9135,26560000,24196587.6
TQBR,2013-10-28,0.919,11776000,10814562.0
TQBR,2013-10-29,0.9169,6496000,5941583.7
TQBR,2013-10-30,0.926,23637000,21838103.6
TQBR,2013-10-31,0.918,13679000,12620776.9
TQBR,2013-11-01,0.9251,4928000,4563514.0
TQBR,2013-11-05,0.9294,8816000,8205441.9
TQBR,2013-11-06,0.9185,4818000,4432547.7
TQBR,2013-11-07,0.9077,14384000,13059887.9
TQBR,2013-11-08,0.9005,18869000,17013010.5
TQBR,2013-11-11,0.8983,6854000,6176747.5
TQBR,2013-11-12,0.8824,15838000,13950345.1
