BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,1.15,22000,25300.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,1.1042,3651000,4059702.4
TQBR,2013-09-03,1.0937,909000,995343.6
TQBR,2013-09-04,1.0964,479000,527088.7
TQBR,2013-09-05,1.129,1681000,1857509.6
TQBR,2013-09-06,1.1152,477000,544228.0
TQBR,2013-09-09,1.143,1372000,1556944.5
TQBR,2013-09-10,1.175,2430000,2813979.3
TQBR,2013-09-11,1.1708,349000,406247.0
TQBR,2013-09-12,1.1508,1944000,2221343.4
TQBR,2013-09-13,1.155,1798000,2069601.6
TQBR,2013-09-16,1.24,8561000,10334808.7
TQBR,2013-09-17,1.2005,717000,867409.3
TQBR,2013-09-18,1.1698,1705000,2011526.7
TQBR,2013-09-19,1.1929,2634000,3134817.6
TQBR,2013-09-20,1.191,33906000,40209956.4
TQBR,2013-09-23,1.1781,609000,720817.3
TQBR,2013-09-24,1.199,5152000,6130641.9
TQBR,2013-09-25,1.2,616000,737563.1
TQBR,2013-09-26,1.1979,1445000,1731345.8
TQBR,2013-09-27,1.1809,1151000,1352342.1
TQBR,2013-09-30,1.1771,16276000,19205824.3
TQBR,2013-10-01,1.1954,467000,556937.3
TQBR,2013-10-02,1.1807,2467000,2971551.9
TQBR,2013-10-03,1.1791,1145000,1360329.5
TQBR,2013-10-04,1.1903,1698000,2008773.5
TQBR,2013-10-07,1.1782,677000,804870.1
TQBR,2013-10-08,1.1898,891000,1061113.5
TQBR,2013-10-09,1.191,768000,914991.8
TQBR,2013-10-10,1.2001,1586000,1889818.9
TQBR,2013-10-11,1.2007,1830000,2168351.7
TQBR,2013-10-14,1.1995,1381000,1656551.4
TQBR,2013-10-15,1.2015,1217000,1464762.5
TQBR,2013-10-16,1.277,3092000,3855466.4
TQBR,2013-10-17,1.277,1434000,1808477.6
TQBR,2013-10-18,1.2881,4476000,5743993.6
TQBR,2013-10-21,1.2604,2237000,2849469.3
TQBR,2013-10-22,1.2731,2328000,2970576.7
TQBR,2013-10-23,1.2555,1218000,1530302.3
TQBR,2013-10-24,1.265,1472000,1854218.4
TQBR,2013-10-25,1.271,461000,586442.3
TQBR,2013-10-28,1.275,599000,770332.8
TQBR,2013-10-29,1.265,400000,507572.1
TQBR,2013-10-30,1.2689,1961000,2469062.9
TQBR,2013-10-31,1.2648,10572000,13376320.6
TQBR,2013-11-01,1.262,203000,258125.4
TQBR,2013-11-05,1.2291,434000,540714.5
TQBR,2013-11-06,1.2048,2207000,2696220.5
TQBR,2013-11-07,1.2202,895000,1086917.5
TQBR,2013-11-08,1.202,743000,892665.4
TQBR,2013-11-11,1.2402,1118000,1366765.0
TQBR,2013-11-12,1.219,816000,992938.5
TQBR,2013-11-13,1.1279,4110000,4883671.3
TQBR,2013-11-14,1.2,7872000,9446011.0
