BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,110.48,168720,18874584.1
TQBR,2014-06-10,109.63,119030,13131128.4
TQBR,2014-06-11,108.94,103730,11391334.6
TQBR,2014-06-16,109.58,133970,14697499.9
TQBR,2014-06-17,108.01,9160,994325.2
TQBR,2014-06-18,108.8,6090,662515.2
TQBR,2014-06-19,108.11,34210,3719509.6
TQBR,2014-06-20,106.99,49430,5280081.0
TQBR,2014-06-23,106.51,27760,2951571.3
TQBR,2014-06-24,107.01,56180,6033811.7
TQBR,2014-06-25,106.7,29170,3117418.0
TQBR,2014-06-26,106.61,23200,2481837.8
TQBR,2014-06-27,108.0,38690,4195158.1
TQBR,2014-06-30,109.38,46640,5057608.0
TQBR,2014-07-01,108.0,66500,7229124.7
TQBR,2014-07-02,108.0,45490,4921808.4
TQBR,2014-07-03,110.32,162940,18220057.5
TQBR,2014-07-04,113.21,120960,13641997.9
TQBR,2014-07-07,115.0,61200,7024928.9
TQBR,2014-07-08,115.3,197190,22685256.6
TQBR,2014-07-09,116.19,62990,7308646.9
TQBR,2014-07-10,114.43,114440,13224898.0
TQBR,2014-07-11,114.47,60940,6980492.4
TQBR,2014-07-14,113.0,108910,12362508.0
TQBR,2014-07-15,106.5,76220,8269442.1
TQBR,2014-07-16,106.77,10400,1107375.5
TQBR,2014-07-17,105.5,58400,6235009.7
TQBR,2014-07-18,103.15,196890,20035242.3
TQBR,2014-07-21,101.25,60460,6256434.3
TQBR,2014-07-22,102.99,60180,6242366.7
TQBR,2014-07-23,102.42,72350,7243590.3
TQBR,2014-07-24,103.74,54720,5718563.1
TQBR,2014-07-25,100.55,5450,554396.7
TQBR,2014-07-28,97.1,10340,1019578.6
TQBR,2014-07-29,96.99,156260,15109860.6
TQBR,2014-07-30,97.31,69530,6826319.1
TQBR,2014-07-31,97.27,5280,515558.0
TQBR,2014-08-01,95.0,15070,1432336.0
TQBR,2014-08-04,94.8,17080,1622467.4
TQBR,2014-08-05,93.02,44190,4157843.4
TQBR,2014-08-06,90.96,139540,12806960.6
TQBR,2014-08-07,89.91,38820,3463597.9
TQBR,2014-08-08,91.06,131820,12180054.7
TQBR,2014-08-11,92.89,21670,2011663.0
TQBR,2014-08-12,92.26,14770,1368503.0
TQBR,2014-08-13,91.06,44720,4110695.7
TQBR,2014-08-14,91.0,25310,2305943.9
TQBR,2014-08-15,92.0,25600,2350794.1
TQBR,2014-08-18,91.31,32680,2990144.1
TQBR,2014-08-19,94.8,336110,31072663.0
TQBR,2014-08-20,95.86,34570,3300702.4
TQBR,2014-08-21,93.4,68940,6591596.0
TQBR,2014-08-22,93.33,55640,5206338.0
TQBR,2014-08-25,94.35,441980,41972180.3
TQBR,2014-08-26,92.7,29330,2755199.2
TQBR,2014-08-27,92.99,73970,6880956.9
TQBR,2014-08-28,88.96,106120,9650117.5
TQBR,2014-08-29,86.0,177750,15473131.8
TQBR,2014-09-01,85.48,79960,6902677.7
TQBR,2014-09-02,84.2,58820,4958332.4
TQBR,2014-09-03,85.22,546810,46636801.9
TQBR,2014-09-04,84.11,145310,12267589.4
TQBR,2014-09-05,84.21,77980,6576375.2
TQBR,2014-09-08,83.99,59300,4990922.9
TQBR,2014-09-09,84.2,91210,7661233.7
TQBR,2014-09-10,84.4,88150,7421354.0
TQBR,2014-09-11,85.31,175430,15004717.7
TQBR,2014-09-12,84.7,93430,7922199.2
TQBR,2014-09-15,83.99,94410,7923677.4
TQBR,2014-09-16,84.1,49850,4197670.4
TQBR,2014-09-17,83.0,119050,9980514.7
TQBR,2014-09-18,83.7,38860,3242024.4
TQBR,2014-09-19,82.94,39740,3312780.2
TQBR,2014-09-22,83.0,23240,1929132.4
TQBR,2014-09-23,84.38,65090,5445011.5
TQBR,2014-09-24,86.5,148210,12749132.5
TQBR,2014-09-25,88.58,205970,18189645.5
TQBR,2014-09-26,88.65,78810,6969648.3
TQBR,2014-09-29,89.17,167450,15171569.0
TQBR,2014-09-30,89.92,49550,4426814.6
TQBR,2014-10-01,89.4,70670,6282082.0
TQBR,2014-10-02,88.0,53810,4757139.0
TQBR,2014-10-03,88.3,51440,4526295.0
TQBR,2014-10-06,86.5,48850,4252023.0
TQBR,2014-10-07,86.7,34270,2969299.0
TQBR,2014-10-08,84.8,27010,2315783.0
TQBR,2014-10-09,84.8,90870,7676378.0
TQBR,2014-10-10,83.3,20670,1732722.0
TQBR,2014-10-13,83.6,90160,7451070.0
TQBR,2014-10-14,84.1,120640,10046725.0
TQBR,2014-10-15,81.9,56460,4718243.0
TQBR,2014-10-16,82.8,61180,5048146.0
TQBR,2014-10-17,84.2,121190,10074822.0
TQBR,2014-10-20,84.2,6590,556434.0
TQBR,2014-10-21,83.4,22290,1856946.0
TQBR,2014-10-22,84.5,56030,4769603.0
TQBR,2014-10-23,83.5,24830,2079700.0
TQBR,2014-10-24,85.0,42080,3518455.0
TQBR,2014-10-27,85.2,55860,4768439.0
TQBR,2014-10-28,83.8,57030,4830134.0
TQBR,2014-10-29,84.2,68770,5751785.0
TQBR,2014-10-30,87.4,47830,4114479.0
TQBR,2014-10-31,87.5,42950,3738339.0
TQBR,2014-11-03,86.3,18040,1563721.0
TQBR,2014-11-05,87.0,61870,5342395.0
TQBR,2014-11-06,88.1,40870,3574212.0
TQBR,2014-11-07,86.8,28300,2462372.0
TQBR,2014-11-10,86.3,21240,1832186.0
TQBR,2014-11-11,87.0,16160,1399364.0
TQBR,2014-11-12,87.1,34220,2965423.0
TQBR,2014-11-13,83.7,57070,4813019.0
TQBR,2014-11-14,81.6,278250,22937228.0
TQBR,2014-11-17,80.5,93170,7547435.0
TQBR,2014-11-18,81.8,20650,1686620.0
TQBR,2014-11-19,80.3,127980,10412327.0
TQBR,2014-11-20,79.6,114540,9205100.0
TQBR,2014-11-21,79.7,58640,4664294.0
TQBR,2014-11-24,80.5,48230,3879674.0
TQBR,2014-11-25,79.0,647390,51225003.0
TQBR,2014-11-26,79.0,19040,1503639.0
TQBR,2014-11-27,79.1,16340,1291840.0
TQBR,2014-11-28,75.5,133230,10181167.0
TQBR,2014-12-01,73.4,159160,11596773.0
TQBR,2014-12-02,71.0,106740,7695278.0
TQBR,2014-12-03,67.8,258280,17451229.0
TQBR,2014-12-04,68.2,106100,7224189.0
TQBR,2014-12-05,75.0,806950,59339679.0
TQBR,2014-12-08,75.7,566080,45004824.0
TQBR,2014-12-09,72.7,313910,22819054.0
TQBR,2014-12-10,73.9,114500,8447040.0
TQBR,2014-12-11,72.1,47350,3417870.0
TQBR,2014-12-12,71.2,249380,18043122.0
TQBR,2014-12-15,67.1,213120,15021778.0
TQBR,2014-12-16,60.4,351360,21751452.0
TQBR,2014-12-17,59.2,298620,17168118.0
TQBR,2014-12-18,60.8,117930,7245511.0
TQBR,2014-12-19,61.3,138270,8538974.0
TQBR,2014-12-22,68.0,603590,38604519.0
TQBR,2014-12-23,68.0,265810,17922730.0
TQBR,2014-12-24,66.6,86010,5932518.0
TQBR,2014-12-25,67.5,41910,2789348.0
TQBR,2014-12-26,65.7,40880,2696181.0
TQBR,2014-12-29,66.0,176430,11409679.0
TQBR,2014-12-30,66.8,124440,8261347.0
TQBR,2015-01-05,68.3,5030,340803.0
TQBR,2015-01-06,68.2,4190,284323.0
TQBR,2015-01-08,69.0,26050,1793345.0
TQBR,2015-01-09,69.1,20070,1359334.0
TQBR,2015-01-12,67.2,15590,1045856.0
TQBR,2015-01-13,66.5,105370,6866302.0
TQBR,2015-01-14,68.5,333350,22669013.0
TQBR,2015-01-15,70.5,173770,11972657.0
TQBR,2015-01-16,70.0,5910,411603.0
TQBR,2015-01-19,70.8,121140,8499533.0
TQBR,2015-01-20,69.0,24880,1715019.0
TQBR,2015-01-21,69.0,33690,2331647.0
TQBR,2015-01-22,71.6,184070,12958016.0
TQBR,2015-01-23,69.5,225890,16175380.0
TQBR,2015-01-26,69.7,57480,4013834.0
TQBR,2015-01-27,68.9,32270,2200834.0
TQBR,2015-01-28,70.2,133900,9370330.0
TQBR,2015-01-29,68.5,100260,6922027.0
TQBR,2015-01-30,68.7,45340,3103732.0
TQBR,2015-02-02,67.8,37090,2558174.0
TQBR,2015-02-03,67.5,36600,2467419.0
TQBR,2015-02-04,67.4,26140,1774524.0
TQBR,2015-02-05,67.8,9630,650393.0
TQBR,2015-02-06,68.4,52220,3548741.0
TQBR,2015-02-09,70.0,119060,8277580.0
TQBR,2015-02-10,71.5,48850,3469602.0
TQBR,2015-02-11,73.0,660100,47834201.0
TQBR,2015-02-12,75.2,72480,5395510.0
TQBR,2015-02-13,75.9,402210,30544745.0
TQBR,2015-02-16,78.8,349610,26860974.0
TQBR,2015-02-17,77.4,72830,5733782.0
TQBR,2015-02-18,80.9,100990,8061735.0
TQBR,2015-02-19,79.5,324230,25778945.0
TQBR,2015-02-20,79.0,53800,4289371.0
TQBR,2015-02-24,76.8,33030,2561413.0
TQBR,2015-02-25,77.0,57760,4396365.0
TQBR,2015-02-26,76.2,70550,5408902.0
TQBR,2015-02-27,77.0,21470,1647466.0
TQBR,2015-03-02,76.6,27980,2142031.0
TQBR,2015-03-03,78.3,53440,4168151.0
TQBR,2015-03-04,76.9,87770,6738521.0
TQBR,2015-03-05,77.0,124820,9663396.0
TQBR,2015-03-06,77.6,44760,3486012.0
TQBR,2015-03-10,77.9,128070,9943241.0
TQBR,2015-03-11,78.7,20470,1625309.0
TQBR,2015-03-12,79.6,16220,1288248.0
TQBR,2015-03-13,79.7,16310,1300981.0
TQBR,2015-03-16,80.4,89520,7173599.0
TQBR,2015-03-17,80.3,32950,2635691.0
TQBR,2015-03-18,80.5,45360,3660310.0
TQBR,2015-03-19,79.4,8650,690614.0
TQBR,2015-03-20,80.9,14620,1172228.0
TQBR,2015-03-23,78.7,9670,765153.0
TQBR,2015-03-24,76.5,18670,1438734.0
TQBR,2015-03-25,76.3,20520,1574362.0
TQBR,2015-03-26,77.7,68710,5310935.0
TQBR,2015-03-27,76.0,13380,1014609.0
TQBR,2015-03-30,76.7,106960,8242560.0
TQBR,2015-03-31,75.7,10810,820293.0
TQBR,2015-04-01,78.4,74040,5750779.0
TQBR,2015-04-02,80.9,114610,9183229.0
TQBR,2015-04-03,81.5,84450,6974555.0
TQBR,2015-04-06,82.2,38960,3186703.0
TQBR,2015-04-07,81.7,4850,399536.0
TQBR,2015-04-08,81.7,5470,446407.0
TQBR,2015-04-09,83.0,51780,4204122.0
TQBR,2015-04-10,83.8,124490,10436436.0
TQBR,2015-04-13,86.5,269360,23301151.0
TQBR,2015-04-14,87.4,129730,11281564.0
TQBR,2015-04-15,87.0,81040,7068321.0
TQBR,2015-04-16,86.2,530350,45598776.0
TQBR,2015-04-17,85.4,665640,56764079.0
TQBR,2015-04-20,84.8,46610,3971510.0
TQBR,2015-04-21,85.2,25310,2153076.0
TQBR,2015-04-22,85.3,20850,1775025.0
TQBR,2015-04-23,84.9,51260,4351029.0
TQBR,2015-04-24,85.9,18170,1554183.0
TQBR,2015-04-27,86.0,93850,8151089.0
TQBR,2015-04-28,85.6,62500,5384384.0
TQBR,2015-04-29,85.4,71840,6121730.0
TQBR,2015-04-30,90.9,1018190,92650876.0
TQBR,2015-05-05,90.5,478620,43087626.0
TQBR,2015-05-06,91.3,530310,48306976.0
TQBR,2015-05-07,90.6,277420,25144102.0
TQBR,2015-05-08,90.9,251690,22825487.0
TQBR,2015-05-12,90.9,153980,14000182.0
TQBR,2015-05-13,91.0,230740,20951858.0
TQBR,2015-05-14,92.0,584970,53678556.0
TQBR,2015-05-15,92.3,852930,78572580.0
TQBR,2015-05-18,93.0,266480,24810388.0
TQBR,2015-05-19,93.2,1286570,119368145.0
TQBR,2015-05-20,94.3,5967740,557058993.0
TQBR,2015-05-21,94.4,410410,38728632.0
TQBR,2015-05-22,88.1,477290,42479686.0
TQBR,2015-05-25,88.0,525260,46175244.0
TQBR,2015-05-26,87.5,114030,9991038.0
TQBR,2015-05-27,87.5,10566540,923542757.0
TQBR,2015-05-28,87.5,117650,10309467.0
TQBR,2015-05-29,87.7,90250,7927242.0
TQBR,2015-06-01,87.7,53430,4685406.0
TQBR,2015-06-02,87.8,32640,2864065.0
