BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,265.13,100,26513.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,261.5,650,170410.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,270.0,450,121300.0
TQBR,2013-07-15,271.0,400,108920.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,273.6,450,121986.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,270.03,450,121903.0
TQBR,2013-07-22,274.44,700,190468.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,283.0,5500,1551500.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,277.01,510,144270.1
TQBR,2013-07-30,278.6,16120,4485487.9
TQBR,2013-07-31,275.0,5930,1639114.0
TQBR,2013-08-01,282.0,1360,381273.0
TQBR,2013-08-02,286.49,4010,1129914.9
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,282.12,10,2821.2
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,285.2,40,11404.0
TQBR,2013-08-09,290.4,4000,1161600.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,295.49,400,118181.1
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,285.7,880,250711.4
TQBR,2013-08-19,289.5,1340,391761.8
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,298.4,540,160590.0
TQBR,2013-08-22,303.27,2570,808591.7
TQBR,2013-08-23,296.01,200,59289.0
TQBR,2013-08-26,300.0,300,90132.9
TQBR,2013-08-27,293.51,2940,876516.4
TQBR,2013-08-28,289.99,1070,309377.6
TQBR,2013-08-29,286.01,3610,1036239.5
TQBR,2013-08-30,288.0,110,31699.0
TQBR,2013-09-02,283.01,858920,245963385.2
TQBR,2013-09-03,286.0,1262180,360414601.3
TQBR,2013-09-04,282.96,1144650,327651076.8
TQBR,2013-09-05,295.0,2610880,756947914.5
TQBR,2013-09-06,297.1,1961150,584387571.5
TQBR,2013-09-09,300.55,1211130,362378783.3
TQBR,2013-09-10,299.04,2209760,662014192.9
TQBR,2013-09-11,298.53,1033210,308258318.7
TQBR,2013-09-12,298.4,1167800,348157626.9
TQBR,2013-09-13,299.98,1263890,378715076.6
TQBR,2013-09-16,308.2,3527720,1085977156.6
TQBR,2013-09-17,307.95,1078420,330793776.9
TQBR,2013-09-18,308.36,1689590,520312468.7
TQBR,2013-09-19,313.5,3059660,956654283.7
TQBR,2013-09-20,311.8,1413830,439842593.5
TQBR,2013-09-23,307.13,1652000,508850438.9
TQBR,2013-09-24,311.0,1541980,476400086.0
TQBR,2013-09-25,316.32,1983000,619157584.3
TQBR,2013-09-26,319.5,2053420,652861103.9
TQBR,2013-09-27,321.05,1417270,451907791.5
TQBR,2013-09-30,323.0,1174590,377664462.2
TQBR,2013-10-01,327.96,1629450,530866063.9
TQBR,2013-10-02,324.0,2074890,675600479.8
TQBR,2013-10-03,324.24,1246790,403762156.6
TQBR,2013-10-04,327.92,1028910,336000095.7
TQBR,2013-10-07,330.06,1288290,423203376.3
TQBR,2013-10-08,329.97,1572640,519149482.7
TQBR,2013-10-09,328.9,1719110,565228597.5
TQBR,2013-10-10,333.73,1168470,388952553.3
TQBR,2013-10-11,336.21,953520,317683463.5
TQBR,2013-10-14,336.8,1419020,476751761.3
TQBR,2013-10-15,344.8,2094080,717519620.3
TQBR,2013-10-16,351.5,1607710,561753511.5
TQBR,2013-10-17,343.0,1641740,565658503.8
TQBR,2013-10-18,348.5,1759270,604884285.5
TQBR,2013-10-21,341.0,1213640,418557584.2
TQBR,2013-10-22,345.39,1440030,496112820.1
TQBR,2013-10-23,338.5,1146630,390425831.3
TQBR,2013-10-24,339.21,1719590,584787324.9
TQBR,2013-10-25,336.39,1197780,404855811.4
TQBR,2013-10-28,337.8,1440220,485443801.4
TQBR,2013-10-29,341.54,805170,272805635.9
TQBR,2013-10-30,339.97,1722940,587545325.4
TQBR,2013-10-31,340.0,1801640,607380479.0
TQBR,2013-11-01,338.4,1063960,359627904.2
TQBR,2013-11-05,335.27,632550,212889675.1
TQBR,2013-11-06,329.53,1819520,603075387.6
TQBR,2013-11-07,330.09,1891250,621996003.0
TQBR,2013-11-08,328.69,1250410,408773704.5
TQBR,2013-11-11,326.0,795020,260045478.0
TQBR,2013-11-12,326.09,1550370,501981572.3
TQBR,2013-11-13,318.0,1602590,513296480.7
TQBR,2013-11-14,320.03,1531070,493666394.8
TQBR,2013-11-15,326.35,1903430,619839990.1
TQBR,2013-11-18,329.03,985860,324428567.9
TQBR,2013-11-19,329.5,998630,327910044.4
TQBR,2013-11-20,321.5,1379110,445690189.2
TQBR,2013-11-21,314.56,1505950,478155389.5
TQBR,2013-11-22,317.99,2132790,671577817.3
TQBR,2013-11-25,314.0,1624440,518728805.3
TQBR,2013-11-26,318.05,1770820,557686947.9
TQBR,2013-11-27,310.2,1163270,364944382.3
TQBR,2013-11-28,310.5,1186030,368792901.4
TQBR,2013-11-29,313.05,1091960,338768522.2
TQBR,2013-12-02,312.12,974640,304372217.7
TQBR,2013-12-03,309.06,2633810,807747808.7
TQBR,2013-12-04,308.28,2981190,918129988.4
TQBR,2013-12-05,305.0,1925900,592930326.6
TQBR,2013-12-06,317.53,2784830,867230966.1
TQBR,2013-12-09,324.83,3160510,1014351613.5
TQBR,2013-12-10,320.61,2245890,721360827.4
TQBR,2013-12-11,322.47,1945460,624948379.7
TQBR,2013-12-12,317.01,2344530,746064715.6
TQBR,2013-12-13,319.51,1787420,572274905.5
TQBR,2013-12-16,320.49,2581510,829048261.6
TQBR,2013-12-17,319.64,2060120,660914794.6
TQBR,2013-12-18,319.02,1806120,577863800.0
TQBR,2013-12-19,324.31,2175810,707299362.7
TQBR,2013-12-20,324.2,1401360,454077570.0
TQBR,2013-12-23,329.49,1564430,513555189.8
TQBR,2013-12-24,329.06,588860,193411755.3
TQBR,2013-12-25,325.28,778440,255083280.4
TQBR,2013-12-26,327.6,844290,274236554.2
TQBR,2013-12-27,326.1,522860,170331311.5
TQBR,2013-12-30,328.29,775700,254079140.9
TQBR,2014-01-06,315.02,1595690,505130903.3
TQBR,2014-01-08,314.63,1150950,361992311.1
TQBR,2014-01-09,312.04,1172270,368057575.9
TQBR,2014-01-10,313.43,2447770,755938769.0
TQBR,2014-01-13,317.08,2471820,785575755.1
TQBR,2014-01-14,314.51,2383710,743261674.7
TQBR,2014-01-15,317.95,1880460,594948299.1
TQBR,2014-01-16,312.6,1843310,579547427.8
TQBR,2014-01-17,311.28,2166260,678974078.9
TQBR,2014-01-20,312.09,1359680,422777647.8
TQBR,2014-01-21,312.17,1020390,320632227.5
TQBR,2014-01-22,307.31,2391790,736382221.9
TQBR,2014-01-23,307.52,1392490,427701879.0
TQBR,2014-01-24,305.6,3080730,940651205.7
TQBR,2014-01-27,298.75,4037270,1212099085.2
TQBR,2014-01-28,299.5,2147280,645165337.6
TQBR,2014-01-29,293.02,3730470,1111921535.1
TQBR,2014-01-30,291.29,2774920,810598570.8
TQBR,2014-01-31,287.87,1752000,508804529.6
TQBR,2014-02-03,289.03,2523080,726826975.4
TQBR,2014-02-04,296.98,4356690,1289770911.6
TQBR,2014-02-05,297.99,3581400,1066352018.8
TQBR,2014-02-06,296.0,2682040,803860559.5
TQBR,2014-02-07,299.0,2216450,664319907.1
TQBR,2014-02-10,299.55,1375100,414186665.1
TQBR,2014-02-11,302.5,2058100,624228522.8
TQBR,2014-02-12,303.1,1539580,467936342.4
TQBR,2014-02-13,294.72,2325910,693157718.1
TQBR,2014-02-14,296.4,1623570,481842369.9
TQBR,2014-02-17,297.34,1347820,401838418.6
TQBR,2014-02-18,295.5,2128080,630656131.0
TQBR,2014-02-19,287.39,3524400,1022100333.5
TQBR,2014-02-20,282.01,4443170,1255912150.1
TQBR,2014-02-21,285.59,2390770,685186060.9
TQBR,2014-02-24,285.54,1568550,447889769.9
TQBR,2014-02-25,281.79,2606070,734616681.6
TQBR,2014-02-26,276.21,3060850,854701773.5
