BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,254.45,63820,16373111.6
TQBR,2014-06-10,256.0,72120,18453277.8
TQBR,2014-06-11,258.64,80100,20511923.3
TQBR,2014-06-16,265.0,295000,78152684.9
TQBR,2014-06-17,263.2,57790,15192947.0
TQBR,2014-06-18,270.0,193370,52238436.1
TQBR,2014-06-19,274.6,69640,19001885.8
TQBR,2014-06-20,273.8,146170,40159929.9
TQBR,2014-06-23,270.4,22690,6182145.0
TQBR,2014-06-24,269.99,70180,18941393.0
TQBR,2014-06-25,268.0,49350,13273870.9
TQBR,2014-06-26,269.13,46950,12652574.8
TQBR,2014-06-27,266.84,70250,18780122.7
TQBR,2014-06-30,269.92,87810,23184641.6
TQBR,2014-07-01,267.0,128320,34206228.7
TQBR,2014-07-02,268.98,134900,36315402.0
TQBR,2014-07-03,255.5,221270,56312554.1
TQBR,2014-07-04,254.65,51400,13171085.8
TQBR,2014-07-07,256.74,88030,22602497.1
TQBR,2014-07-08,256.1,63930,16385542.0
TQBR,2014-07-09,255.99,41580,10627685.6
TQBR,2014-07-10,249.21,160810,40559166.6
TQBR,2014-07-11,245.95,61370,15271378.8
TQBR,2014-07-14,252.83,44150,11086532.8
TQBR,2014-07-15,250.54,77050,19339606.7
TQBR,2014-07-16,252.3,31180,7739847.8
TQBR,2014-07-17,239.64,155810,37487063.9
TQBR,2014-07-18,235.15,178860,41785488.9
TQBR,2014-07-21,232.0,144310,33532164.5
TQBR,2014-07-22,232.5,54020,12588456.9
TQBR,2014-07-23,232.22,23630,5486730.9
TQBR,2014-07-24,232.8,23190,5358761.5
TQBR,2014-07-25,230.25,31920,7357730.9
TQBR,2014-07-28,227.18,21620,4926404.0
TQBR,2014-07-29,227.0,26860,6074417.7
TQBR,2014-07-30,227.99,60760,13889037.4
TQBR,2014-07-31,227.72,17140,3923135.5
TQBR,2014-08-01,221.31,93640,20931796.1
TQBR,2014-08-04,221.08,78700,17401753.9
TQBR,2014-08-05,221.25,59270,13082133.4
TQBR,2014-08-06,215.5,50860,10992067.7
TQBR,2014-08-07,210.01,342310,69634333.4
TQBR,2014-08-08,209.5,84330,17719988.2
TQBR,2014-08-11,211.5,49910,10600021.9
TQBR,2014-08-12,214.76,24970,5366249.0
TQBR,2014-08-13,215.48,178260,38298274.5
TQBR,2014-08-14,214.06,60370,12993993.1
TQBR,2014-08-15,212.0,129110,27436709.6
TQBR,2014-08-18,210.62,88150,18678597.3
TQBR,2014-08-19,210.32,44870,9467506.8
TQBR,2014-08-20,211.65,108120,22945306.7
TQBR,2014-08-21,211.0,138500,29347891.5
TQBR,2014-08-22,205.88,130630,27289149.6
TQBR,2014-08-25,201.8,152960,31662764.6
TQBR,2014-08-26,201.0,132930,26865821.1
TQBR,2014-08-27,188.5,1081680,208998796.4
TQBR,2014-08-28,190.0,435290,81623315.3
TQBR,2014-08-29,190.3,221360,42505712.7
TQBR,2014-09-01,188.99,49840,9554901.1
TQBR,2014-09-02,183.5,183980,33969015.7
TQBR,2014-09-03,198.71,456710,89442417.6
TQBR,2014-09-04,195.97,233950,46377187.0
TQBR,2014-09-05,199.23,209740,41870510.7
TQBR,2014-09-08,196.75,34780,6883884.4
TQBR,2014-09-09,197.26,154150,30660549.0
TQBR,2014-09-10,190.0,411110,78452263.5
TQBR,2014-09-11,190.75,75260,14291501.1
TQBR,2014-09-12,188.55,70320,13319648.5
TQBR,2014-09-15,193.24,108360,20480152.4
TQBR,2014-09-16,192.29,258050,49669022.8
TQBR,2014-09-17,192.5,114980,21908722.1
TQBR,2014-09-18,192.99,94690,18191068.6
TQBR,2014-09-19,194.99,834220,160698365.9
TQBR,2014-09-22,195.74,46540,9103843.3
TQBR,2014-09-23,202.0,144520,28769938.8
TQBR,2014-09-24,208.08,187740,38598764.5
TQBR,2014-09-25,208.0,205950,43123471.3
TQBR,2014-09-26,201.0,328840,66903818.1
TQBR,2014-09-29,197.81,623730,126019725.2
TQBR,2014-09-30,201.0,323750,65047121.4
TQBR,2014-10-01,201.4,49350,9988891.0
TQBR,2014-10-02,199.9,64890,12905776.0
TQBR,2014-10-03,199.2,44730,9007175.0
TQBR,2014-10-06,198.8,159960,31524642.0
TQBR,2014-10-07,198.3,143760,28619454.0
TQBR,2014-10-08,197.1,89170,17685672.0
TQBR,2014-10-09,197.0,66530,13142944.0
TQBR,2014-10-10,192.1,55200,10813494.0
TQBR,2014-10-13,187.0,106670,20009187.0
TQBR,2014-10-14,188.8,144310,27110445.0
TQBR,2014-10-15,185.4,28520,5343017.0
TQBR,2014-10-16,185.4,112060,20435582.0
TQBR,2014-10-17,190.0,53940,10108789.0
TQBR,2014-10-20,190.0,23480,4495584.0
TQBR,2014-10-21,186.9,46020,8662078.0
TQBR,2014-10-22,181.8,44590,8160916.0
TQBR,2014-10-23,190.2,69620,12983267.0
TQBR,2014-10-24,188.2,27690,5215693.0
TQBR,2014-10-27,204.5,632500,126359999.0
TQBR,2014-10-28,204.0,680460,141835626.0
TQBR,2014-10-29,204.0,206180,41964704.0
TQBR,2014-10-30,205.4,122140,25009301.0
TQBR,2014-10-31,211.9,342220,71644049.0
TQBR,2014-11-03,215.0,120850,25941215.0
TQBR,2014-11-05,213.9,88860,18909261.0
TQBR,2014-11-06,215.9,210470,45432094.0
TQBR,2014-11-07,211.0,166720,35481661.0
TQBR,2014-11-10,211.6,252340,53428059.0
TQBR,2014-11-11,211.0,232400,49545783.0
TQBR,2014-11-12,213.2,174420,37093825.0
TQBR,2014-11-13,212.2,123680,26266815.0
TQBR,2014-11-14,212.2,58560,12397371.0
TQBR,2014-11-17,212.0,66140,14114560.0
TQBR,2014-11-18,213.2,40000,8519805.0
TQBR,2014-11-19,215.0,249160,53835984.0
TQBR,2014-11-20,214.6,171370,36738351.0
TQBR,2014-11-21,214.0,190850,40919194.0
TQBR,2014-11-24,214.9,267030,57485524.0
TQBR,2014-11-25,215.3,156490,33766295.0
TQBR,2014-11-26,216.2,137130,29670041.0
TQBR,2014-11-27,215.8,109510,23674509.0
TQBR,2014-11-28,214.0,650700,141072772.0
TQBR,2014-12-01,209.2,382710,80186971.0
TQBR,2014-12-02,203.7,361160,74600855.0
TQBR,2014-12-03,201.0,427480,85479206.0
TQBR,2014-12-04,208.1,384550,79450822.0
TQBR,2014-12-05,208.4,202860,42192613.0
TQBR,2014-12-08,204.0,242170,50144132.0
TQBR,2014-12-09,201.1,258160,51737776.0
TQBR,2014-12-10,200.5,169080,33952209.0
TQBR,2014-12-11,190.7,375490,73953703.0
TQBR,2014-12-12,186.0,846750,160508881.0
TQBR,2014-12-15,150.4,886490,139599900.0
TQBR,2014-12-16,130.0,613570,80758996.0
TQBR,2014-12-17,134.0,328850,43328012.0
