BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,208.99,10,2089.9
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,154.0,5920,1062261.8
TQBR,2014-07-02,175.5,140,21600.6
TQBR,2014-07-03,169.99,9460,1362534.4
TQBR,2014-07-04,150.0,280,44244.8
TQBR,2014-07-07,161.5,380,61603.2
TQBR,2014-07-08,160.65,100,15898.6
TQBR,2014-07-09,159.98,480,76191.0
TQBR,2014-07-10,159.77,270,43404.0
TQBR,2014-07-11,173.73,70,12161.1
TQBR,2014-07-14,178.0,10,1780.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,179.96,20,3019.6
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,151.5,140,21210.0
TQBR,2014-07-22,159.7,290,46004.9
TQBR,2014-07-23,159.54,50,7977.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,167.7,510,82941.8
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,172.3,210,36182.0
TQBR,2014-07-31,188.0,150,28043.0
TQBR,2014-08-01,184.99,10,1849.9
TQBR,2014-08-04,185.99,390,72536.1
TQBR,2014-08-05,187.0,30,5610.0
TQBR,2014-08-06,188.0,10,1880.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,197.0,10,1970.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,189.0,10,1890.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,189.0,130,24570.0
