BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-11-17,,0,0.0
TQBR,2015-11-18,,0,0.0
TQBR,2015-11-19,,0,0.0
TQBR,2015-11-20,,0,0.0
TQBR,2015-11-23,,0,0.0
TQBR,2015-11-24,,0,0.0
TQBR,2015-11-25,,0,0.0
TQBR,2015-11-26,,0,0.0
TQBR,2015-11-27,,0,0.0
TQBR,2015-11-30,,0,0.0
TQBR,2015-12-01,,0,0.0
TQBR,2015-12-02,,0,0.0
TQBR,2015-12-03,,0,0.0
TQBR,2015-12-04,,0,0.0
TQBR,2015-12-07,,0,0.0
TQBR,2015-12-08,,0,0.0
TQBR,2015-12-09,,0,0.0
TQBR,2015-12-10,,0,0.0
TQBR,2015-12-11,,0,0.0
TQBR,2015-12-14,,0,0.0
TQBR,2015-12-15,459.0,27800,13760181.8
TQBR,2015-12-16,458.97,5270,2372485.8
TQBR,2015-12-17,457.0,7250,3304474.6
TQBR,2015-12-18,515.0,51370,25685242.8
TQBR,2015-12-21,514.95,598990,308267654.8
TQBR,2015-12-22,491.05,390,196197.6
TQBR,2015-12-23,509.99,1640,807523.4
TQBR,2015-12-24,490.0,1361120,705008390.3
TQBR,2015-12-25,466.0,2180,1116017.3
TQBR,2015-12-28,450.0,540,244859.8
TQBR,2015-12-29,458.0,2912630,1501968534.5
TQBR,2015-12-30,458.99,5550,2482992.0
TQBR,2016-01-04,446.0,90,41265.2
TQBR,2016-01-05,464.0,240,106630.5
TQBR,2016-01-06,446.75,1210,561009.9
TQBR,2016-01-11,430.04,2450,1106475.0
TQBR,2016-01-12,403.63,5130,2041199.3
TQBR,2016-01-13,350.0,8000,2948623.1
TQBR,2016-01-14,340.0,440,149016.6
TQBR,2016-01-15,334.99,780,259244.2
TQBR,2016-01-18,338.02,500,159722.1
TQBR,2016-01-19,345.0,1400,472914.2
TQBR,2016-01-20,348.95,4980,1739299.6
TQBR,2016-01-21,348.93,360,120529.3
TQBR,2016-01-22,355.0,3290,1170944.4
TQBR,2016-01-25,346.0,4720,1649873.0
TQBR,2016-01-26,350.01,880,307723.3
TQBR,2016-01-27,355.0,550,196538.4
TQBR,2016-01-28,370.0,1870,698226.2
TQBR,2016-01-29,385.0,910,343527.5
TQBR,2016-02-01,387.0,5660,2150750.0
TQBR,2016-02-02,384.0,200,76850.0
TQBR,2016-02-03,405.0,320,122850.0
TQBR,2016-02-04,390.0,630,244680.0
TQBR,2016-02-05,376.0,710,269960.0
TQBR,2016-02-08,393.0,70,27110.0
TQBR,2016-02-09,387.0,30,11630.0
TQBR,2016-02-10,381.0,50,19010.0
TQBR,2016-02-11,377.0,510,192390.0
TQBR,2016-02-12,380.0,390,147550.0
TQBR,2016-02-15,368.0,560,211220.0
TQBR,2016-02-16,367.0,570,209830.0
TQBR,2016-02-17,375.0,10,3750.0
TQBR,2016-02-18,365.0,680,249040.0
TQBR,2016-02-19,355.0,5860,2115130.0
TQBR,2016-02-20,338.0,14620,5011780.0
TQBR,2016-02-22,320.0,10470,3366180.0
TQBR,2016-02-24,322.0,330,105340.0
TQBR,2016-02-25,319.0,380,121480.0
TQBR,2016-02-26,320.0,1670,533370.0
TQBR,2016-02-29,310.0,8100,2490320.0
TQBR,2016-03-01,325.0,2970,923530.0
TQBR,2016-03-02,320.0,6750,2100580.0
TQBR,2016-03-03,310.0,2230,683970.0
TQBR,2016-03-04,327.0,6390,1976770.0
TQBR,2016-03-07,325.0,720,226630.0
TQBR,2016-03-09,318.0,50,15680.0
TQBR,2016-03-10,310.0,9160,2781170.0
TQBR,2016-03-11,315.0,1230,375400.0
TQBR,2016-03-14,313.0,310,94510.0
TQBR,2016-03-15,312.0,210,65170.0
TQBR,2016-03-16,312.0,730,223930.0
TQBR,2016-03-17,312.0,860,268010.0
TQBR,2016-03-18,309.0,460,141240.0
TQBR,2016-03-21,311.0,500,153320.0
TQBR,2016-03-22,293.0,10660,3138330.0
TQBR,2016-03-23,289.0,7910,2244550.0
TQBR,2016-03-24,288.0,190,53980.0
TQBR,2016-03-25,287.0,240,68790.0
TQBR,2016-03-28,288.0,420,120660.0
TQBR,2016-03-29,288.0,360,101590.0
TQBR,2016-03-30,288.0,1960,550550.0
TQBR,2016-03-31,276.0,590,163670.0
TQBR,2016-04-01,287.0,660,186770.0
TQBR,2016-04-04,287.0,110,30950.0
TQBR,2016-04-05,286.0,8410,2407050.0
TQBR,2016-04-06,286.0,1430,404750.0
TQBR,2016-04-07,289.0,520,146030.0
TQBR,2016-04-08,291.0,2000,581030.0
TQBR,2016-04-11,296.0,8090,2354930.0
TQBR,2016-04-12,290.0,4560,1313750.0
TQBR,2016-04-13,298.0,310,91140.0
TQBR,2016-04-14,311.0,9300,2803790.0
TQBR,2016-04-15,313.0,1870,581110.0
TQBR,2016-04-18,317.0,2530,773460.0
TQBR,2016-04-19,316.0,9190,2869460.0
TQBR,2016-04-20,315.0,2260,697910.0
TQBR,2016-04-21,311.0,360,111740.0
TQBR,2016-04-22,313.0,3370,1050750.0
TQBR,2016-04-25,319.0,13780,4413640.0
TQBR,2016-04-26,327.0,3670,1182750.0
TQBR,2016-04-27,321.0,1300,419650.0
TQBR,2016-04-28,321.0,1090,351880.0
TQBR,2016-04-29,322.0,720,231620.0
TQBR,2016-05-04,317.0,120,37940.0
TQBR,2016-05-05,305.0,3350,1042150.0
TQBR,2016-05-06,305.0,990,303410.0
TQBR,2016-05-10,305.0,50,15240.0
TQBR,2016-05-11,300.0,9280,2764290.0
TQBR,2016-05-12,300.0,5210,1551290.0
TQBR,2016-05-13,296.0,1470,430860.0
TQBR,2016-05-16,300.0,2150,644940.0
TQBR,2016-05-17,,0,0.0
TQBR,2016-05-18,,0,0.0
TQBR,2016-05-19,298.0,90,26520.0
TQBR,2016-05-20,293.0,120,35180.0
TQBR,2016-05-23,294.0,1020,293970.0
TQBR,2016-05-24,285.0,2000,570240.0
TQBR,2016-05-25,285.0,310,88470.0
TQBR,2016-05-26,288.0,2220,631050.0
TQBR,2016-05-27,,0,0.0
TQBR,2016-05-30,283.0,10,2830.0
TQBR,2016-05-31,284.0,20,5770.0
TQBR,2016-06-01,293.0,60,17500.0
TQBR,2016-06-02,285.0,700,199560.0
TQBR,2016-06-03,288.0,460,130790.0
TQBR,2016-06-06,281.0,40,11240.0
TQBR,2016-06-07,289.0,10,2890.0
TQBR,2016-06-08,282.0,20,5620.0
TQBR,2016-06-09,298.0,1200,372110.0
TQBR,2016-06-10,285.0,2480,720370.0
TQBR,2016-06-14,289.0,3070,861000.0
TQBR,2016-06-15,300.0,3460,1010290.0
TQBR,2016-06-16,287.0,9080,2580070.0
TQBR,2016-06-17,287.0,700,199810.0
TQBR,2016-06-20,290.0,780,223260.0
TQBR,2016-06-21,292.0,260,74450.0
TQBR,2016-06-22,285.0,13650,3873980.0
TQBR,2016-06-23,280.0,140,39200.0
TQBR,2016-06-24,280.0,10,2800.0
TQBR,2016-06-27,280.0,580,159030.0
TQBR,2016-06-28,275.0,310,85250.0
TQBR,2016-06-29,273.0,5520,1508520.0
TQBR,2016-06-30,303.0,4880,1435120.0
TQBR,2016-07-01,288.0,6910,1996750.0
TQBR,2016-07-04,278.0,1420,400610.0
TQBR,2016-07-05,290.0,3930,1130050.0
TQBR,2016-07-06,281.0,20,5630.0
TQBR,2016-07-07,282.0,10,2820.0
TQBR,2016-07-08,285.0,20,5700.0
TQBR,2016-07-11,287.0,20,5730.0
TQBR,2016-07-12,283.0,40,11390.0
TQBR,2016-07-13,280.0,250,70350.0
TQBR,2016-07-14,279.0,2800,798280.0
TQBR,2016-07-15,275.0,1710,473000.0
TQBR,2016-07-18,275.0,50,13860.0
TQBR,2016-07-19,279.0,4630,1285970.0
TQBR,2016-07-20,280.0,1080,301380.0
TQBR,2016-07-21,279.0,20,5580.0
TQBR,2016-07-22,276.0,16810,4610620.0
TQBR,2016-07-25,278.0,1020,284630.0
TQBR,2016-07-26,281.0,50,14040.0
TQBR,2016-07-27,283.0,50,14140.0
TQBR,2016-07-28,280.0,160,44900.0
TQBR,2016-07-29,284.0,30,8520.0
TQBR,2016-08-01,287.0,11830,3333260.0
TQBR,2016-08-02,279.0,7590,2112290.0
TQBR,2016-08-03,282.0,120,33730.0
TQBR,2016-08-04,,0,0.0
TQBR,2016-08-05,283.0,280,79420.0
TQBR,2016-08-08,275.0,1990,536750.0
TQBR,2016-08-09,272.0,3620,977870.0
TQBR,2016-08-10,270.0,3450,916030.0
TQBR,2016-08-11,270.0,650,175480.0
TQBR,2016-08-12,266.0,7470,1976680.0
TQBR,2016-08-15,268.0,8970,2323580.0
TQBR,2016-08-16,285.0,85890,24666080.0
TQBR,2016-08-17,286.0,1650,478710.0
TQBR,2016-08-18,280.0,8230,2318660.0
TQBR,2016-08-19,284.0,18800,5266440.0
TQBR,2016-08-22,280.0,130,36600.0
TQBR,2016-08-23,280.0,2020,563890.0
TQBR,2016-08-24,280.0,90,25100.0
TQBR,2016-08-25,280.0,820,227430.0
TQBR,2016-08-26,277.0,80,22190.0
TQBR,2016-08-29,280.0,80,22400.0
TQBR,2016-08-30,280.0,350,96050.0
TQBR,2016-08-31,278.0,40,11150.0
TQBR,2016-09-01,277.0,2320,636210.0
TQBR,2016-09-02,273.0,1490,403290.0
TQBR,2016-09-05,274.0,380,102930.0
TQBR,2016-09-06,272.0,170,46010.0
TQBR,2016-09-07,270.0,90,24300.0
TQBR,2016-09-08,270.0,270,73650.0
TQBR,2016-09-09,270.0,60,16350.0
TQBR,2016-09-12,270.0,30,8100.0
TQBR,2016-09-13,265.0,6540,1742500.0
TQBR,2016-09-14,266.0,570,150180.0
TQBR,2016-09-15,268.0,20,5350.0
TQBR,2016-09-16,270.0,380,100730.0
TQBR,2016-09-19,264.0,120,31820.0
TQBR,2016-09-20,265.0,20,5340.0
TQBR,2016-09-21,,0,0.0
TQBR,2016-09-22,265.0,250,66200.0
TQBR,2016-09-23,267.0,330,86940.0
TQBR,2016-09-26,266.0,50,13240.0
TQBR,2016-09-27,265.0,360,94460.0
TQBR,2016-09-28,269.0,2100,548560.0
TQBR,2016-09-29,265.0,280,73350.0
TQBR,2016-09-30,267.0,120,31980.0
TQBR,2016-10-03,264.0,200,52290.0
TQBR,2016-10-04,264.0,100,26120.0
TQBR,2016-10-05,258.0,560,142500.0
TQBR,2016-10-06,259.0,10,2590.0
TQBR,2016-10-07,252.0,8010,2013230.0
TQBR,2016-10-10,254.0,50,12620.0
TQBR,2016-10-11,253.0,340,84770.0
TQBR,2016-10-12,250.0,80,20040.0
TQBR,2016-10-13,258.0,4660,1178300.0
TQBR,2016-10-14,253.0,850,214780.0
TQBR,2016-10-17,250.0,2580,639180.0
TQBR,2016-10-18,247.0,40,9890.0
TQBR,2016-10-19,246.0,200,49230.0
TQBR,2016-10-20,244.0,180,44040.0
TQBR,2016-10-21,237.0,760,182210.0
TQBR,2016-10-24,239.0,180,43000.0
TQBR,2016-10-25,239.0,140,33260.0
TQBR,2016-10-26,240.0,1020,244720.0
TQBR,2016-10-27,,0,0.0
TQBR,2016-10-28,241.0,130,31320.0
TQBR,2016-10-31,238.0,120,28610.0
TQBR,2016-11-01,,0,0.0
TQBR,2016-11-02,239.0,40,9500.0
TQBR,2016-11-03,244.0,2090,503660.0
TQBR,2016-11-07,254.0,12210,3032070.0
TQBR,2016-11-08,247.0,2140,529590.0
TQBR,2016-11-09,247.0,280,69630.0
TQBR,2016-11-10,252.0,370,91790.0
TQBR,2016-11-11,248.0,900,224610.0
TQBR,2016-11-14,253.0,70,17730.0
TQBR,2016-11-15,254.0,1180,292150.0
TQBR,2016-11-16,252.0,590,147990.0
TQBR,2016-11-17,254.0,1560,392280.0
TQBR,2016-11-18,253.0,70,17650.0
TQBR,2016-11-21,249.0,40,9960.0
TQBR,2016-11-22,253.0,790,199460.0
TQBR,2016-11-23,250.0,710,178250.0
TQBR,2016-11-24,250.0,150,37490.0
TQBR,2016-11-25,251.0,220,56150.0
TQBR,2016-11-28,252.0,20,5050.0
TQBR,2016-11-29,251.0,70,17630.0
TQBR,2016-11-30,250.0,6350,1580010.0
TQBR,2016-12-01,249.0,130,32370.0
TQBR,2016-12-02,253.0,180,45130.0
TQBR,2016-12-05,252.0,580,145910.0
TQBR,2016-12-06,250.0,810,201220.0
TQBR,2016-12-07,250.0,110,27690.0
TQBR,2016-12-08,249.0,240,59510.0
TQBR,2016-12-09,248.0,240,59560.0
TQBR,2016-12-12,249.0,1160,290830.0
TQBR,2016-12-13,251.0,2810,708000.0
TQBR,2016-12-14,251.0,500,125200.0
TQBR,2016-12-15,251.0,370,93170.0
