BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,9.5,1200,12319.6
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,10.015,100,1001.5
TQBR,2014-06-16,10.44,300,3096.0
TQBR,2014-06-17,9.575,1000,9665.4
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,10.0,1100,10999.9
TQBR,2014-06-20,10.0,5400,57698.8
TQBR,2014-06-23,10.399,200,2039.9
TQBR,2014-06-24,9.81,3300,34217.3
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,10.57,300,3171.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,9.756,100,975.6
TQBR,2014-07-02,10.011,48800,513599.7
TQBR,2014-07-03,9.98,4100,41284.7
TQBR,2014-07-04,10.1,3100,31309.9
TQBR,2014-07-07,9.98,2300,22954.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,10.241,1300,13312.5
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,9.84,100,984.0
TQBR,2014-07-21,9.833,500,4916.6
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,8.581,1100,10415.0
TQBR,2014-07-25,9.015,100,901.5
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,9.98,100,998.0
TQBR,2014-07-30,8.783,7500,68224.2
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,10.525,1000,10014.4
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,11.777,3500,36217.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,10.999,4300,41346.8
TQBR,2014-08-08,10.001,200,2000.1
TQBR,2014-08-11,9.984,1300,13283.9
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,9.6,19200,172246.7
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,9.999,12100,115029.6
TQBR,2014-08-18,10.366,1100,10546.7
TQBR,2014-08-19,10.695,3700,35438.8
TQBR,2014-08-20,9.521,200,2017.7
TQBR,2014-08-21,10.485,100,1048.5
TQBR,2014-08-22,10.657,100,1065.7
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,11.467,3400,35440.8
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,9.601,100,960.1
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,10.962,300,3176.2
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,9.7,300,2885.0
TQBR,2014-09-10,10.799,100,1079.9
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,10.8,100,1080.0
TQBR,2014-09-15,10.886,200,2058.6
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
