BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,49.42,1740420,86054426.2
TQBR,2014-06-10,48.6,2858080,138071962.4
TQBR,2014-06-11,48.33,1747920,84979937.3
TQBR,2014-06-16,48.3,5256360,253609125.8
TQBR,2014-06-17,48.39,2565250,123654745.4
TQBR,2014-06-18,49.17,2450060,119872092.3
TQBR,2014-06-19,48.97,2394930,118912778.3
TQBR,2014-06-20,47.8,1778640,85715620.3
TQBR,2014-06-23,46.85,2543640,119840777.5
TQBR,2014-06-24,47.46,2674080,126005768.4
TQBR,2014-06-25,45.8,2119910,98376206.5
TQBR,2014-06-26,45.75,1407260,64529165.3
TQBR,2014-06-27,47.0,2929670,135652365.4
TQBR,2014-06-30,47.38,2318460,109189362.2
TQBR,2014-07-01,47.72,1775530,84333424.3
TQBR,2014-07-02,48.8,3193780,154599696.3
TQBR,2014-07-03,49.69,3029540,149703496.0
TQBR,2014-07-04,49.09,2445850,120374337.2
TQBR,2014-07-07,50.1,2148360,106756577.3
TQBR,2014-07-08,49.97,2735300,137650137.0
TQBR,2014-07-09,49.53,1785330,88832133.8
TQBR,2014-07-10,48.4,3045780,148684114.4
TQBR,2014-07-11,48.9,1700610,82578986.3
TQBR,2014-07-14,48.9,1241680,60762697.4
TQBR,2014-07-15,49.47,2223530,110180061.1
TQBR,2014-07-16,49.99,2633430,131428218.6
TQBR,2014-07-17,49.9,2905070,144009628.8
TQBR,2014-07-18,48.79,1923620,94454885.1
TQBR,2014-07-21,46.28,2743290,130155526.3
TQBR,2014-07-22,47.72,2558050,122021853.7
TQBR,2014-07-23,47.36,1454180,69381294.2
TQBR,2014-07-24,47.92,1179190,56021374.4
TQBR,2014-07-25,47.27,1688440,79933639.5
TQBR,2014-07-28,46.2,1670640,77451078.9
TQBR,2014-07-29,47.65,2063050,97242862.4
TQBR,2014-07-30,47.6,2236890,108815437.6
TQBR,2014-07-31,47.5,1930820,92829631.2
TQBR,2014-08-01,47.3,1456370,68506525.6
TQBR,2014-08-04,47.73,1906860,91083561.1
TQBR,2014-08-05,47.0,903880,42643575.6
TQBR,2014-08-06,46.62,2267070,106339794.2
TQBR,2014-08-07,46.83,3224810,151441252.4
TQBR,2014-08-08,48.32,2360780,113138963.0
TQBR,2014-08-11,49.5,2079710,102822963.4
TQBR,2014-08-12,48.99,1330410,65329713.2
TQBR,2014-08-13,51.33,3244390,163630435.4
TQBR,2014-08-14,50.81,3144340,160527898.5
TQBR,2014-08-15,51.4,1512450,77268247.5
TQBR,2014-08-18,51.28,1629420,83388137.4
TQBR,2014-08-19,52.83,1775460,92811538.7
TQBR,2014-08-20,53.93,2038350,108727846.5
TQBR,2014-08-21,53.9,2843590,153673316.9
TQBR,2014-08-22,54.1,1927700,103396173.9
TQBR,2014-08-25,54.29,1105340,59826663.9
TQBR,2014-08-26,53.83,973870,52609313.6
TQBR,2014-08-27,54.08,978110,53144847.5
TQBR,2014-08-28,53.58,5479810,292156697.7
TQBR,2014-08-29,53.26,1649620,87752145.8
TQBR,2014-09-01,52.36,2612950,138943811.2
TQBR,2014-09-02,52.65,1346480,70549730.6
TQBR,2014-09-03,54.39,3757780,203649508.3
TQBR,2014-09-04,54.62,1647820,89657916.4
TQBR,2014-09-05,54.55,1684950,92579973.4
TQBR,2014-09-08,55.19,2286170,126678606.5
TQBR,2014-09-09,54.55,1903960,105137151.7
TQBR,2014-09-10,54.1,1052680,57108404.1
TQBR,2014-09-11,54.0,1986020,107788175.7
TQBR,2014-09-12,54.9,1138460,61935933.8
TQBR,2014-09-15,55.26,3787060,206484296.5
TQBR,2014-09-16,57.05,2900440,163311075.1
TQBR,2014-09-17,57.34,2395230,136643825.9
TQBR,2014-09-18,56.65,1671780,95759267.8
TQBR,2014-09-19,56.34,1531740,86621659.1
TQBR,2014-09-22,56.26,1451470,82176231.8
TQBR,2014-09-23,56.23,1420460,79833328.2
TQBR,2014-09-24,56.26,1332730,75470778.3
TQBR,2014-09-25,56.1,1368510,77580818.4
TQBR,2014-09-26,56.9,1212460,68425202.0
TQBR,2014-09-29,56.22,2382150,135441407.2
TQBR,2014-09-30,57.62,2196040,125110740.8
TQBR,2014-10-01,57.82,1352340,77976764.5
TQBR,2014-10-02,56.93,1704010,97124689.1
TQBR,2014-10-03,55.645,2491450,140279075.3
TQBR,2014-10-06,55.865,1572900,88406676.0
TQBR,2014-10-07,55.0,1850250,101957638.7
TQBR,2014-10-08,54.65,1405650,76658307.65
TQBR,2014-10-09,54.17,2383120,130302371.25
TQBR,2014-10-10,53.305,2697770,144258376.85
TQBR,2014-10-13,53.0,3216640,171942843.1
TQBR,2014-10-14,52.75,3152680,168066371.55
TQBR,2014-10-15,51.56,2498610,130185037.85
TQBR,2014-10-16,51.85,5106590,260731607.15
TQBR,2014-10-17,50.285,5676510,290313726.1
TQBR,2014-10-20,49.925,3228010,161437822.9
TQBR,2014-10-21,48.75,5831190,288510300.55
TQBR,2014-10-22,48.84,5045950,248052526.5
TQBR,2014-10-23,49.1,3959420,193098118.5
TQBR,2014-10-24,50.62,9974790,495166530.9
TQBR,2014-10-27,52.26,6655230,344044984.45
TQBR,2014-10-28,52.4,7589880,401285341.4
TQBR,2014-10-29,55.15,17559930,931903852.35
TQBR,2014-10-30,54.88,6774150,372920933.65
TQBR,2014-10-31,55.055,3977090,219246233.25
TQBR,2014-11-03,55.8,2698500,150765368.2
TQBR,2014-11-05,57.485,5696270,322304458.8
TQBR,2014-11-06,56.98,5644700,328656125.25
TQBR,2014-11-07,57.575,7442260,425997613.35
TQBR,2014-11-10,60.25,5602320,331303904.3
TQBR,2014-11-11,61.37,9786200,599115554.45
TQBR,2014-11-12,59.685,5433320,330308390.85
TQBR,2014-11-13,58.58,4368170,258782833.4
TQBR,2014-11-14,59.355,3528280,208189620.3
TQBR,2014-11-17,59.82,3193260,190756796.4
TQBR,2014-11-18,60.375,6705810,403266176.45
TQBR,2014-11-19,61.5,4003140,242825974.1
TQBR,2014-11-20,60.65,2815590,172341452.6
TQBR,2014-11-21,60.51,2566910,154970038.9
TQBR,2014-11-24,58.775,4984520,297456651.2
TQBR,2014-11-25,60.095,4214110,248712940.4
TQBR,2014-11-26,59.56,2729980,162685860.8
TQBR,2014-11-27,58.59,3017910,177379330.2
TQBR,2014-11-28,60.43,5778850,344318964.3
TQBR,2014-12-01,63.15,7896430,494190500.65
TQBR,2014-12-02,63.37,4640810,294652061.8
TQBR,2014-12-03,64.7,7904700,510536948.15
TQBR,2014-12-04,61.6,6007290,382275539.6
TQBR,2014-12-05,60.71,4095930,250378220.85
TQBR,2014-12-08,58.465,5416450,327505662.8
TQBR,2014-12-09,59.89,3849730,226527102.35
TQBR,2014-12-10,60.795,3059850,187557762.55
TQBR,2014-12-11,60.755,3391230,205316552.85
TQBR,2014-12-12,60.61,3745060,229484147.65
TQBR,2014-12-15,63.08,6626410,408797723.45
TQBR,2014-12-16,68.195,10736760,691490700.85
TQBR,2014-12-17,68.6,8551200,609588087.5
TQBR,2014-12-18,71.015,6581650,457939492.4
TQBR,2014-12-19,68.785,8046230,560895720.15
TQBR,2014-12-22,68.35,6116790,415937831.6
TQBR,2014-12-23,66.0,3157740,210896581.6
TQBR,2014-12-24,67.95,2183420,147510243.5
TQBR,2014-12-25,70.0,1193000,82012863.45
TQBR,2014-12-26,68.88,1250450,87885957.75
TQBR,2014-12-29,67.185,3135870,215532361.1
TQBR,2014-12-30,66.79,2213980,144019614.55
TQBR,2015-01-05,66.285,1739730,115543829.95
TQBR,2015-01-06,66.7,1387350,92720931.0
TQBR,2015-01-08,67.41,3818680,257283042.15
TQBR,2015-01-09,67.9,1659200,111872059.0
TQBR,2015-01-12,70.12,2429820,167138675.5
TQBR,2015-01-13,72.505,3384710,243490450.6
TQBR,2015-01-14,72.35,2331270,169383243.65
TQBR,2015-01-15,75.18,3846500,285948422.6
TQBR,2015-01-16,75.7,2968370,222667278.85
TQBR,2015-01-19,75.43,2038360,154562661.55
TQBR,2015-01-20,76.85,5622530,434266058.35
TQBR,2015-01-21,76.47,1933320,149038305.7
TQBR,2015-01-22,79.895,4439880,352804997.45
TQBR,2015-01-23,79.505,3336010,269911329.5
TQBR,2015-01-26,82.845,3456650,276305780.55
TQBR,2015-01-27,86.695,4488780,381702773.4
TQBR,2015-01-28,86.11,4527960,398957091.3
TQBR,2015-01-29,89.155,3164560,278825189.0
TQBR,2015-01-30,91.995,4540000,410240730.75
TQBR,2015-02-02,88.5,2951900,265730657.6
TQBR,2015-02-03,88.5,1716280,151653897.6
TQBR,2015-02-04,89.305,1411110,124773792.4
TQBR,2015-02-05,88.495,1867180,167676738.1
TQBR,2015-02-06,91.045,3543890,322226971.15
TQBR,2015-02-09,89.83,3835380,349828171.45
TQBR,2015-02-10,89.15,1479250,132551811.2
TQBR,2015-02-11,88.6,2727670,242647750.0
TQBR,2015-02-12,88.79,2517380,225055252.0
TQBR,2015-02-13,89.2,2698610,241309770.25
TQBR,2015-02-16,85.5,2497030,215054512.15
TQBR,2015-02-17,85.555,2715700,232677771.7
TQBR,2015-02-18,85.65,2611820,225051047.95
TQBR,2015-02-19,85.885,2038440,172935380.9
TQBR,2015-02-20,85.9,808030,69141238.65
TQBR,2015-02-24,84.58,774240,65615790.2
TQBR,2015-02-25,83.03,1338300,111496341.05
TQBR,2015-02-26,81.695,1143050,94105154.8
TQBR,2015-02-27,81.1,1642070,134573318.2
