BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,704.0,2,1399.4
TQBR,2014-06-10,705.0,10,7050.0
TQBR,2014-06-11,702.0,5,3510.0
TQBR,2014-06-16,700.0,3,2100.0
TQBR,2014-06-17,700.0,71,49700.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,699.7,22,15079.4
TQBR,2014-06-20,697.8,4,2587.9
TQBR,2014-06-23,699.0,2,1398.0
TQBR,2014-06-24,703.0,224,156927.8
TQBR,2014-06-25,711.0,513,361558.0
TQBR,2014-06-26,718.0,352,249875.9
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,717.2,1,717.2
TQBR,2014-07-01,716.7,3,2093.6
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,707.0,10,7070.0
TQBR,2014-07-10,690.0,9,6110.3
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,650.0,37,24194.6
TQBR,2014-07-15,645.0,12,7740.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,695.0,10,6950.0
TQBR,2014-07-18,650.0,11,7050.0
TQBR,2014-07-21,663.2,33,20510.3
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,650.0,10,6500.0
TQBR,2014-07-28,649.5,7,4285.7
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,644.6,54,32241.9
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,639.7,1,639.7
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,580.0,199,112066.9
TQBR,2014-08-08,550.0,440,242270.2
TQBR,2014-08-11,579.9,445,246188.1
TQBR,2014-08-12,594.8,61,33616.8
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,575.0,94,53514.2
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,570.0,31,15977.9
TQBR,2014-08-19,575.0,33,18967.9
TQBR,2014-08-20,600.0,284,168641.5
TQBR,2014-08-21,599.9,1,599.9
TQBR,2014-08-22,599.9,10,5989.1
TQBR,2014-08-25,599.9,16,9598.3
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,599.9,19,11390.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,609.9,30,18221.1
TQBR,2014-09-02,649.9,107,69365.7
TQBR,2014-09-03,650.0,81,52249.2
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,650.0,5,3090.0
TQBR,2014-09-08,595.5,51,30350.6
TQBR,2014-09-09,590.0,13,7545.9
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,611.5,3,1834.5
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,599.0,35,20111.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,597.7,33,18849.9
TQBR,2014-09-22,598.7,8,4553.8
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
