BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,205.0,10,2050.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,240.0,20,4400.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,220.0,120,26400.0
TQBR,2014-06-27,234.0,20,4740.0
TQBR,2014-06-30,227.9,10,2279.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,249.99,10,2499.9
TQBR,2014-07-03,286.99,10,2869.9
TQBR,2014-07-04,287.0,110,28869.0
TQBR,2014-07-07,239.9,200,55223.0
TQBR,2014-07-08,265.0,20,5120.0
TQBR,2014-07-09,257.75,40,9847.6
TQBR,2014-07-10,277.0,70,18308.8
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,294.99,20,5749.7
TQBR,2014-07-16,286.55,300,85965.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,220.0,30,6600.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,260.0,110,27274.4
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,304.0,10,3040.0
TQBR,2014-08-07,289.0,10,2890.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,228.0,40,9779.9
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,228.05,10,2280.5
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
