BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-12-14,67.9,1697230,115147001.0
TQBR,2020-12-15,67.8,312080,21178261.9
TQBR,2020-12-16,66.87,520890,35003528.4
TQBR,2020-12-17,65.8,234120,15548566.6
TQBR,2020-12-18,65.51,84620,5550536.8
TQBR,2020-12-21,64.5,177480,11564623.0
TQBR,2020-12-22,63.51,129830,8337086.3
TQBR,2020-12-23,64.49,75950,4885447.1
TQBR,2020-12-24,62.75,367690,23071177.3
TQBR,2020-12-25,64.25,137800,8719531.6
TQBR,2020-12-28,62.42,354980,22277839.5
TQBR,2020-12-29,63.39,77400,4891622.8
TQBR,2020-12-30,63.99,46530,2960387.0
TQBR,2021-01-04,64.01,80030,5143983.2
TQBR,2021-01-05,64.93,66130,4265563.2
TQBR,2021-01-06,64.41,98320,6418248.4
TQBR,2021-01-08,64.32,63960,4135798.4
TQBR,2021-01-11,64.88,239230,15332203.4
TQBR,2021-01-12,65.67,113320,7467477.0
TQBR,2021-01-13,65.97,51900,3432995.7
TQBR,2021-01-14,66.77,62920,4190489.6
TQBR,2021-01-15,64.98,93320,6180007.0
TQBR,2021-01-18,65.88,92910,6144792.6
TQBR,2021-01-19,65.4,25260,1655982.7
TQBR,2021-01-20,64.96,48960,3184526.9
TQBR,2021-01-21,64.07,100560,6472422.7
TQBR,2021-01-22,64.49,50400,3240051.2
TQBR,2021-01-25,64.7,86850,5620052.2
TQBR,2021-01-26,64.8,41440,2696984.4
TQBR,2021-01-27,64.64,77160,5043722.0
TQBR,2021-01-28,64.74,36070,2342896.2
TQBR,2021-01-29,65.03,40820,2648061.2
TQBR,2021-02-01,64.98,21080,1366787.1
TQBR,2021-02-02,65.6,38260,2498290.7
TQBR,2021-02-03,65.02,33990,2212762.2
TQBR,2021-02-04,64.25,116340,7478667.5
TQBR,2021-02-05,64.19,55250,3547995.8
TQBR,2021-02-08,63.99,83940,5389885.9
TQBR,2021-02-09,62.99,156030,9904853.3
TQBR,2021-02-10,62.09,270170,16874636.3
TQBR,2021-02-11,60.0,649440,39253679.1
TQBR,2021-02-12,59.54,371610,21900360.6
TQBR,2021-02-15,60.45,294540,17820555.3
TQBR,2021-02-16,59.97,204580,12322872.2
TQBR,2021-02-17,59.49,96190,5747963.8
TQBR,2021-02-18,57.0,360910,20975324.1
TQBR,2021-02-19,56.67,302570,17055918.2
TQBR,2021-02-20,58.0,211130,12318740.2
TQBR,2021-02-22,58.37,114310,6637555.5
TQBR,2021-02-24,57.52,60470,3518245.0
TQBR,2021-02-25,57.92,68710,3973710.5
TQBR,2021-02-26,57.5,68450,3927370.6
TQBR,2021-03-01,57.52,43880,2538088.0
TQBR,2021-03-02,57.17,68820,3936584.5
TQBR,2021-03-03,57.57,71600,4126733.0
TQBR,2021-03-04,57.5,71650,4119808.0
TQBR,2021-03-05,57.3,34820,1993865.7
TQBR,2021-03-09,57.39,63920,3668771.6
TQBR,2021-03-10,57.62,85080,4872135.1
TQBR,2021-03-11,57.63,37690,2170357.6
TQBR,2021-03-12,57.12,41750,2389371.1
TQBR,2021-03-15,57.81,109170,6313643.0
TQBR,2021-03-16,57.69,48180,2789964.4
TQBR,2021-03-17,57.3,42970,2468842.1
TQBR,2021-03-18,58.05,55160,3192069.7
TQBR,2021-03-19,57.84,43040,2484143.7
TQBR,2021-03-22,57.55,59330,3430606.3
TQBR,2021-03-23,57.59,84360,4847787.1
TQBR,2021-03-24,57.6,64950,3720984.2
TQBR,2021-03-25,57.56,39720,2287895.4
TQBR,2021-03-26,57.4,31480,1811284.2
TQBR,2021-03-29,57.66,62680,3610768.6
TQBR,2021-03-30,57.89,48250,2788553.1
TQBR,2021-03-31,57.2,208570,11995626.1
TQBR,2021-04-01,57.42,70360,4035708.8
TQBR,2021-04-02,57.85,62810,3617639.7
TQBR,2021-04-05,58.1,81230,4708187.6
TQBR,2021-04-06,58.27,113920,6637868.7
TQBR,2021-04-07,58.36,52980,3094536.5
TQBR,2021-04-08,58.38,90400,5320020.1
TQBR,2021-04-09,58.21,35380,2064526.8
TQBR,2021-04-12,58.7,61320,3601836.5
TQBR,2021-04-13,59.19,70120,4141337.4
TQBR,2021-04-14,58.91,59930,3540545.8
TQBR,2021-04-15,58.22,36760,2150970.3
TQBR,2021-04-16,57.93,121770,7053330.7
TQBR,2021-04-19,57.98,58300,3390177.8
TQBR,2021-04-20,57.78,38250,2215668.8
TQBR,2021-04-21,57.8,38100,2203543.7
TQBR,2021-04-22,57.9,32380,1873689.0
TQBR,2021-04-23,57.6,46070,2656039.6
TQBR,2021-04-26,57.39,103940,5972708.2
TQBR,2021-04-27,57.25,52550,3017261.4
TQBR,2021-04-28,56.43,135820,7734752.3
TQBR,2021-04-29,55.8,137330,7705899.2
TQBR,2021-04-30,55.57,66600,3704584.0
TQBR,2021-05-04,56.25,60360,3401243.1
TQBR,2021-05-05,56.34,34920,1967399.4
TQBR,2021-05-06,55.88,36710,2045929.1
TQBR,2021-05-07,55.73,17220,959731.1
TQBR,2021-05-10,55.73,31580,1758007.0
TQBR,2021-05-11,55.18,35960,1987576.9
TQBR,2021-05-12,55.6,38650,2137951.3
TQBR,2021-05-13,55.13,61760,3416019.5
TQBR,2021-05-14,55.1,19090,1054448.7
TQBR,2021-05-17,54.97,32990,1820554.2
TQBR,2021-05-18,55.07,50970,2805899.7
TQBR,2021-05-19,54.58,74970,4097083.3
TQBR,2021-05-20,53.77,108320,5857455.4
TQBR,2021-05-21,53.81,40240,2162736.8
TQBR,2021-05-24,53.61,31600,1701994.1
TQBR,2021-05-25,53.39,46970,2503127.1
TQBR,2021-05-26,53.27,31970,1705252.4
TQBR,2021-05-27,53.49,60630,3236852.2
TQBR,2021-05-28,54.33,40390,2176407.2
TQBR,2021-05-31,56.81,917530,50942847.1
TQBR,2021-06-01,55.51,277680,15405041.2
TQBR,2021-06-02,55.5,367130,20645428.3
TQBR,2021-06-03,54.89,147140,8126780.4
TQBR,2021-06-04,55.25,21400,1180699.3
TQBR,2021-06-07,54.9,56350,3100195.1
TQBR,2021-06-08,54.03,107420,5837069.3
TQBR,2021-06-09,53.66,72270,3884160.2
TQBR,2021-06-10,54.3,63070,3422376.4
TQBR,2021-06-11,53.49,290630,15590480.1
TQBR,2021-06-14,53.34,120140,6414564.6
TQBR,2021-06-15,52.7,227600,12000770.8
TQBR,2021-06-16,52.71,31860,1682975.2
TQBR,2021-06-17,52.8,50550,2671932.2
TQBR,2021-06-18,53.11,30790,1634932.0
TQBR,2021-06-21,54.09,132370,7126537.5
TQBR,2021-06-22,54.16,71960,3883331.3
TQBR,2021-06-23,53.65,144620,7746603.6
TQBR,2021-06-24,53.1,56540,3008179.6
TQBR,2021-06-25,53.22,68670,3644129.0
TQBR,2021-06-28,53.39,80180,4280499.9
TQBR,2021-06-29,52.83,71790,3799646.1
TQBR,2021-06-30,53.31,37570,1995062.3
TQBR,2021-07-01,53.89,169550,9148926.1
TQBR,2021-07-02,53.66,127600,6855738.1
TQBR,2021-07-05,53.88,111010,5957864.8
TQBR,2021-07-06,53.8,42430,2284224.6
TQBR,2021-07-07,53.34,48040,2577992.9
TQBR,2021-07-08,53.69,28050,1497184.1
TQBR,2021-07-09,53.54,27250,1464748.9
TQBR,2021-07-12,53.46,61040,3274402.8
TQBR,2021-07-13,52.6,76870,4070228.4
TQBR,2021-07-14,52.96,49160,2585183.8
TQBR,2021-07-15,52.64,18520,975934.2
TQBR,2021-07-16,52.66,26720,1406940.9
TQBR,2021-07-19,52.09,38520,2008198.6
TQBR,2021-07-20,52.21,18490,969645.7
TQBR,2021-07-21,52.05,62300,3240983.4
TQBR,2021-07-22,51.96,31860,1656143.0
TQBR,2021-07-23,51.72,30520,1581844.4
TQBR,2021-07-26,51.72,36070,1867733.2
TQBR,2021-07-27,51.07,74770,3823299.0
TQBR,2021-07-28,50.96,91190,4656312.8
TQBR,2021-07-29,50.61,45030,2277595.1
TQBR,2021-07-30,50.69,56340,2852103.3
TQBR,2021-08-02,50.96,32780,1670227.8
TQBR,2021-08-03,51.19,88550,4515793.6
TQBR,2021-08-04,50.5,268750,13711816.4
TQBR,2021-08-05,51.11,65640,3351971.9
TQBR,2021-08-06,50.71,44060,2248570.6
TQBR,2021-08-09,51.04,41290,2114566.0
TQBR,2021-08-10,50.93,18690,953178.0
TQBR,2021-08-11,50.43,130000,6547477.7
TQBR,2021-08-12,50.55,62560,3166943.1
TQBR,2021-08-13,50.67,46770,2367003.8
TQBR,2021-08-16,50.48,29570,1495890.5
TQBR,2021-08-17,50.56,13600,687860.6
TQBR,2021-08-18,50.6,306370,15481691.6
TQBR,2021-08-19,49.92,46670,2335662.1
TQBR,2021-08-20,49.75,23900,1189555.9
TQBR,2021-08-23,49.9,222610,10982965.9
TQBR,2021-08-24,50.04,25240,1265476.0
TQBR,2021-08-25,49.6,54060,2679660.8
TQBR,2021-08-26,49.51,13040,646356.6
TQBR,2021-08-27,49.57,43510,2165144.3
TQBR,2021-08-30,49.88,29230,1456642.2
TQBR,2021-08-31,50.59,190480,9633335.1
TQBR,2021-09-01,50.42,169490,8662955.5
TQBR,2021-09-02,50.61,23800,1202651.1
TQBR,2021-09-03,50.4,21920,1106506.2
TQBR,2021-09-06,50.55,42090,2126002.5
TQBR,2021-09-07,50.55,76260,3853599.5
TQBR,2021-09-08,50.47,28850,1460635.4
TQBR,2021-09-09,50.2,32950,1655255.4
TQBR,2021-09-10,50.38,32110,1615189.6
TQBR,2021-09-13,50.22,17890,899043.0
TQBR,2021-09-14,50.38,56640,2850025.2
