BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,800.0,34,24148.2
TQBR,2014-06-10,851.8,1,851.8
TQBR,2014-06-11,820.0,1,820.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,826.9,1,826.9
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,761.1,1,761.1
TQBR,2014-06-20,851.9,3,2555.7
TQBR,2014-06-23,790.0,2,1585.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,796.8,6,4589.5
TQBR,2014-06-27,720.9,1,720.9
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,740.0,28,19447.9
TQBR,2014-07-02,760.0,9,6799.5
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,840.0,17,13831.4
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,864.0,1,864.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,863.9,2,1728.9
TQBR,2014-07-15,807.5,9,7074.0
TQBR,2014-07-16,706.0,1,706.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,823.9,3,2380.2
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,750.0,6,4500.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,680.0,16,10883.4
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,730.0,2,1387.1
TQBR,2014-08-04,754.9,1,754.9
TQBR,2014-08-05,673.4,2,1346.8
TQBR,2014-08-06,720.0,3,2162.3
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,750.0,1,750.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,737.6,6,4237.6
TQBR,2014-08-13,769.0,5,3778.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,750.0,3,2249.8
TQBR,2014-08-19,750.0,2,1500.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,734.5,5,3568.6
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,732.0,5,3578.7
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,713.9,21,14457.3
TQBR,2014-09-04,675.7,1,675.7
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,714.7,4,2831.8
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,796.9,20,14286.9
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,755.0,2,1550.9
TQBR,2014-09-17,749.9,13,9432.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,755.5,7,5149.5
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,740.0,4,2908.5
TQBR,2014-09-24,735.0,4,2896.0
TQBR,2014-09-25,710.0,4,2861.0
TQBR,2014-09-26,773.5,9,6706.9
TQBR,2014-09-29,775.9,9,6573.9
TQBR,2014-09-30,769.9,3,2296.0
TQBR,2014-10-01,760.0,14,11120.0
TQBR,2014-10-02,745.0,2,1500.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,795.0,6,4845.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,735.0,1,735.0
TQBR,2014-10-13,740.0,39,28975.0
TQBR,2014-10-14,795.0,1,795.0
TQBR,2014-10-15,795.0,1,795.0
TQBR,2014-10-16,740.0,9,6480.0
TQBR,2014-10-17,770.0,80,65235.0
TQBR,2014-10-20,780.0,10,7545.0
TQBR,2014-10-21,800.0,6,4795.0
TQBR,2014-10-22,800.0,2,1600.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,745.0,9,6430.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,725.0,26,19005.0
TQBR,2014-10-29,770.0,121,96445.0
TQBR,2014-10-30,745.0,109,79025.0
TQBR,2014-10-31,730.0,53,37595.0
TQBR,2014-11-03,720.0,3,2140.0
TQBR,2014-11-05,720.0,4,2875.0
TQBR,2014-11-06,700.0,10,7085.0
TQBR,2014-11-07,700.0,8,5600.0
TQBR,2014-11-10,690.0,6,4165.0
TQBR,2014-11-11,700.0,2,1400.0
TQBR,2014-11-12,700.0,11,7870.0
TQBR,2014-11-13,695.0,1,695.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,715.0,1,715.0
TQBR,2014-11-18,720.0,2,1435.0
TQBR,2014-11-19,695.0,6,4220.0
TQBR,2014-11-20,,0,0.0
TQBR,2014-11-21,700.0,3,2110.0
TQBR,2014-11-24,715.0,3,2135.0
TQBR,2014-11-25,700.0,17,12115.0
TQBR,2014-11-26,700.0,29,20400.0
TQBR,2014-11-27,715.0,2,1405.0
TQBR,2014-11-28,700.0,8,5595.0
TQBR,2014-12-01,695.0,7,4835.0
TQBR,2014-12-02,705.0,6,4180.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,700.0,6,4125.0
TQBR,2014-12-05,710.0,4,2835.0
TQBR,2014-12-08,675.0,6,4080.0
TQBR,2014-12-09,675.0,6,4030.0
TQBR,2014-12-10,695.0,1,695.0
TQBR,2014-12-11,705.0,1,705.0
TQBR,2014-12-12,670.0,82,51715.0
TQBR,2014-12-15,655.0,7,4490.0
TQBR,2014-12-16,530.0,24,13645.0
TQBR,2014-12-17,635.0,10,6095.0
TQBR,2014-12-18,600.0,3,1775.0
TQBR,2014-12-19,,0,0.0
TQBR,2014-12-22,550.0,5,2730.0
TQBR,2014-12-23,640.0,2,1175.0
TQBR,2014-12-24,655.0,14,8620.0
TQBR,2014-12-25,,0,0.0
TQBR,2014-12-26,680.0,3,2005.0
TQBR,2014-12-29,610.0,2,1220.0
TQBR,2014-12-30,615.0,4,2415.0
TQBR,2015-01-05,615.0,2,1255.0
TQBR,2015-01-06,635.0,33,21780.0
TQBR,2015-01-08,640.0,81,46780.0
TQBR,2015-01-09,635.0,12,7350.0
TQBR,2015-01-12,655.0,10,6525.0
TQBR,2015-01-13,615.0,4,2480.0
TQBR,2015-01-14,605.0,14,8370.0
TQBR,2015-01-15,630.0,8,4910.0
TQBR,2015-01-16,630.0,3,1840.0
TQBR,2015-01-19,630.0,5,3150.0
TQBR,2015-01-20,640.0,12,7815.0
TQBR,2015-01-21,630.0,1,630.0
TQBR,2015-01-22,650.0,2,1270.0
TQBR,2015-01-23,640.0,35,23485.0
TQBR,2015-01-26,685.0,4,2760.0
TQBR,2015-01-27,695.0,2,1330.0
TQBR,2015-01-28,,0,0.0
TQBR,2015-01-29,690.0,20,13725.0
TQBR,2015-01-30,705.0,1,705.0
TQBR,2015-02-02,650.0,17,11110.0
TQBR,2015-02-03,905.0,250,217990.0
TQBR,2015-02-04,1265.0,315,395440.0
TQBR,2015-02-05,1765.0,354,610915.0
TQBR,2015-02-06,2465.0,424,1038605.0
TQBR,2015-02-09,3445.0,939,3095260.0
TQBR,2015-02-10,2800.0,239,767890.0
TQBR,2015-02-11,2080.0,684,1440515.0
TQBR,2015-02-12,2190.0,207,408265.0
TQBR,2015-02-13,1970.0,444,842535.0
TQBR,2015-02-16,2305.0,1204,2844775.0
TQBR,2015-02-17,2085.0,310,644370.0
TQBR,2015-02-18,2080.0,109,227230.0
TQBR,2015-02-19,1980.0,135,269500.0
TQBR,2015-02-20,1875.0,162,300075.0
TQBR,2015-02-24,1795.0,119,211835.0
TQBR,2015-02-25,1730.0,145,255605.0
TQBR,2015-02-26,1820.0,203,387345.0
TQBR,2015-02-27,2010.0,717,1524540.0
TQBR,2015-03-02,2145.0,208,459650.0
TQBR,2015-03-03,2500.0,477,1093900.0
TQBR,2015-03-04,2870.0,775,2126995.0
TQBR,2015-03-05,2740.0,515,1530435.0
TQBR,2015-03-06,2770.0,112,300040.0
TQBR,2015-03-10,2850.0,14,37090.0
TQBR,2015-03-11,2890.0,26,72555.0
TQBR,2015-03-12,2850.0,86,246460.0
TQBR,2015-03-13,2845.0,84,227575.0
TQBR,2015-03-16,2890.0,54,153255.0
TQBR,2015-03-17,2785.0,5,13890.0
TQBR,2015-03-18,2840.0,49,132610.0
TQBR,2015-03-19,2840.0,4,11175.0
TQBR,2015-03-20,2790.0,2,5580.0
TQBR,2015-03-23,2405.0,115,274065.0
TQBR,2015-03-24,2390.0,10,24030.0
TQBR,2015-03-25,2305.0,10,23010.0
TQBR,2015-03-26,2205.0,11,24820.0
TQBR,2015-03-27,2230.0,4,8665.0
TQBR,2015-03-30,2065.0,35,70340.0
TQBR,2015-03-31,2160.0,12,24780.0
TQBR,2015-04-01,2060.0,5,10650.0
TQBR,2015-04-02,2055.0,3,6280.0
TQBR,2015-04-03,2075.0,2,4150.0
TQBR,2015-04-06,2085.0,7,15285.0
TQBR,2015-04-07,2145.0,1,2145.0
TQBR,2015-04-08,2005.0,6,12060.0
TQBR,2015-04-09,2130.0,179,379460.0
TQBR,2015-04-10,2085.0,21,45465.0
TQBR,2015-04-13,2105.0,23,48360.0
TQBR,2015-04-14,2090.0,5,10340.0
TQBR,2015-04-15,2045.0,8,16040.0
TQBR,2015-04-16,2045.0,1,2045.0
TQBR,2015-04-17,,0,0.0
TQBR,2015-04-20,2070.0,5,10645.0
TQBR,2015-04-21,2010.0,5,10230.0
TQBR,2015-04-22,,0,0.0
TQBR,2015-04-23,1955.0,8,16060.0
TQBR,2015-04-24,2050.0,64,133320.0
TQBR,2015-04-27,1995.0,11,21850.0
TQBR,2015-04-28,2025.0,19,37920.0
TQBR,2015-04-29,2045.0,51,108030.0
TQBR,2015-04-30,2170.0,25,54015.0
TQBR,2015-05-05,2140.0,23,47810.0
TQBR,2015-05-06,2040.0,52,109600.0
TQBR,2015-05-07,2050.0,1,2050.0
TQBR,2015-05-08,2030.0,9,18210.0
TQBR,2015-05-12,1990.0,9,17970.0
TQBR,2015-05-13,1950.0,15,29330.0
TQBR,2015-05-14,1960.0,3,5880.0
TQBR,2015-05-15,1980.0,1,1980.0
TQBR,2015-05-18,2000.0,21,39860.0
TQBR,2015-05-19,1830.0,4,7440.0
TQBR,2015-05-20,1880.0,14,25440.0
TQBR,2015-05-21,,0,0.0
TQBR,2015-05-22,1840.0,4,7260.0
TQBR,2015-05-25,1810.0,1,1810.0
TQBR,2015-05-26,1800.0,269,484200.0
TQBR,2015-05-27,1830.0,1,1830.0
TQBR,2015-05-28,1840.0,2,3670.0
TQBR,2015-05-29,1920.0,1,1920.0
TQBR,2015-06-01,1930.0,45,89950.0
TQBR,2015-06-02,1850.0,6,11410.0
TQBR,2015-06-03,1800.0,68,122930.0
TQBR,2015-06-04,1790.0,4,7170.0
TQBR,2015-06-05,,0,0.0
TQBR,2015-06-08,,0,0.0
TQBR,2015-06-09,1750.0,4,7040.0
TQBR,2015-06-10,,0,0.0
TQBR,2015-06-11,1800.0,1,1800.0
TQBR,2015-06-15,1710.0,3,5120.0
TQBR,2015-06-16,1770.0,3,5170.0
TQBR,2015-06-17,1780.0,3,5260.0
TQBR,2015-06-18,1730.0,2,3460.0
TQBR,2015-06-19,1710.0,12,21060.0
TQBR,2015-06-22,1770.0,1,1770.0
TQBR,2015-06-23,,0,0.0
TQBR,2015-06-24,1750.0,2,3550.0
TQBR,2015-06-25,1800.0,10,17960.0
TQBR,2015-06-26,,0,0.0
TQBR,2015-06-29,,0,0.0
TQBR,2015-06-30,1740.0,3,5430.0
TQBR,2015-07-01,1770.0,1,1770.0
TQBR,2015-07-02,,0,0.0
TQBR,2015-07-03,,0,0.0
TQBR,2015-07-06,1820.0,2,3530.0
TQBR,2015-07-07,1810.0,11,18780.0
TQBR,2015-07-08,,0,0.0
TQBR,2015-07-09,,0,0.0
TQBR,2015-07-10,1740.0,11,19230.0
TQBR,2015-07-13,1690.0,4,6600.0
TQBR,2015-07-14,,0,0.0
TQBR,2015-07-15,1760.0,2,3410.0
TQBR,2015-07-16,,0,0.0
TQBR,2015-07-17,1760.0,1,1760.0
TQBR,2015-07-20,,0,0.0
TQBR,2015-07-21,,0,0.0
TQBR,2015-07-22,1890.0,4,7450.0
TQBR,2015-07-23,,0,0.0
TQBR,2015-07-24,1710.0,1,1710.0
TQBR,2015-07-27,1710.0,2,3440.0
TQBR,2015-07-28,,0,0.0
TQBR,2015-07-29,,0,0.0
TQBR,2015-07-30,1810.0,4,7220.0
TQBR,2015-07-31,1750.0,4,6930.0
TQBR,2015-08-03,1990.0,46,89280.0
TQBR,2015-08-04,2050.0,6,12070.0
TQBR,2015-08-05,2140.0,26,55900.0
TQBR,2015-08-06,1990.0,5,9960.0
TQBR,2015-08-07,2120.0,6,12730.0
TQBR,2015-08-10,2010.0,9,18180.0
TQBR,2015-08-11,2050.0,210,432310.0
TQBR,2015-08-12,2550.0,204,452640.0
TQBR,2015-08-13,2250.0,27,61420.0
TQBR,2015-08-14,2280.0,4,9120.0
TQBR,2015-08-17,2200.0,6,12890.0
TQBR,2015-08-18,,0,0.0
TQBR,2015-08-19,2110.0,5,10750.0
TQBR,2015-08-20,2020.0,7,14520.0
TQBR,2015-08-21,2000.0,2,4010.0
TQBR,2015-08-24,1800.0,44,77410.0
TQBR,2015-08-25,1900.0,2,3800.0
TQBR,2015-08-26,,0,0.0
TQBR,2015-08-27,1980.0,6,11840.0
TQBR,2015-08-28,2180.0,16,33810.0
TQBR,2015-08-31,,0,0.0
TQBR,2015-09-01,,0,0.0
TQBR,2015-09-02,2050.0,13,28750.0
TQBR,2015-09-03,2100.0,4,8860.0
TQBR,2015-09-04,2100.0,17,37910.0
TQBR,2015-09-07,2050.0,2,4110.0
TQBR,2015-09-08,,0,0.0
TQBR,2015-09-09,2010.0,99,213610.0
TQBR,2015-09-10,1950.0,4,7890.0
TQBR,2015-09-11,1970.0,5,9630.0
TQBR,2015-09-14,2060.0,15,30490.0
TQBR,2015-09-15,1950.0,19,37800.0
TQBR,2015-09-16,1970.0,14,28160.0
TQBR,2015-09-17,1960.0,5,9830.0
TQBR,2015-09-18,,0,0.0
TQBR,2015-09-21,,0,0.0
TQBR,2015-09-22,1950.0,1,1950.0
TQBR,2015-09-23,,0,0.0
TQBR,2015-09-24,1820.0,3,5580.0
TQBR,2015-09-25,,0,0.0
TQBR,2015-09-28,1940.0,2,3880.0
TQBR,2015-09-29,,0,0.0
TQBR,2015-09-30,,0,0.0
TQBR,2015-10-01,,0,0.0
TQBR,2015-10-02,,0,0.0
TQBR,2015-10-05,1960.0,1,1960.0
TQBR,2015-10-06,1810.0,97,155060.0
TQBR,2015-10-07,1860.0,1,1860.0
TQBR,2015-10-08,,0,0.0
TQBR,2015-10-09,1750.0,32,54800.0
TQBR,2015-10-12,1740.0,8,14060.0
TQBR,2015-10-13,1760.0,10,17510.0
TQBR,2015-10-14,1720.0,12,20740.0
TQBR,2015-10-15,1700.0,12,20390.0
TQBR,2015-10-16,1700.0,9,15220.0
TQBR,2015-10-19,1820.0,3,5370.0
TQBR,2015-10-20,1760.0,15,26760.0
TQBR,2015-10-21,1760.0,10,17040.0
TQBR,2015-10-22,,0,0.0
TQBR,2015-10-23,,0,0.0
TQBR,2015-10-26,,0,0.0
TQBR,2015-10-27,1710.0,1,1710.0
TQBR,2015-10-28,1760.0,1,1760.0
TQBR,2015-10-29,1770.0,1,1770.0
TQBR,2015-10-30,1710.0,24,40830.0
TQBR,2015-11-02,1780.0,44,77070.0
TQBR,2015-11-03,1790.0,4,7160.0
TQBR,2015-11-05,1790.0,7,12280.0
TQBR,2015-11-06,1720.0,18,30550.0
TQBR,2015-11-09,1680.0,44,75130.0
TQBR,2015-11-10,1670.0,4,6810.0
TQBR,2015-11-11,1690.0,5,8450.0
TQBR,2015-11-12,,0,0.0
TQBR,2015-11-13,1740.0,6,10240.0
TQBR,2015-11-16,1700.0,18,30310.0
TQBR,2015-11-17,1790.0,54,96930.0
TQBR,2015-11-18,1850.0,7,12680.0
TQBR,2015-11-19,1850.0,13,23830.0
TQBR,2015-11-20,1720.0,27,46370.0
TQBR,2015-11-23,1710.0,3,5190.0
TQBR,2015-11-24,1720.0,3,5160.0
TQBR,2015-11-25,1770.0,5,8700.0
TQBR,2015-11-26,1750.0,12,20570.0
TQBR,2015-11-27,1690.0,17,28680.0
TQBR,2015-11-30,1640.0,9,14970.0
TQBR,2015-12-01,1670.0,12,19880.0
TQBR,2015-12-02,1700.0,3,5060.0
TQBR,2015-12-03,1700.0,8,13470.0
TQBR,2015-12-04,1690.0,14,23140.0
TQBR,2015-12-07,1650.0,4,6710.0
TQBR,2015-12-08,1790.0,54,96990.0
TQBR,2015-12-09,1790.0,16,28500.0
TQBR,2015-12-10,,0,0.0
TQBR,2015-12-11,1800.0,1,1800.0
TQBR,2015-12-14,1630.0,2,3350.0
TQBR,2015-12-15,1740.0,1,1740.0
TQBR,2015-12-16,,0,0.0
TQBR,2015-12-17,,0,0.0
TQBR,2015-12-18,1780.0,6,10460.0
TQBR,2015-12-21,1740.0,2,3500.0
TQBR,2015-12-22,,0,0.0
TQBR,2015-12-23,1800.0,2,3580.0
TQBR,2015-12-24,1770.0,1,1770.0
TQBR,2015-12-25,1820.0,3,5380.0
TQBR,2015-12-28,,0,0.0
TQBR,2015-12-29,1830.0,6,10830.0
TQBR,2015-12-30,1800.0,1,1800.0
TQBR,2016-01-04,,0,0.0
TQBR,2016-01-05,,0,0.0
TQBR,2016-01-06,,0,0.0
TQBR,2016-01-11,1700.0,64,108520.0
TQBR,2016-01-12,1750.0,20,34280.0
TQBR,2016-01-13,1720.0,3,5170.0
TQBR,2016-01-14,,0,0.0
TQBR,2016-01-15,1710.0,3,5160.0
TQBR,2016-01-18,1640.0,9,14660.0
TQBR,2016-01-19,1700.0,6,10150.0
TQBR,2016-01-20,1660.0,2,3370.0
TQBR,2016-01-21,1720.0,1,1720.0
TQBR,2016-01-22,1730.0,2,3460.0
