BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,150.0,250,37503
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,150.0,10,1500
TQBR,2014-06-25,125.5,10,1255
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,128.3,10,1283
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,179.8,80,13687
TQBR,2014-07-04,237.9,10,2379
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,169.3,1360,220675
TQBR,2014-07-16,162.0,40,6480
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,162.0,10,1620
TQBR,2014-07-23,159.0,20,3020
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,183.0,40,6300
TQBR,2014-07-29,137.9,30,4146
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,155.0,10,1550
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,154.9,10,1549
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,160.0,80,12675
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,160.0,50,8000
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,175.9,10,1759
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,169.0,60,9362
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,143.3,40,5896
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,167.4,180,29908
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,138.0,30,4160
TQBR,2014-09-15,143.0,20,2818
TQBR,2014-09-16,133.2,60,8430
TQBR,2014-09-17,134.3,60,8107
TQBR,2014-09-18,134.2,30,4403
TQBR,2014-09-19,158.0,10,1580
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,175.0,980,170283
TQBR,2014-09-25,170.2,90,14910
TQBR,2014-09-26,160.2,10,1602
TQBR,2014-09-29,161.3,20,3227
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,145.0,30,4480
TQBR,2014-10-02,145.0,40,5795
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,,0,0
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,,0,0
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,175.0,10,1750
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,,0,0
TQBR,2014-10-28,,0,0
TQBR,2014-10-29,,0,0
TQBR,2014-10-30,162.0,20,2960
TQBR,2014-10-31,142.5,10,1425
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,,0,0
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,140.0,80,11195
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,134.0,480,64460
