BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,53.48,10,534.8
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,52.0,400,20880.9
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,50.5,1830,92585.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,51.5,30,1543.4
TQBR,2014-06-25,52.0,10,520.0
TQBR,2014-06-26,51.44,390,19739.9
TQBR,2014-06-27,52.0,10,520.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,52.0,80,4160.0
TQBR,2014-07-03,51.05,340,17358.3
TQBR,2014-07-04,51.78,40,2067.3
TQBR,2014-07-07,52.05,280,14415.7
TQBR,2014-07-08,51.3,30,1513.1
TQBR,2014-07-09,51.49,320,16051.3
TQBR,2014-07-10,50.54,110,5519.5
TQBR,2014-07-11,50.51,30,1497.3
TQBR,2014-07-14,50.48,60,3029.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,50.49,40,1990.8
TQBR,2014-07-18,50.43,1920,91824.2
TQBR,2014-07-21,48.87,20,978.5
TQBR,2014-07-22,50.0,2100,104096.2
TQBR,2014-07-23,49.04,10,490.4
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,49.0,830,40677.7
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,49.2,10,492.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,47.4,1600,75832.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,48.99,20,979.8
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,48.0,40,1932.9
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,49.0,620,30412.0
TQBR,2014-08-15,48.99,10,489.9
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,48.9,30,1467.0
TQBR,2014-08-20,48.69,180,8614.9
TQBR,2014-08-21,47.81,30,1441.2
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,47.82,10,478.2
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,47.39,20,947.9
TQBR,2014-09-03,49.42,480,23068.2
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,48.77,230,11160.6
TQBR,2014-09-08,48.88,420,20529.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,48.12,10,481.2
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,48.03,20,960.8
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,47.26,160,7578.7
TQBR,2014-09-19,48.48,130,6304.9
TQBR,2014-09-22,47.75,3550,167237.5
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,47.5,10,475.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,46.3,490,22330.0
TQBR,2014-10-07,46.0,10,460.0
TQBR,2014-10-08,47.0,20,965.0
TQBR,2014-10-09,45.6,4290,186509.0
TQBR,2014-10-10,44.9,20,898.0
