BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,53.9,50,2694.8
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,53.01,100,5301.0
TQBR,2014-06-16,53.49,110,5881.2
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,52.0,200,10463.7
TQBR,2014-06-19,51.3,490,25436.6
TQBR,2014-06-20,51.0,720,36752.6
TQBR,2014-06-23,53.4,10,534.0
TQBR,2014-06-24,52.73,30,1581.4
TQBR,2014-06-25,51.99,340,17685.0
TQBR,2014-06-26,52.0,250,12998.1
TQBR,2014-06-27,52.0,490,25480.0
TQBR,2014-06-30,50.07,1250,63168.8
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,50.51,220,11161.6
TQBR,2014-07-04,52.36,40,2094.9
TQBR,2014-07-07,50.04,2000,100128.2
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,50.9,60,3054.1
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,50.6,200,10120.0
TQBR,2014-07-15,50.55,80,4044.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,49.3,70,3475.1
TQBR,2014-07-18,49.98,720,35324.7
TQBR,2014-07-21,49.0,390,18844.6
TQBR,2014-07-22,50.0,850,42481.1
TQBR,2014-07-23,48.4,10,484.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,50.2,10,502.0
TQBR,2014-07-30,49.5,10,495.0
TQBR,2014-07-31,49.0,540,26461.6
TQBR,2014-08-01,50.0,510,25028.6
TQBR,2014-08-04,49.01,1040,50976.2
TQBR,2014-08-05,49.0,3500,171749.1
TQBR,2014-08-06,49.96,10,499.6
TQBR,2014-08-07,48.48,2640,123548.3
TQBR,2014-08-08,49.48,120,5865.5
TQBR,2014-08-11,47.0,2150,105066.0
TQBR,2014-08-12,47.55,4150,203125.4
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,49.18,10,491.8
TQBR,2014-08-15,49.0,2060,97716.8
TQBR,2014-08-18,47.5,410,19572.7
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,48.25,660,31558.2
TQBR,2014-08-21,49.0,510,24989.9
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,48.99,70,3429.3
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,49.0,2840,139158.4
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,47.0,440,20819.1
TQBR,2014-09-01,48.99,20,979.7
TQBR,2014-09-02,48.99,20,979.8
TQBR,2014-09-03,49.0,2940,143949.0
TQBR,2014-09-04,48.02,10,480.2
TQBR,2014-09-05,49.36,60,2957.7
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,47.0,1200,57199.4
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,48.89,40,1955.6
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,47.02,50,2352.4
TQBR,2014-09-16,48.99,350,16563.2
TQBR,2014-09-17,48.0,1140,54651.3
TQBR,2014-09-18,46.94,3460,161147.9
TQBR,2014-09-19,46.5,800,37213.9
TQBR,2014-09-22,47.46,1400,64908.4
TQBR,2014-09-23,47.0,2830,130605.0
TQBR,2014-09-24,46.9,590,27688.4
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,46.85,50,2342.5
TQBR,2014-09-30,46.8,20,928.1
TQBR,2014-10-01,48.0,140,6727.0
TQBR,2014-10-02,46.3,70,3284.0
TQBR,2014-10-03,47.4,110,5129.0
TQBR,2014-10-06,46.1,8170,367843.0
TQBR,2014-10-07,46.4,1040,48683.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,44.0,8130,357188.0
TQBR,2014-10-10,44.9,710,31250.0
TQBR,2014-10-13,44.5,50,2225.0
TQBR,2014-10-14,44.3,30,1334.0
TQBR,2014-10-15,46.5,700,32038.0
TQBR,2014-10-16,46.4,140,6470.0
TQBR,2014-10-17,42.0,13310,562407.0
TQBR,2014-10-20,42.9,760,32732.0
TQBR,2014-10-21,43.5,370,16047.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,42.5,3450,148728.0
TQBR,2014-10-24,43.1,540,22850.0
TQBR,2014-10-27,43.3,90,3873.0
TQBR,2014-10-28,43.8,600,26106.0
TQBR,2014-10-29,43.5,8220,357563.0
TQBR,2014-10-30,43.7,1020,44013.0
TQBR,2014-10-31,43.4,1870,80900.0
TQBR,2014-11-03,43.8,10,438.0
TQBR,2014-11-05,43.8,20,876.0
TQBR,2014-11-06,44.0,1370,60210.0
TQBR,2014-11-07,43.9,10,439.0
TQBR,2014-11-10,43.3,190,8237.0
TQBR,2014-11-11,43.4,1000,43400.0
TQBR,2014-11-12,43.7,20,873.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,43.8,6990,301817.0
TQBR,2014-11-17,43.0,60,2582.0
TQBR,2014-11-18,42.0,2090,89327.0
TQBR,2014-11-19,42.6,750,31678.0
TQBR,2014-11-20,42.4,1820,75918.0
TQBR,2014-11-21,42.3,360,15368.0
TQBR,2014-11-24,43.7,310,13532.0
TQBR,2014-11-25,42.5,200,8510.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,42.3,360,15113.0
TQBR,2014-11-28,43.0,30,1279.0
TQBR,2014-12-01,42.2,160,6750.0
TQBR,2014-12-02,42.0,690,29023.0
TQBR,2014-12-03,43.0,30,1288.0
TQBR,2014-12-04,43.0,40,1720.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,40.0,5480,221609.0
TQBR,2014-12-09,40.3,4570,182433.0
TQBR,2014-12-10,40.0,1710,69111.0
TQBR,2014-12-11,38.8,1380,54420.0
TQBR,2014-12-12,38.1,6180,234936.0
TQBR,2014-12-15,40.2,480,19178.0
TQBR,2014-12-16,40.0,6520,238093.0
TQBR,2014-12-17,38.8,520,20499.0
TQBR,2014-12-18,38.3,730,28877.0
TQBR,2014-12-19,,0,0.0
TQBR,2014-12-22,39.0,260,10170.0
TQBR,2014-12-23,39.5,310,12385.0
TQBR,2014-12-24,38.0,2680,102802.0
TQBR,2014-12-25,38.0,1460,55587.0
TQBR,2014-12-26,37.5,670,25598.0
TQBR,2014-12-29,38.8,590,22607.0
TQBR,2014-12-30,39.3,110,4273.0
TQBR,2015-01-05,39.2,1260,47349.0
TQBR,2015-01-06,38.7,540,20907.0
TQBR,2015-01-08,38.2,10,382.0
TQBR,2015-01-09,,0,0.0
TQBR,2015-01-12,37.9,4330,162632.0
TQBR,2015-01-13,37.8,60,2260.0
TQBR,2015-01-14,38.5,650,25022.0
TQBR,2015-01-15,38.5,50,1925.0
TQBR,2015-01-16,38.5,540,20794.0
TQBR,2015-01-19,37.5,1410,54443.0
TQBR,2015-01-20,40.3,40,1609.0
TQBR,2015-01-21,,0,0.0
TQBR,2015-01-22,39.8,30,1187.0
TQBR,2015-01-23,39.0,890,35285.0
TQBR,2015-01-26,,0,0.0
TQBR,2015-01-27,39.2,10,392.0
TQBR,2015-01-28,39.4,60,2376.0
TQBR,2015-01-29,39.3,10,393.0
TQBR,2015-01-30,39.2,820,31345.0
TQBR,2015-02-02,,0,0.0
TQBR,2015-02-03,37.0,500,18551.0
TQBR,2015-02-04,40.0,850,33289.0
TQBR,2015-02-05,38.3,50,1900.0
TQBR,2015-02-06,40.0,320,12798.0
TQBR,2015-02-09,40.0,110,4400.0
TQBR,2015-02-10,40.0,90,3585.0
TQBR,2015-02-11,,0,0.0
TQBR,2015-02-12,,0,0.0
TQBR,2015-02-13,39.9,530,21155.0
TQBR,2015-02-16,41.9,1290,51946.0
TQBR,2015-02-17,42.3,60,2518.0
TQBR,2015-02-18,43.9,690,29618.0
TQBR,2015-02-19,43.8,1060,44652.0
TQBR,2015-02-20,,0,0.0
TQBR,2015-02-24,40.8,430,17990.0
TQBR,2015-02-25,39.8,640,25613.0
TQBR,2015-02-26,,0,0.0
TQBR,2015-02-27,,0,0.0
TQBR,2015-03-02,39.6,190,7571.0
TQBR,2015-03-03,40.0,2350,93388.0
TQBR,2015-03-04,,0,0.0
TQBR,2015-03-05,,0,0.0
TQBR,2015-03-06,40.9,310,12595.0
TQBR,2015-03-10,40.7,4900,204216.0
TQBR,2015-03-11,43.4,2490,104925.0
TQBR,2015-03-12,43.0,290,12649.0
TQBR,2015-03-13,44.2,1230,54841.0
TQBR,2015-03-16,44.2,430,19012.0
TQBR,2015-03-17,44.0,430,19270.0
TQBR,2015-03-18,45.0,50,2250.0
TQBR,2015-03-19,45.8,10,458.0
TQBR,2015-03-20,47.9,80,3718.0
TQBR,2015-03-23,46.3,250,12009.0
TQBR,2015-03-24,48.0,220,10539.0
TQBR,2015-03-25,,0,0.0
TQBR,2015-03-26,,0,0.0
TQBR,2015-03-27,,0,0.0
TQBR,2015-03-30,46.0,3070,127380.0
TQBR,2015-03-31,,0,0.0
TQBR,2015-04-01,45.1,300,13577.0
TQBR,2015-04-02,45.8,1760,81000.0
TQBR,2015-04-03,47.4,3470,163418.0
TQBR,2015-04-06,47.3,410,19524.0
TQBR,2015-04-07,46.5,190,8869.0
TQBR,2015-04-08,47.8,840,38831.0
TQBR,2015-04-09,47.3,190,8724.0
TQBR,2015-04-10,46.4,70,3282.0
TQBR,2015-04-13,,0,0.0
TQBR,2015-04-14,45.3,1700,74187.0
TQBR,2015-04-15,45.4,90,4085.0
TQBR,2015-04-16,45.0,120,5393.0
TQBR,2015-04-17,44.0,4940,213690.0
TQBR,2015-04-20,44.3,520,22922.0
TQBR,2015-04-21,44.6,10,446.0
TQBR,2015-04-22,44.4,320,14207.0
TQBR,2015-04-23,44.4,160,7104.0
TQBR,2015-04-24,44.0,2110,92750.0
TQBR,2015-04-27,44.0,200,8786.0
TQBR,2015-04-28,44.0,1200,52800.0
TQBR,2015-04-29,44.0,420,18177.0
TQBR,2015-04-30,43.9,940,39366.0
TQBR,2015-05-05,43.5,360,15639.0
TQBR,2015-05-06,42.9,790,33633.0
TQBR,2015-05-07,43.0,300,12900.0
TQBR,2015-05-08,43.9,700,30181.0
TQBR,2015-05-12,42.1,50,2127.0
TQBR,2015-05-13,42.6,2610,108164.0
TQBR,2015-05-14,42.8,510,21690.0
