BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,0.2,40000,8000.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,0.2,50000,10000.0
TQBR,2014-06-19,0.2399,34000,6511.1
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,0.2,50000,10000.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,0.219,12000,2581.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,0.215,29000,6235.0
TQBR,2014-07-11,0.2,162000,32426.1
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,0.234,161000,35930.5
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,0.228,14000,3150.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,0.224,11000,2120.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,0.219,25000,5475.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,0.2,1000,200.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,0.22,3000,640.5
TQBR,2014-08-28,,0,0.0
