BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-06,1574.1,73,112064.8
TQBR,2014-06-09,1600.0,298,475603.3
TQBR,2014-06-10,1529.8,136,215783.2
TQBR,2014-06-11,1530.0,336,505755.0
TQBR,2014-06-16,1500.0,560,852249.4
TQBR,2014-06-17,1444.9,713,1027410.9
TQBR,2014-06-18,1395.0,968,1360003.7
TQBR,2014-06-19,1380.0,105,145442.9
TQBR,2014-06-20,1382.5,1258,1762469.7
TQBR,2014-06-23,1345.0,795,1085650.1
TQBR,2014-06-24,1359.9,344,466143.6
TQBR,2014-06-25,1380.0,221,303685.9
TQBR,2014-06-26,1377.0,175,239761.3
TQBR,2014-06-27,1386.6,29,40161.2
TQBR,2014-06-30,1370.0,1064,1457734.1
TQBR,2014-07-01,1375.2,64,89071.7
TQBR,2014-07-02,1393.9,8,11064.7
TQBR,2014-07-03,1375.0,68,94219.7
TQBR,2014-07-04,1439.4,984,1397854.4
TQBR,2014-07-07,1430.0,93,132685.8
TQBR,2014-07-08,1380.0,255,358164.1
TQBR,2014-07-09,1364.6,443,602580.5
TQBR,2014-07-10,1383.0,203,280537.0
TQBR,2014-07-11,1404.4,108,150110.3
TQBR,2014-07-14,1431.2,1856,2656963.8
TQBR,2014-07-15,1510.0,2093,3139739.8
TQBR,2014-07-16,1523.0,70,106105.3
TQBR,2014-07-17,1531.2,567,873231.8
TQBR,2014-07-18,1439.8,1305,1830602.1
TQBR,2014-07-21,1399.9,140,197701.0
TQBR,2014-07-22,1370.0,1334,1792511.2
TQBR,2014-07-23,1382.0,190,263876.8
TQBR,2014-07-24,1383.0,230,313139.1
TQBR,2014-07-25,1330.0,892,1178307.5
TQBR,2014-07-28,1315.0,292,388388.6
TQBR,2014-07-29,1348.4,531,717107.8
TQBR,2014-07-30,1381.9,111,152666.7
TQBR,2014-07-31,1360.0,73,99262.6
TQBR,2014-08-01,1310.0,83,108651.5
TQBR,2014-08-04,1348.7,9,11987.0
TQBR,2014-08-05,1390.5,460,625524.3
TQBR,2014-08-06,1399.9,467,631282.1
