BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2025-02-17,216.34,6354581,1371915046.66
TQBR,2025-02-18,210.5,10164860,2219377456.62
TQBR,2025-02-19,221.92,6296243,1367332046.46
TQBR,2025-02-20,219.52,3342203,743445705.6
TQBR,2025-02-21,219.02,1649652,360674962.38
TQBR,2025-02-24,233.0,3515021,800501563.7
TQBR,2025-02-25,230.2,1679330,388576873.88
TQBR,2025-02-26,239.96,7396660,1763552836.84
TQBR,2025-02-27,235.4,2131381,505561828.36
TQBR,2025-02-28,229.8,1842809,418779779.98
TQBR,2025-03-03,218.8,2718443,601992890.44
TQBR,2025-03-04,227.12,2314782,524615076.06
TQBR,2025-03-05,233.32,988327,226684257.54
TQBR,2025-03-06,230.78,818906,189532268.88
TQBR,2025-03-07,226.0,1014216,234373347.28
