BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,4.427,467200,2085239.1
TQBR,2014-06-10,4.4,101700,447796.2
TQBR,2014-06-11,4.386,222300,979266.1
TQBR,2014-06-16,4.52,903500,4117480.5
TQBR,2014-06-17,4.74,1005000,4765830.2
TQBR,2014-06-18,4.8,304800,1463852.6
TQBR,2014-06-19,4.685,139500,665380.8
TQBR,2014-06-20,4.568,466500,2135032.8
TQBR,2014-06-23,4.656,392100,1897010.1
TQBR,2014-06-24,4.7,292700,1369020.8
TQBR,2014-06-25,4.655,50400,235078.8
TQBR,2014-06-26,4.64,48100,224119.5
TQBR,2014-06-27,4.51,859300,3820496.7
TQBR,2014-06-30,4.521,155500,703965.5
TQBR,2014-07-01,4.5,82600,371715.9
TQBR,2014-07-02,4.504,28500,128465.6
TQBR,2014-07-03,4.53,217300,996089.8
TQBR,2014-07-04,4.5,63600,286426.4
TQBR,2014-07-07,4.546,440100,1977526.8
TQBR,2014-07-08,4.53,137700,629928.1
TQBR,2014-07-09,4.506,37700,170072.9
TQBR,2014-07-10,4.419,91400,406953.0
TQBR,2014-07-11,4.42,207600,915536.2
TQBR,2014-07-14,4.455,191100,859907.0
TQBR,2014-07-15,4.45,108500,483778.2
TQBR,2014-07-16,4.45,236600,1044694.5
TQBR,2014-07-17,4.395,428800,1839570.2
TQBR,2014-07-18,4.329,251000,1080199.3
TQBR,2014-07-21,4.05,447900,1825725.8
TQBR,2014-07-22,4.168,91500,376840.0
TQBR,2014-07-23,4.2,76900,324847.8
TQBR,2014-07-24,4.16,20900,86983.0
TQBR,2014-07-25,4.114,23200,96119.7
TQBR,2014-07-28,4.014,83300,333715.0
TQBR,2014-07-29,4.019,379300,1523697.3
TQBR,2014-07-30,4.027,306000,1227008.0
TQBR,2014-07-31,4.06,92600,374652.5
TQBR,2014-08-01,4.074,235000,961628.6
TQBR,2014-08-04,4.081,45500,187880.9
TQBR,2014-08-05,4.03,29300,118391.1
TQBR,2014-08-06,3.998,218900,870951.9
TQBR,2014-08-07,4.04,132400,527881.0
TQBR,2014-08-08,4.15,258200,1048228.2
TQBR,2014-08-11,4.2,779900,3264920.7
TQBR,2014-08-12,4.25,787700,3251502.0
TQBR,2014-08-13,4.4,462300,1998571.1
TQBR,2014-08-14,4.408,263900,1160809.2
TQBR,2014-08-15,4.333,128400,562358.7
TQBR,2014-08-18,4.37,1038800,4367911.4
TQBR,2014-08-19,4.182,934100,3922654.5
TQBR,2014-08-20,4.21,133900,560429.2
TQBR,2014-08-21,4.449,1772000,8063316.0
TQBR,2014-08-22,4.303,382300,1660330.9
TQBR,2014-08-25,4.347,65500,284200.5
TQBR,2014-08-26,4.292,33900,145950.3
TQBR,2014-08-27,4.32,137100,593420.2
TQBR,2014-08-28,4.171,435300,1833256.3
TQBR,2014-08-29,4.188,47800,199019.7
TQBR,2014-09-01,4.153,131000,556731.6
TQBR,2014-09-02,4.196,25900,108478.8
TQBR,2014-09-03,4.3,209400,900004.0
TQBR,2014-09-04,4.336,521300,2242615.1
TQBR,2014-09-05,4.31,219300,944227.1
TQBR,2014-09-08,4.166,268600,1127749.4
TQBR,2014-09-09,4.21,156000,654794.7
TQBR,2014-09-10,4.163,172800,718276.0
TQBR,2014-09-11,4.167,73200,303524.7
TQBR,2014-09-12,4.215,339700,1420121.7
TQBR,2014-09-15,4.19,6867300,28535679.7
TQBR,2014-09-16,4.303,262500,1121637.4
TQBR,2014-09-17,4.194,168200,703738.0
TQBR,2014-09-18,4.14,218200,899349.6
TQBR,2014-09-19,4.022,361700,1460180.5
TQBR,2014-09-22,4.082,74000,301126.9
TQBR,2014-09-23,4.037,186400,750829.0
TQBR,2014-09-24,4.037,171400,692138.8
TQBR,2014-09-25,3.962,93700,375507.3
TQBR,2014-09-26,4.008,83600,332055.4
TQBR,2014-09-29,3.981,139100,559830.3
TQBR,2014-09-30,3.92,192300,761657.1
TQBR,2014-10-01,3.89,269200,1052256.0
TQBR,2014-10-02,3.87,511100,1965757.0
