BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2016-11-18,,0,0.0
TQBR,2016-11-21,,0,0.0
TQBR,2016-11-22,,0,0.0
TQBR,2016-11-23,,0,0.0
TQBR,2016-11-24,,0,0.0
TQBR,2016-11-25,558.0,31394,17609488.2
TQBR,2016-11-28,551.9,31113,17132165.8
TQBR,2016-11-29,550.2,26708,14717258.6
TQBR,2016-11-30,556.0,36222,20051860.1
TQBR,2016-12-01,557.3,11613,6463479.3
TQBR,2016-12-02,558.0,40807,22589512.2
TQBR,2016-12-05,559.5,29074,16110349.9
TQBR,2016-12-06,555.1,11696,6508018.6
TQBR,2016-12-07,554.5,19093,10583390.3
TQBR,2016-12-08,552.0,28042,15496150.3
TQBR,2016-12-09,551.0,20905,11533128.8
TQBR,2016-12-12,553.0,18069,10005629.6
TQBR,2016-12-13,552.4,16810,9306344.2
TQBR,2016-12-14,555.0,33772,18730504.9
TQBR,2016-12-15,555.0,38211,21206743.1
TQBR,2016-12-16,555.2,32730,18189608.7
TQBR,2016-12-19,556.8,31808,17714032.9
TQBR,2016-12-20,559.7,38388,21408087.2
TQBR,2016-12-21,559.8,41957,23473252.4
TQBR,2016-12-22,559.9,41377,23160684.1
TQBR,2016-12-23,558.8,39713,22198935.0
TQBR,2016-12-26,559.4,37733,21099222.5
TQBR,2016-12-27,559.5,39964,22354595.7
TQBR,2016-12-28,559.6,28147,15751801.9
TQBR,2016-12-29,559.6,24045,13458600.1
TQBR,2016-12-30,558.6,24936,13939250.3
TQBR,2017-01-03,559.2,6557,3667682.0
TQBR,2017-01-04,559.9,18855,10545423.7
TQBR,2017-01-05,559.9,15488,8666637.2
TQBR,2017-01-06,559.1,16940,9476779.9
TQBR,2017-01-09,559.3,37448,20942801.2
TQBR,2017-01-10,559.3,36056,20164876.6
TQBR,2017-01-11,559.3,40027,22380367.6
TQBR,2017-01-12,559.6,44018,24628623.0
TQBR,2017-01-13,559.4,38190,21364075.2
TQBR,2017-01-16,559.4,45042,25195736.2
TQBR,2017-01-17,559.6,36113,20206278.8
TQBR,2017-01-18,559.3,37764,21127820.8
TQBR,2017-01-19,559.6,37207,20816779.9
TQBR,2017-01-20,559.5,36332,20326730.4
TQBR,2017-01-23,559.4,36099,20199896.3
TQBR,2017-01-24,559.5,36553,20455892.6
TQBR,2017-01-25,559.6,37412,20935213.0
TQBR,2017-01-26,560.1,37518,20991271.9
