BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,70.7,70,5013
TQBR,2014-06-10,72.9,370,27194
TQBR,2014-06-11,72.6,130,9337
TQBR,2014-06-16,72.0,370,25684
TQBR,2014-06-17,69.0,280,19414
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,69.7,7760,532799
TQBR,2014-06-20,69.0,530,36673
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,69.2,160,11067
TQBR,2014-06-25,69.6,850,58069
TQBR,2014-06-26,69.0,1070,73891
TQBR,2014-06-27,68.0,6380,434084
TQBR,2014-06-30,69.8,130,9136
TQBR,2014-07-01,69.3,140,9714
TQBR,2014-07-02,68.9,490,33766
TQBR,2014-07-03,72.3,570,39975
TQBR,2014-07-04,68.9,860,59564
TQBR,2014-07-07,70.0,7500,524942
TQBR,2014-07-08,68.4,4130,297049
TQBR,2014-07-09,68.0,8080,549390
TQBR,2014-07-10,64.9,5830,363740
TQBR,2014-07-11,62.7,880,55506
TQBR,2014-07-14,62.0,2010,124250
TQBR,2014-07-15,65.3,40,2611
TQBR,2014-07-16,60.0,5380,329769
TQBR,2014-07-17,58.8,1940,115526
TQBR,2014-07-18,64.9,1010,66542
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,62.0,730,44765
TQBR,2014-07-23,64.7,10,647
TQBR,2014-07-24,64.5,10,645
TQBR,2014-07-25,60.8,130,7920
TQBR,2014-07-28,58.3,450,27265
TQBR,2014-07-29,60.1,1290,74958
TQBR,2014-07-30,58.1,230,13196
TQBR,2014-07-31,59.9,1290,75100
TQBR,2014-08-01,53.5,3870,205898
TQBR,2014-08-04,57.0,720,41039
TQBR,2014-08-05,56.6,110,6218
TQBR,2014-08-06,55.0,2800,157567
TQBR,2014-08-07,54.0,190,10288
TQBR,2014-08-08,56.6,180,10166
TQBR,2014-08-11,52.4,7330,375766
TQBR,2014-08-12,50.8,940,47093
TQBR,2014-08-13,51.6,4840,243125
TQBR,2014-08-14,50.6,1980,96594
TQBR,2014-08-15,53.6,3670,215101
TQBR,2014-08-18,55.8,4020,219480
TQBR,2014-08-19,56.0,170,9571
TQBR,2014-08-20,63.6,2800,168281
TQBR,2014-08-21,66.0,2660,173490
TQBR,2014-08-22,62.8,1470,92405
TQBR,2014-08-25,64.5,280,18317
TQBR,2014-08-26,61.7,8490,526863
TQBR,2014-08-27,62.0,10,620
TQBR,2014-08-28,61.9,90,5412
TQBR,2014-08-29,60.5,400,24200
TQBR,2014-09-01,58.3,100,5925
TQBR,2014-09-02,57.4,260,15208
TQBR,2014-09-03,59.5,70,4144
TQBR,2014-09-04,59.6,280,16708
TQBR,2014-09-05,59.4,120,6938
TQBR,2014-09-08,59.8,330,19832
TQBR,2014-09-09,59.9,3980,237862
TQBR,2014-09-10,61.3,5720,352957
TQBR,2014-09-11,64.4,17540,1090485
TQBR,2014-09-12,63.2,2360,144053
TQBR,2014-09-15,62.0,170,10626
TQBR,2014-09-16,66.9,4120,261612
TQBR,2014-09-17,65.0,7180,463412
TQBR,2014-09-18,62.0,2290,139882
TQBR,2014-09-19,60.1,190,11307
TQBR,2014-09-22,61.3,4060,244503
TQBR,2014-09-23,59.2,1420,85260
TQBR,2014-09-24,60.1,2850,171624
TQBR,2014-09-25,58.0,1170,67953
TQBR,2014-09-26,59.0,1710,96071
TQBR,2014-09-29,55.5,1510,86764
TQBR,2014-09-30,56.6,10180,581908
TQBR,2014-10-01,55.5,3550,197088
TQBR,2014-10-02,55.6,2260,127746
TQBR,2014-10-03,58.3,180,10795
TQBR,2014-10-06,58.7,5900,336250
TQBR,2014-10-07,61.8,4860,278534
TQBR,2014-10-08,57.7,800,47569
TQBR,2014-10-09,57.0,4290,245702
TQBR,2014-10-10,56.6,2670,144996
TQBR,2014-10-13,56.5,3740,210048
TQBR,2014-10-14,54.6,4060,222503
TQBR,2014-10-15,50.8,5600,284508
TQBR,2014-10-16,48.8,1860,92514
TQBR,2014-10-17,54.0,2830,147347
TQBR,2014-10-20,50.0,9620,499130
TQBR,2014-10-21,52.0,310,16136
TQBR,2014-10-22,51.8,90,4536
TQBR,2014-10-23,52.8,80,4094
TQBR,2014-10-24,51.4,450,22701
TQBR,2014-10-27,51.2,660,33330
TQBR,2014-10-28,50.0,5390,272522
TQBR,2014-10-29,52.6,1690,86093
TQBR,2014-10-30,51.2,620,31706
TQBR,2014-10-31,57.0,255710,14083260
TQBR,2014-11-03,58.2,1650,95360
TQBR,2014-11-05,57.0,4940,280158
TQBR,2014-11-06,57.0,10630,620053
TQBR,2014-11-07,60.0,11230,650818
TQBR,2014-11-10,61.4,690,43182
TQBR,2014-11-11,59.0,560,33101
TQBR,2014-11-12,58.2,470,27848
TQBR,2014-11-13,57.5,4790,290595
TQBR,2014-11-14,59.9,500,29726
TQBR,2014-11-17,61.5,300,18412
TQBR,2014-11-18,62.0,40,2500
TQBR,2014-11-19,62.4,230,14287
TQBR,2014-11-20,63.1,1880,117000
TQBR,2014-11-21,64.0,26600,1627382
TQBR,2014-11-24,64.4,1480,95471
TQBR,2014-11-25,64.9,290,18823
TQBR,2014-11-26,64.9,220,14014
TQBR,2014-11-27,65.0,350,22967
TQBR,2014-11-28,63.8,1150,68583
TQBR,2014-12-01,60.3,2670,166954
TQBR,2014-12-02,84.0,27700,2041546
TQBR,2014-12-03,87.0,41330,3481903
TQBR,2014-12-04,80.0,590,49098
TQBR,2014-12-05,76.0,3340,259998
TQBR,2014-12-08,78.0,2380,185412
TQBR,2014-12-09,84.8,4580,366084
TQBR,2014-12-10,83.0,189100,15095059
TQBR,2014-12-11,83.1,3360,269848
TQBR,2014-12-12,105.0,13440,1335215
TQBR,2014-12-15,92.2,590,63858
TQBR,2014-12-16,80.0,4670,355962
TQBR,2014-12-17,75.5,680,56457
TQBR,2014-12-18,74.0,14460,1113494
TQBR,2014-12-19,95.9,10470,1046683
TQBR,2014-12-22,94.0,110,10510
TQBR,2014-12-23,93.0,380,33523
TQBR,2014-12-24,89.0,50,4510
TQBR,2014-12-25,87.0,50,4382
TQBR,2014-12-26,86.1,790,69966
TQBR,2014-12-29,87.0,260,22360
TQBR,2014-12-30,94.4,290,25427
TQBR,2015-01-05,93.0,1390,133583
TQBR,2015-01-06,91.0,280,25431
TQBR,2015-01-08,88.2,50,4522
TQBR,2015-01-09,92.1,300,25526
TQBR,2015-01-12,83.0,2770,222703
TQBR,2015-01-13,84.4,520,42206
TQBR,2015-01-14,80.0,930,73651
TQBR,2015-01-15,78.5,9670,745436
TQBR,2015-01-16,80.0,900,71991
TQBR,2015-01-19,79.9,330,26410
TQBR,2015-01-20,81.0,710,57702
TQBR,2015-01-21,80.0,1070,85604
TQBR,2015-01-22,81.0,1450,115988
TQBR,2015-01-23,81.0,33130,2587152
TQBR,2015-01-26,76.5,430,32668
TQBR,2015-01-27,69.5,2260,161005
TQBR,2015-01-28,72.5,4360,318329
TQBR,2015-01-29,72.0,290,20683
TQBR,2015-01-30,72.7,2690,195335
TQBR,2015-02-02,73.0,70,5122
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,75.0,490,36355
TQBR,2015-02-05,75.1,30,2235
TQBR,2015-02-06,74.0,370,27669
TQBR,2015-02-09,77.0,2290,181114
TQBR,2015-02-10,84.0,3130,259740
TQBR,2015-02-11,83.1,130,10990
TQBR,2015-02-12,85.0,710,59569
TQBR,2015-02-13,86.0,810,68887
TQBR,2015-02-16,83.0,2230,186063
TQBR,2015-02-17,86.0,760,64246
TQBR,2015-02-18,86.0,770,66365
TQBR,2015-02-19,83.7,960,80294
TQBR,2015-02-20,84.5,1060,88159
TQBR,2015-02-24,83.5,540,45182
TQBR,2015-02-25,87.0,1470,126526
TQBR,2015-02-26,85.2,960,84730
TQBR,2015-02-27,82.0,1180,98890
TQBR,2015-03-02,85.0,6980,591034
TQBR,2015-03-03,92.0,8110,727098
TQBR,2015-03-04,92.0,1400,127622
TQBR,2015-03-05,90.1,160,14707
TQBR,2015-03-06,84.0,1180,99560
TQBR,2015-03-10,85.0,1310,109963
TQBR,2015-03-11,84.1,1020,87470
TQBR,2015-03-12,84.1,920,78044
TQBR,2015-03-13,90.0,1680,146336
TQBR,2015-03-16,91.1,1140,103320
TQBR,2015-03-17,92.0,720,66532
TQBR,2015-03-18,94.5,1010,95602
TQBR,2015-03-19,90.0,7910,742805
TQBR,2015-03-20,94.3,450,42888
TQBR,2015-03-23,92.5,310,28680
TQBR,2015-03-24,94.0,470,44277
TQBR,2015-03-25,90.0,1830,167768
TQBR,2015-03-26,89.0,2000,171560
TQBR,2015-03-27,89.0,7010,623751
TQBR,2015-03-30,92.8,90,8344
TQBR,2015-03-31,91.0,3140,291773
TQBR,2015-04-01,95.0,2770,263160
TQBR,2015-04-02,94.2,90,8680
TQBR,2015-04-03,93.7,470,43907
TQBR,2015-04-06,96.9,1950,189880
TQBR,2015-04-07,96.4,70,6900
TQBR,2015-04-08,96.9,70,6792
TQBR,2015-04-09,95.0,1520,141912
TQBR,2015-04-10,93.4,1440,130331
TQBR,2015-04-13,90.2,430,38939
TQBR,2015-04-14,89.0,740,66040
TQBR,2015-04-15,85.0,3590,297948
TQBR,2015-04-16,84.0,1460,124154
TQBR,2015-04-17,80.0,2110,170687
TQBR,2015-04-20,80.9,360,29322
TQBR,2015-04-21,83.2,1750,143656
TQBR,2015-04-22,83.3,480,40293
TQBR,2015-04-23,84.0,150,12589
TQBR,2015-04-24,89.5,3270,290341
TQBR,2015-04-27,91.0,3700,332413
TQBR,2015-04-28,80.0,8870,741740
TQBR,2015-04-29,82.6,5370,443047
TQBR,2015-04-30,89.9,2550,225091
TQBR,2015-05-05,85.0,290,24291
TQBR,2015-05-06,84.3,60,5115
TQBR,2015-05-07,87.0,240,20750
TQBR,2015-05-08,86.0,10,860
TQBR,2015-05-12,89.0,1380,122856
TQBR,2015-05-13,88.2,460,41287
TQBR,2015-05-14,87.0,390,34972
TQBR,2015-05-15,92.7,320,28003
TQBR,2015-05-18,90.0,520,46618
TQBR,2015-05-19,90.0,1440,134120
TQBR,2015-05-20,98.0,1910,183849
TQBR,2015-05-21,95.0,540,51233
TQBR,2015-05-22,100.0,3390,341383
TQBR,2015-05-25,95.2,280,29280
TQBR,2015-05-26,101.9,830,80283
TQBR,2015-05-27,100.5,900,90534
TQBR,2015-05-28,,0,0
TQBR,2015-05-29,94.9,150,14385
TQBR,2015-06-01,97.9,1040,98796
TQBR,2015-06-02,92.9,7560,680448
TQBR,2015-06-03,97.4,1670,156792
TQBR,2015-06-04,95.0,380,34388
TQBR,2015-06-05,94.8,20,1896
TQBR,2015-06-08,94.5,2570,241450
TQBR,2015-06-09,98.3,1750,169607
TQBR,2015-06-10,101.5,1560,153120
TQBR,2015-06-11,100.5,240,24283
TQBR,2015-06-15,95.0,360,33300
TQBR,2015-06-16,94.9,120,10324
TQBR,2015-06-17,94.1,160,15095
TQBR,2015-06-18,97.5,340,32753
TQBR,2015-06-19,99.2,40,3970
TQBR,2015-06-22,92.3,120,11427
TQBR,2015-06-23,87.0,480,42233
TQBR,2015-06-24,87.0,90,7895
TQBR,2015-06-25,89.6,1660,149629
TQBR,2015-06-26,,0,0
TQBR,2015-06-29,,0,0
TQBR,2015-06-30,86.9,200,17383
TQBR,2015-07-01,83.8,540,45683
TQBR,2015-07-02,84.6,10,846
TQBR,2015-07-03,78.7,7430,583671
TQBR,2015-07-06,78.1,2260,176884
TQBR,2015-07-07,78.1,410,31581
TQBR,2015-07-08,78.1,1900,159132
TQBR,2015-07-09,85.0,1390,117504
TQBR,2015-07-10,92.8,8790,825762
TQBR,2015-07-13,94.9,500,46716
TQBR,2015-07-14,90.0,60,5420
TQBR,2015-07-15,89.9,40,3599
TQBR,2015-07-16,94.7,260,23976
TQBR,2015-07-17,,0,0
TQBR,2015-07-20,88.0,10,880
TQBR,2015-07-21,93.6,370,33059
TQBR,2015-07-22,93.0,1670,155379
TQBR,2015-07-23,94.6,1420,133780
TQBR,2015-07-24,,0,0
TQBR,2015-07-27,,0,0
TQBR,2015-07-28,95.0,1310,123509
TQBR,2015-07-29,94.4,620,59285
TQBR,2015-07-30,98.5,100,9827
TQBR,2015-07-31,99.5,310,30747
TQBR,2015-08-03,86.5,1080,85788
TQBR,2015-08-04,86.0,660,56792
TQBR,2015-08-05,94.6,1720,156850
TQBR,2015-08-06,94.7,100,9470
TQBR,2015-08-07,,0,0
TQBR,2015-08-10,86.0,70,6026
TQBR,2015-08-11,84.1,1010,87271
TQBR,2015-08-12,84.0,7120,576834
TQBR,2015-08-13,,0,0
TQBR,2015-08-14,85.0,360,30285
TQBR,2015-08-17,90.0,4790,427948
TQBR,2015-08-18,90.9,1290,117754
TQBR,2015-08-19,,0,0
TQBR,2015-08-20,91.8,150,13280
TQBR,2015-08-21,85.7,1170,100088
TQBR,2015-08-24,83.1,1600,136637
TQBR,2015-08-25,88.0,1030,89527
TQBR,2015-08-26,,0,0
TQBR,2015-08-27,88.2,570,49595
TQBR,2015-08-28,,0,0
TQBR,2015-08-31,,0,0
TQBR,2015-09-01,82.0,40,3277
TQBR,2015-09-02,81.4,10,814
TQBR,2015-09-03,94.0,100,9203
TQBR,2015-09-04,,0,0
TQBR,2015-09-07,89.8,2740,242838
TQBR,2015-09-08,88.8,60,5138
TQBR,2015-09-09,90.0,560,50418
TQBR,2015-09-10,89.0,500,44499
TQBR,2015-09-11,83.4,10,834
TQBR,2015-09-14,80.5,6280,505952
TQBR,2015-09-15,84.5,640,53739
TQBR,2015-09-16,,0,0
TQBR,2015-09-17,,0,0
TQBR,2015-09-18,,0,0
TQBR,2015-09-21,82.5,20,1671
TQBR,2015-09-22,85.0,330,28155
TQBR,2015-09-23,,0,0
TQBR,2015-09-24,82.5,470,38832
TQBR,2015-09-25,82.9,910,76916
TQBR,2015-09-28,82.0,100,8198
TQBR,2015-09-29,,0,0
TQBR,2015-09-30,84.7,420,34658
TQBR,2015-10-01,81.8,10,818
TQBR,2015-10-02,85.0,1560,131197
TQBR,2015-10-05,85.3,910,75832
TQBR,2015-10-06,84.8,100,8514
TQBR,2015-10-07,80.0,2670,213905
TQBR,2015-10-08,79.1,2100,162643
TQBR,2015-10-09,78.0,200,15596
TQBR,2015-10-12,,0,0
TQBR,2015-10-13,78.4,470,35970
TQBR,2015-10-14,80.2,20,1581
TQBR,2015-10-15,68.2,830,61361
TQBR,2015-10-16,79.0,310,23747
TQBR,2015-10-19,72.7,3630,257578
TQBR,2015-10-20,73.8,1770,125326
TQBR,2015-10-21,73.2,1850,131154
TQBR,2015-10-22,74.5,1560,113065
TQBR,2015-10-23,76.6,3010,228012
TQBR,2015-10-26,75.0,1770,129959
TQBR,2015-10-27,75.0,2260,167633
TQBR,2015-10-28,76.1,4160,307431
TQBR,2015-10-29,76.3,1340,103523
TQBR,2015-10-30,75.0,260,19945
TQBR,2015-11-02,73.4,340,24919
TQBR,2015-11-03,74.8,2800,209646
TQBR,2015-11-05,74.1,150,11230
TQBR,2015-11-06,74.5,20,1495
TQBR,2015-11-09,,0,0
TQBR,2015-11-10,74.0,570,42565
TQBR,2015-11-11,72.9,540,39050
