BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,103.0,1800,186795.0
TQBR,2013-07-10,102.0,1200,128060.0
TQBR,2013-07-11,103.17,60,6189.3
TQBR,2013-07-12,107.5,1400,147198.0
TQBR,2013-07-15,109.8,400,43960.0
TQBR,2013-07-16,112.98,2810,315555.2
TQBR,2013-07-17,115.05,1600,184005.0
TQBR,2013-07-18,115.6,100,11560.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,117.08,180,21074.4
TQBR,2013-07-25,116.07,280,32724.6
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,112.01,2000,234500.0
TQBR,2013-08-01,113.17,4500,507495.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,111.58,5680,620483.7
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,113.6,6160,700314.8
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,109.56,16060,1835136.0
TQBR,2013-08-19,112.73,7550,847075.1
TQBR,2013-08-20,112.61,1980,228294.0
TQBR,2013-08-21,114.0,2160,245035.5
TQBR,2013-08-22,115.0,7050,815521.1
TQBR,2013-08-23,114.21,2200,254949.7
TQBR,2013-08-26,113.64,430,48981.4
TQBR,2013-08-27,110.0,14800,1635917.9
TQBR,2013-08-28,108.72,7130,776443.6
TQBR,2013-08-29,107.6,6930,750003.3
TQBR,2013-08-30,101.01,73640,7788652.2
TQBR,2013-09-02,99.02,4954080,493859872.4
TQBR,2013-09-03,102.09,5477600,556301423.4
TQBR,2013-09-04,101.2,4313800,436840336.3
TQBR,2013-09-05,103.0,5078780,516048358.8
TQBR,2013-09-06,100.79,5505020,564533351.4
TQBR,2013-09-09,104.44,7365430,764380926.2
TQBR,2013-09-10,107.22,7569540,815952796.6
TQBR,2013-09-11,108.08,4826890,521035608.0
TQBR,2013-09-12,105.0,9494810,1027710275.8
TQBR,2013-09-13,104.84,4912740,517584384.4
TQBR,2013-09-16,107.26,4508500,480318574.1
TQBR,2013-09-17,107.47,2164600,231969691.2
TQBR,2013-09-18,106.5,2607580,278867938.0
TQBR,2013-09-19,105.0,7021790,744831612.3
TQBR,2013-09-20,101.6,7413720,764206786.4
TQBR,2013-09-23,101.6,3998340,408185067.7
TQBR,2013-09-24,102.2,3102560,315870798.8
TQBR,2013-09-25,102.58,3940270,404749799.4
TQBR,2013-09-26,103.8,4743840,491869323.3
TQBR,2013-09-27,103.5,2487120,257378845.3
TQBR,2013-09-30,101.61,3095400,317690543.4
TQBR,2013-10-01,103.84,3035600,312404706.4
TQBR,2013-10-02,106.7,10530680,1118414446.5
TQBR,2013-10-03,105.81,4072880,434656054.0
TQBR,2013-10-04,106.55,2232170,237125816.8
TQBR,2013-10-07,106.16,1948070,207368461.3
TQBR,2013-10-08,106.08,3297410,350540182.5
TQBR,2013-10-09,104.44,4683460,492552066.6
TQBR,2013-10-10,105.0,5197840,541228406.8
TQBR,2013-10-11,105.39,2258230,238166934.2
TQBR,2013-10-14,104.87,2279590,238104257.1
TQBR,2013-10-15,106.91,3333490,354154639.2
TQBR,2013-10-16,107.5,8751290,947403981.5
TQBR,2013-10-17,108.29,3610920,389032203.1
TQBR,2013-10-18,108.68,2722490,296667490.3
TQBR,2013-10-21,108.22,1505110,162946393.7
TQBR,2013-10-22,107.74,2094110,224752684.8
TQBR,2013-10-23,106.0,2401210,254672213.4
TQBR,2013-10-24,111.16,10809710,1182080472.9
TQBR,2013-10-25,115.05,19367690,2217196528.4
TQBR,2013-10-28,117.1,7627840,886476153.3
TQBR,2013-10-29,117.82,7446200,873976599.3
TQBR,2013-10-30,117.34,4268380,501430574.5
TQBR,2013-10-31,117.42,6015690,702102392.3
TQBR,2013-11-01,117.1,2889730,337966182.2
TQBR,2013-11-05,116.7,3786840,444665288.1
TQBR,2013-11-06,116.75,1616250,188801658.3
TQBR,2013-11-07,117.03,3041710,355278228.0
TQBR,2013-11-08,116.79,1966240,229228923.2
TQBR,2013-11-11,116.05,2559830,297601023.8
TQBR,2013-11-12,117.79,3816090,447726239.5
TQBR,2013-11-13,117.85,9582570,1131152193.0
TQBR,2013-11-14,117.81,5976510,708574035.7
TQBR,2013-11-15,117.0,6076910,702357346.1
TQBR,2013-11-18,116.8,2210200,257151438.4
TQBR,2013-11-19,117.13,2034290,237735072.1
TQBR,2013-11-20,115.69,1964610,226671633.6
TQBR,2013-11-21,110.62,4991870,558541576.5
TQBR,2013-11-22,112.0,6564900,735159814.0
TQBR,2013-11-25,111.34,2203850,246714599.5
TQBR,2013-11-26,107.2,4645750,506512518.9
TQBR,2013-11-27,105.98,4127840,438727328.7
TQBR,2013-11-28,107.17,1461440,156649141.6
TQBR,2013-11-29,106.53,2562890,272292856.2
TQBR,2013-12-02,107.01,2158320,231438783.1
TQBR,2013-12-03,106.5,3354100,356369475.5
TQBR,2013-12-04,106.5,2773290,295581738.4
TQBR,2013-12-05,106.21,2840150,303005586.3
TQBR,2013-12-06,106.1,2502600,265745519.7
TQBR,2013-12-09,106.24,2796180,297886998.6
TQBR,2013-12-10,110.9,5719220,623993289.5
TQBR,2013-12-11,111.31,4233420,472032101.8
TQBR,2013-12-12,109.74,3930770,430693897.3
TQBR,2013-12-13,110.76,2434700,269814453.3
TQBR,2013-12-16,112.2,3659970,411597253.9
TQBR,2013-12-17,112.3,2485240,277473245.7
TQBR,2013-12-18,111.35,2091950,233376321.9
TQBR,2013-12-19,112.4,3584010,404480413.4
TQBR,2013-12-20,111.6,4049410,452739891.2
TQBR,2013-12-23,112.23,1949630,218211032.2
TQBR,2013-12-24,111.89,1301180,145944584.6
TQBR,2013-12-25,111.97,519730,58264478.6
TQBR,2013-12-26,110.6,1566560,174462213.7
TQBR,2013-12-27,110.15,883140,97475065.0
TQBR,2013-12-30,110.98,1433880,159112215.4
TQBR,2014-01-06,110.29,2387310,262478743.4
TQBR,2014-01-08,110.25,1044810,115173774.4
TQBR,2014-01-09,110.65,1438040,158562208.5
TQBR,2014-01-10,110.99,1549480,171584724.6
TQBR,2014-01-13,111.92,1781930,199191643.4
TQBR,2014-01-14,111.55,1927490,213885671.1
TQBR,2014-01-15,111.9,1460070,162885508.9
TQBR,2014-01-16,111.5,2168860,243281213.0
TQBR,2014-01-17,112.8,3069330,347478043.6
TQBR,2014-01-20,112.8,918220,103978070.7
TQBR,2014-01-21,113.27,1076960,122034552.4
TQBR,2014-01-22,112.3,1324380,148927602.4
TQBR,2014-01-23,111.79,1702820,191218543.2
TQBR,2014-01-24,112.2,2895690,325427662.0
TQBR,2014-01-27,111.9,2332500,262457054.6
TQBR,2014-01-28,111.75,1634780,182977642.1
TQBR,2014-01-29,112.09,2662180,300022801.5
TQBR,2014-01-30,111.61,2298730,257279130.1
TQBR,2014-01-31,110.57,2725310,302400108.3
TQBR,2014-02-03,110.07,950050,105005897.7
TQBR,2014-02-04,108.25,2364480,255591607.0
TQBR,2014-02-05,107.4,1878990,202097826.4
TQBR,2014-02-06,110.1,2701920,295320587.2
TQBR,2014-02-07,113.29,3578350,403894428.6
TQBR,2014-02-10,112.55,1522100,171510399.2
TQBR,2014-02-11,112.75,996880,112138935.0
TQBR,2014-02-12,112.8,1163880,131215512.7
TQBR,2014-02-13,111.8,1154360,129342144.8
TQBR,2014-02-14,112.7,1386590,155502265.9
TQBR,2014-02-17,115.2,3101700,356151602.7
TQBR,2014-02-18,112.1,3779700,430597370.0
TQBR,2014-02-19,108.94,3549320,388650440.9
TQBR,2014-02-20,109.35,1971540,215495392.3
TQBR,2014-02-21,109.25,1221560,133742433.0
TQBR,2014-02-24,109.23,1051770,115195389.5
TQBR,2014-02-25,107.71,1393820,150952472.0
TQBR,2014-02-26,106.4,3492580,371968618.8
TQBR,2014-02-27,102.72,3700710,382057081.9
TQBR,2014-02-28,99.0,8510500,851051407.0
TQBR,2014-03-03,89.72,5290690,471152049.8
TQBR,2014-03-04,94.23,4113000,383596743.7
TQBR,2014-03-05,92.4,3322230,307779534.8
TQBR,2014-03-06,89.5,3839200,345161660.4
TQBR,2014-03-07,88.24,2774390,247729204.2
TQBR,2014-03-11,86.4,2129680,184227169.4
TQBR,2014-03-12,79.8,5328440,430781572.9
TQBR,2014-03-13,79.7,3164220,247930294.9
TQBR,2014-03-14,78.0,4664780,348288690.8
TQBR,2014-03-17,84.5,5506150,446086524.3
TQBR,2014-03-18,86.22,3388630,286918742.5
TQBR,2014-03-19,82.25,4291070,367308230.8
TQBR,2014-03-20,,0,0.0
TQBR,2014-03-21,,0,0.0
TQBR,2014-03-24,,0,0.0
TQBR,2014-03-25,,0,0.0
TQBR,2014-03-26,,0,0.0
TQBR,2014-03-27,,0,0.0
TQBR,2014-03-28,,0,0.0
TQBR,2014-03-31,,0,0.0
TQBR,2014-04-01,,0,0.0
TQBR,2014-04-02,90.2,5535130,492428886.4
TQBR,2014-04-03,88.6,2916820,257504589.4
TQBR,2014-04-04,88.09,1547840,136898995.5
TQBR,2014-04-07,84.0,3367140,284466252.7
TQBR,2014-04-08,81.27,3223930,263639971.0
TQBR,2014-04-09,80.65,2416380,193854581.0
TQBR,2014-04-10,86.75,6005740,506578396.2
TQBR,2014-04-11,83.7,2852380,240965425.2
TQBR,2014-04-14,82.51,1539460,126798737.6
TQBR,2014-04-15,81.0,3117000,251339096.5
TQBR,2014-04-16,80.72,2071390,167789119.1
TQBR,2014-04-17,81.0,1268890,102693917.3
TQBR,2014-04-18,83.16,1188410,98583353.8
TQBR,2014-04-21,81.41,926280,76256315.9
TQBR,2014-04-22,79.81,3039990,243145550.8
TQBR,2014-04-23,78.25,1804070,141638123.1
TQBR,2014-04-24,74.89,2971660,226476546.8
TQBR,2014-04-25,73.61,1656220,122293426.0
TQBR,2014-04-28,75.75,4115830,302674794.6
TQBR,2014-04-29,75.6,2996330,227702200.4
TQBR,2014-04-30,76.65,2523430,189762759.5
TQBR,2014-05-02,74.61,933740,69863656.2
TQBR,2014-05-05,75.5,823760,61737531.2
TQBR,2014-05-06,78.06,2883900,226076152.2
TQBR,2014-05-07,80.49,2569960,204443087.4
TQBR,2014-05-08,80.82,2106530,171098291.6
TQBR,2014-05-12,80.11,1181070,94852114.1
TQBR,2014-05-13,80.03,1400050,112797516.3
TQBR,2014-05-14,80.0,2031930,162915668.2
TQBR,2014-05-15,79.86,1832210,147244698.3
TQBR,2014-05-16,80.37,1128120,89631245.0
TQBR,2014-05-19,83.45,3863310,319372790.9
TQBR,2014-05-20,85.6,2739730,232995777.4
TQBR,2014-05-21,86.91,2263710,194680229.3
TQBR,2014-05-22,84.33,2367210,200293519.9
TQBR,2014-05-23,86.0,1460480,124620413.3
TQBR,2014-05-26,88.1,2088140,183352162.0
TQBR,2014-05-27,83.5,4371370,369116740.0
TQBR,2014-05-28,82.83,2430890,203188532.5
TQBR,2014-05-29,85.4,2103350,177678355.0
TQBR,2014-05-30,82.8,2105110,177872809.1
TQBR,2014-06-02,84.54,2113180,178847336.1
TQBR,2014-06-03,86.2,1609190,136873293.2
TQBR,2014-06-04,86.74,1127580,97191197.2
TQBR,2014-06-05,84.71,1400900,119614542.7
TQBR,2014-06-06,86.16,1598890,136865315.2
TQBR,2014-06-09,87.69,2355330,206447120.0
TQBR,2014-06-10,88.8,3335880,295098605.1
TQBR,2014-06-11,88.06,2565010,227575711.8
TQBR,2014-06-16,84.3,6783770,585112253.1
TQBR,2014-06-17,83.22,3460880,291274761.2
TQBR,2014-06-18,84.4,4602690,388089425.8
TQBR,2014-06-19,84.32,2753490,234248312.7
TQBR,2014-06-20,84.1,4296510,360039804.9
TQBR,2014-06-23,84.59,2438410,204612824.5
TQBR,2014-06-24,88.04,4615400,401213864.7
TQBR,2014-06-25,86.15,6205750,544766351.0
TQBR,2014-06-26,85.45,2337410,200844482.0
TQBR,2014-06-27,84.65,1457970,124169574.2
TQBR,2014-06-30,86.31,2729190,235566406.7
TQBR,2014-07-01,86.75,1483630,127932084.4
TQBR,2014-07-02,89.0,2759240,243834073.3
TQBR,2014-07-03,89.51,2501040,224904830.9
TQBR,2014-07-04,88.01,1538180,137490726.5
TQBR,2014-07-07,90.9,4195410,380037760.2
TQBR,2014-07-08,90.85,2909420,266387479.5
TQBR,2014-07-09,91.09,2047220,185976730.6
TQBR,2014-07-10,90.77,5485480,501350542.6
TQBR,2014-07-11,89.03,2265030,201293513.7
TQBR,2014-07-14,89.55,1499240,134094222.5
TQBR,2014-07-15,90.18,1757460,157088556.7
TQBR,2014-07-16,92.62,3544220,325960580.7
TQBR,2014-07-17,90.79,2847510,257991421.1
TQBR,2014-07-18,89.66,1920570,171511012.3
TQBR,2014-07-21,86.69,2349800,205527374.2
TQBR,2014-07-22,89.1,2629480,233654649.3
TQBR,2014-07-23,89.94,2442580,218522174.3
TQBR,2014-07-24,91.46,4418530,402590384.8
TQBR,2014-07-25,89.23,1762420,158116455.6
TQBR,2014-07-28,87.54,2245760,196744760.8
TQBR,2014-07-29,88.45,1952810,172179862.5
TQBR,2014-07-30,88.68,2736170,245205270.1
TQBR,2014-07-31,87.8,2696300,238611301.9
TQBR,2014-08-01,89.73,2389390,211436146.3
TQBR,2014-08-04,89.67,1787340,159895371.0
TQBR,2014-08-05,89.41,1069950,95566670.4
TQBR,2014-08-06,88.45,1741630,154644307.3
TQBR,2014-08-07,89.25,1497440,133563777.5
TQBR,2014-08-08,90.06,1357690,122477824.5
TQBR,2014-08-11,91.15,3303570,300817481.4
TQBR,2014-08-12,95.7,7317670,693702447.6
