BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-03-30,37.34,539200,20078686.0
TQBR,2015-03-31,36.79,484000,17711414.0
TQBR,2015-04-01,35.825,319000,11496426.5
TQBR,2015-04-02,36.45,233600,8451696.5
TQBR,2015-04-03,36.72,265200,9625827.0
TQBR,2015-04-06,36.8,408400,14831756.0
TQBR,2015-04-07,36.66,443200,16036369.5
TQBR,2015-04-08,37.49,437300,16238709.0
TQBR,2015-04-09,36.55,490700,17645940.0
TQBR,2015-04-10,35.38,559000,19297001.5
TQBR,2015-04-13,34.79,470600,16187819.5
TQBR,2015-04-14,34.49,509500,17036237.0
TQBR,2015-04-15,34.7,458400,15271105.0
TQBR,2015-04-16,34.6,452800,15160639.0
TQBR,2015-04-17,34.54,379200,12839135.5
TQBR,2015-04-20,32.845,653100,20756607.0
TQBR,2015-04-21,31.98,681000,21523014.5
TQBR,2015-04-22,31.99,394200,12579735.0
TQBR,2015-04-23,31.0,470500,14467933.0
TQBR,2015-04-24,30.2,859500,25858653.5
TQBR,2015-04-27,30.325,679300,20671492.0
TQBR,2015-04-28,31.77,448900,14072782.5
TQBR,2015-04-29,31.13,384700,12025499.0
TQBR,2015-04-30,31.41,466700,14567180.0
TQBR,2015-05-05,31.21,930900,28690700.0
TQBR,2015-05-06,31.3,297600,9252806.0
TQBR,2015-05-07,30.72,365900,11249102.0
TQBR,2015-05-08,31.59,412200,12680803.0
TQBR,2015-05-12,31.0,375400,11576521.0
TQBR,2015-05-13,30.8,657100,20321057.0
TQBR,2015-05-14,31.3,789500,24553639.0
TQBR,2015-05-15,31.03,505600,15781234.0
TQBR,2015-05-18,30.74,345700,10632982.0
TQBR,2015-05-19,30.4,483700,14717966.0
TQBR,2015-05-20,29.7,761100,22638903.0
TQBR,2015-05-21,29.4,878300,25914036.0
TQBR,2015-05-22,28.9,370600,10741347.0
TQBR,2015-05-25,29.0,362100,10487240.0
TQBR,2015-05-26,29.05,367600,10713190.0
TQBR,2015-05-27,29.0,367800,10582296.0
TQBR,2015-05-28,29.38,398300,11613108.0
TQBR,2015-05-29,28.78,367900,10828705.0
