BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,36.63,1200,43956
TQBR,2014-06-10,36.62,1400,51324
TQBR,2014-06-11,36.65,1000,36650
TQBR,2014-06-16,36.86,1300,47918
TQBR,2014-06-17,36.86,1800,66348
TQBR,2014-06-18,36.79,1800,66222
TQBR,2014-06-19,36.85,1000,36850
TQBR,2014-06-20,36.89,2200,81158
TQBR,2014-06-23,36.92,2200,81224
TQBR,2014-06-24,36.97,2200,81334
TQBR,2014-06-25,37.0,2300,85100
TQBR,2014-06-26,36.9,2000,73800
TQBR,2014-06-27,37.1,1800,66780
TQBR,2014-06-30,37.2,1200,44640
TQBR,2014-07-01,37.33,900,33597
TQBR,2014-07-02,37.46,700,26222
TQBR,2014-07-03,37.98,700,26586
TQBR,2014-07-04,37.87,800,30296
TQBR,2014-07-07,37.81,500,18905
TQBR,2014-07-08,38.06,600,22836
TQBR,2014-07-09,38.0,400,15200
TQBR,2014-07-10,38.08,600,22848
TQBR,2014-07-11,37.72,200,7544
TQBR,2014-07-14,37.81,400,15124
TQBR,2014-07-15,37.72,200,7544
TQBR,2014-07-16,37.7,400,15085
TQBR,2014-07-17,37.89,500,18945
TQBR,2014-07-18,37.51,300,11253
TQBR,2014-07-21,37.4,400,14974
TQBR,2014-07-22,37.49,600,22494
TQBR,2014-07-23,37.86,500,18939
TQBR,2014-07-24,37.92,1400,53132
TQBR,2014-07-25,37.83,1700,64359
TQBR,2014-07-28,37.3,1500,55950
TQBR,2014-07-29,37.02,1400,51828
TQBR,2014-07-30,37.34,1300,48542
TQBR,2014-07-31,37.61,1000,37610
TQBR,2014-08-01,37.16,800,29728
TQBR,2014-08-04,37.04,1000,37040
TQBR,2014-08-05,37.12,700,25999
TQBR,2014-08-06,36.74,700,25750
TQBR,2014-08-07,36.27,600,21762
TQBR,2014-08-08,36.07,500,18035
TQBR,2014-08-11,36.21,600,21726
TQBR,2014-08-12,36.25,500,18125
TQBR,2014-08-13,36.09,300,10827
TQBR,2014-08-14,36.51,600,21906
TQBR,2014-08-15,36.55,600,21930
TQBR,2014-08-18,36.63,700,25641
TQBR,2014-08-19,36.67,100,3667
TQBR,2014-08-20,36.79,600,22098
TQBR,2014-08-21,36.92,700,25844
TQBR,2014-08-22,37.0,800,29600
TQBR,2014-08-25,36.38,800,29104
TQBR,2014-08-26,36.72,800,29396
TQBR,2014-08-27,36.48,700,25536
TQBR,2014-08-28,36.59,500,18295
TQBR,2014-08-29,35.87,900,32319
TQBR,2014-09-01,35.39,600,21259
TQBR,2014-09-02,35.28,600,21177
TQBR,2014-09-03,35.39,400,14156
TQBR,2014-09-04,35.97,500,17991
TQBR,2014-09-05,36.16,400,14464
TQBR,2014-09-08,36.33,500,18165
TQBR,2014-09-09,36.05,600,21636
TQBR,2014-09-10,36.1,500,18050
TQBR,2014-09-11,36.04,400,14416
TQBR,2014-09-12,36.0,700,25200
TQBR,2014-09-15,36.07,800,28856
TQBR,2014-09-16,36.1,700,25270
TQBR,2014-09-17,36.17,700,25319
TQBR,2014-09-18,36.1,700,25270
TQBR,2014-09-19,36.15,600,21690
TQBR,2014-09-22,36.1,400,14440
