BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.25,2470000,617500
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,0.25,1970000,492500
TQBR,2014-06-16,0.2302,10000,2302
TQBR,2014-06-17,0.25,910000,219000
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,0.25,1730000,432500
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,0.25,470000,117500
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,0.25,650000,162500
TQBR,2014-06-26,0.2671,2010000,502671
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,0.2659,110000,29249
TQBR,2014-07-02,0.27,4530000,1222465
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,0.27,30000,8101
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,0.25,90000,22501
TQBR,2014-07-14,0.2563,1000000,256300
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,0.2501,20000,4881
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,0.25,2670000,668701
TQBR,2014-07-21,0.25,800000,199999
TQBR,2014-07-22,0.24,20000,4950
TQBR,2014-07-23,0.245,20000,4900
TQBR,2014-07-24,0.25,680000,170000
TQBR,2014-07-25,0.249,680000,163735
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,0.25,1210000,312110
TQBR,2014-07-31,0.2501,10000,2501
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,0.25,200000,50000
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,0.2501,20000,4812
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,0.25,20000,5000
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,0.25,1570000,392499
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,0.2401,30000,7204
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,0.27,2160000,583200
TQBR,2014-08-28,0.27,370000,99900
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,0.2555,150000,38328
TQBR,2014-09-09,0.255,420000,107101
TQBR,2014-09-10,0.265,110000,29149
TQBR,2014-09-11,0.2601,10000,2601
TQBR,2014-09-12,0.2739,400000,109599
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,0.285,10000,2850
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,0.25,40000,10061
TQBR,2014-09-24,0.26,10000,2600
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,0.26,60000,14830
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,,0,0
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,0.27,340000,91800
TQBR,2014-10-13,,0,0
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,0.255,20000,5110
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,,0,0
TQBR,2014-10-28,0.299,10000,2990
TQBR,2014-10-29,0.251,70000,17620
TQBR,2014-10-30,,0,0
TQBR,2014-10-31,0.253,10000,2530
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,0.29,20000,5800
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,0.265,10000,2650
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,0.27,520000,140390
TQBR,2014-11-14,0.27,630000,170700
TQBR,2014-11-17,0.27,1040000,281050
TQBR,2014-11-18,0.27,40000,10800
TQBR,2014-11-19,0.27,200000,54000
TQBR,2014-11-20,0.28,10000,2800
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,,0,0
TQBR,2014-11-25,0.27,2490000,672450
TQBR,2014-11-26,0.271,30000,8110
TQBR,2014-11-27,,0,0
TQBR,2014-11-28,0.271,50000,13550
TQBR,2014-12-01,,0,0
TQBR,2014-12-02,0.27,180000,48600
TQBR,2014-12-03,,0,0
TQBR,2014-12-04,,0,0
TQBR,2014-12-05,0.27,550000,148500
TQBR,2014-12-08,0.27,120000,31190
TQBR,2014-12-09,,0,0
TQBR,2014-12-10,0.26,490000,127400
TQBR,2014-12-11,0.27,680000,180180
TQBR,2014-12-12,,0,0
TQBR,2014-12-15,0.232,20000,4640
TQBR,2014-12-16,0.233,40000,9440
TQBR,2014-12-17,0.23,110000,25390
TQBR,2014-12-18,,0,0
TQBR,2014-12-19,,0,0
TQBR,2014-12-22,,0,0
TQBR,2014-12-23,,0,0
TQBR,2014-12-24,,0,0
TQBR,2014-12-25,0.25,10000,2500
TQBR,2014-12-26,0.23,2990000,692700
TQBR,2014-12-29,,0,0
TQBR,2014-12-30,,0,0
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,,0,0
TQBR,2015-01-08,,0,0
TQBR,2015-01-09,,0,0
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,,0,0
TQBR,2015-01-14,0.23,10000,2300
TQBR,2015-01-15,0.2,12210000,2443220
TQBR,2015-01-16,,0,0
TQBR,2015-01-19,0.203,20000,4030
TQBR,2015-01-20,,0,0
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,0.229,30000,6340
TQBR,2015-01-23,0.225,610000,124050
TQBR,2015-01-26,,0,0
TQBR,2015-01-27,,0,0
TQBR,2015-01-28,0.22,900000,198000
TQBR,2015-01-29,,0,0
TQBR,2015-01-30,,0,0
TQBR,2015-02-02,,0,0
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,,0,0
TQBR,2015-02-05,,0,0
TQBR,2015-02-06,0.201,20000,4030
TQBR,2015-02-09,,0,0
TQBR,2015-02-10,,0,0
TQBR,2015-02-11,,0,0
TQBR,2015-02-12,0.22,20000,4420
TQBR,2015-02-13,0.222,10000,2220
TQBR,2015-02-16,0.222,10000,2220
TQBR,2015-02-17,,0,0
