BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.25,350000,87502
TQBR,2014-06-10,0.25,40000,9999
TQBR,2014-06-11,0.25,470000,117500
TQBR,2014-06-16,0.243,140000,34708
TQBR,2014-06-17,0.25,2640000,659902
TQBR,2014-06-18,0.2401,70000,17110
TQBR,2014-06-19,0.25,3000000,750000
TQBR,2014-06-20,0.2501,10000,2501
TQBR,2014-06-23,0.25,30000,7500
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,0.25,240000,57987
TQBR,2014-06-26,0.25,250000,62500
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,0.2775,10000,2775
TQBR,2014-07-02,0.27,170000,45900
TQBR,2014-07-03,0.27,20000,5401
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,0.28,30000,7500
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,0.26,20000,5350
TQBR,2014-07-11,0.25,50000,12501
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,0.25,70000,17499
TQBR,2014-07-16,0.2699,110000,26659
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,0.27,30000,8095
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,0.25,10000,2500
TQBR,2014-07-23,0.2402,110000,26753
TQBR,2014-07-24,0.26,10000,2600
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,0.2599,20000,5198
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,0.261,28860000,7446090
TQBR,2014-07-31,0.2698,200000,53856
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,0.25,60000,15340
TQBR,2014-08-07,0.25,260000,65004
TQBR,2014-08-08,0.25,200000,50000
TQBR,2014-08-11,0.25,790000,198580
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,0.25,50000,12500
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,0.2504,30000,7512
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,0.27,2540000,670577
TQBR,2014-08-28,0.27,80000,21600
TQBR,2014-08-29,0.27,250000,66904
TQBR,2014-09-01,0.2801,120000,33111
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,0.29,260000,68842
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,,0,0
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,0.275,10000,2750
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,0.275,500000,137500
TQBR,2014-09-17,0.27,10000,2700
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
