BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.04,880000,33518.4
TQBR,2014-06-10,0.04443,50000,2083.5
TQBR,2014-06-11,0.0495,400000,19804.1
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,0.04937,290000,14099.6
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,0.03965,20000,840.9
TQBR,2014-06-23,0.03806,30000,1190.9
TQBR,2014-06-24,0.04496,10000,449.6
TQBR,2014-06-25,0.03613,10000,361.3
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,0.039,10000,390.0
TQBR,2014-07-02,0.04549,230000,8844.9
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,0.03451,60000,2270.6
TQBR,2014-07-07,0.04,70000,2790.0
TQBR,2014-07-08,0.04886,10000,488.6
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,0.03806,220000,8722.4
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,0.03705,20000,751.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,0.03,10100000,304041.3
TQBR,2014-08-07,0.0269,4440000,116833.6
TQBR,2014-08-08,0.0263,70000,1768.8
TQBR,2014-08-11,0.02701,50000,1382.1
TQBR,2014-08-12,0.029,80000,2375.1
TQBR,2014-08-13,0.02704,10000,270.4
TQBR,2014-08-14,0.028,170000,4755.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,0.03,230000,6897.7
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,0.02754,100000,2758.6
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,0.02752,300000,8256.0
TQBR,2014-08-25,0.0295,10000,295.0
TQBR,2014-08-26,0.0275,310000,8525.3
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,0.027,1210000,33225.1
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,0.0251,10000,251.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,0.0253,50000,1266.0
TQBR,2014-09-10,0.02531,10000,253.1
TQBR,2014-09-11,0.0275,3410000,100628.9
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,0.02998,320000,9519.7
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,0.02759,150000,4138.6
