BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2018-01-03,780.0,32640,25194450.0
TQBR,2018-01-04,789.0,31870,24988725.0
TQBR,2018-01-05,776.5,29620,23379865.0
TQBR,2018-01-09,770.0,151360,117135760.0
TQBR,2018-01-10,780.0,75160,58188075.0
TQBR,2018-01-11,770.5,45180,35203570.0
TQBR,2018-01-12,779.0,46660,36311600.0
TQBR,2018-01-15,779.5,45720,35610120.0
TQBR,2018-01-16,778.0,46180,35917365.0
TQBR,2018-01-17,761.5,46850,35415920.0
TQBR,2018-01-18,765.0,53480,40875810.0
TQBR,2018-01-19,767.0,45560,35048815.0
TQBR,2018-01-22,749.5,45720,35152350.0
TQBR,2018-01-23,769.0,46270,35568105.0
TQBR,2018-01-24,764.0,46060,35159255.0
TQBR,2018-01-25,750.0,46810,35845530.0
TQBR,2018-01-26,735.0,48120,35857125.0
TQBR,2018-01-29,722.0,41230,30090325.0
TQBR,2018-01-30,754.0,48770,36217645.0
TQBR,2018-01-31,751.0,65220,49519760.0
TQBR,2018-02-01,758.0,46150,35021025.0
TQBR,2018-02-02,762.0,46960,35686335.0
TQBR,2018-02-05,759.0,46590,35299910.0
TQBR,2018-02-06,760.0,46890,35598380.0
TQBR,2018-02-07,775.0,46350,35186150.0
TQBR,2018-02-08,759.0,46600,35358410.0
TQBR,2018-02-09,749.5,46420,35321045.0
TQBR,2018-02-12,766.5,44810,34173365.0
TQBR,2018-02-13,759.0,44650,33867640.0
TQBR,2018-02-14,754.5,44730,33634215.0
TQBR,2018-02-15,754.5,44180,33103990.0
TQBR,2018-02-16,749.5,49340,36879595.0
TQBR,2018-02-19,730.0,49150,36731000.0
TQBR,2018-02-20,747.0,47670,35595405.0
TQBR,2018-02-21,751.0,51850,38737830.0
TQBR,2018-02-22,748.0,64660,48295370.0
TQBR,2018-02-26,748.0,41150,30720115.0
TQBR,2018-02-27,748.0,185780,138929215.0
TQBR,2018-02-28,751.0,183220,137007390.0
TQBR,2018-03-01,748.5,183590,137332730.0
TQBR,2018-03-02,748.0,181850,136070875.0
TQBR,2018-03-05,737.5,176290,131629995.0
TQBR,2018-03-06,737.5,186070,137804175.0
TQBR,2018-03-07,737.5,184040,135770025.0
TQBR,2018-03-09,736.5,34510,25433785.0
TQBR,2018-03-12,725.0,186730,137342960.0
TQBR,2018-03-13,751.5,186870,137001720.0
TQBR,2018-03-14,731.0,182920,135325330.0
TQBR,2018-03-15,739.0,184090,136109055.0
TQBR,2018-03-16,764.5,184100,135553735.0
TQBR,2018-03-19,735.0,43670,32193370.0
TQBR,2018-03-20,739.5,43480,32123030.0
TQBR,2018-03-21,765.0,46220,34073330.0
TQBR,2018-03-22,729.5,47400,34548175.0
TQBR,2018-03-23,730.5,45960,33569105.0
TQBR,2018-03-26,720.0,47190,34369370.0
TQBR,2018-03-27,720.5,43080,31134565.0
TQBR,2018-03-28,718.0,46340,33550525.0
TQBR,2018-03-29,724.0,46260,33476930.0
TQBR,2018-03-30,742.0,44830,32450535.0
TQBR,2018-04-02,712.5,44130,31489260.0
TQBR,2018-04-03,703.5,44440,31417900.0
TQBR,2018-04-04,686.0,45000,31355450.0
TQBR,2018-04-05,693.5,70990,48115130.0
TQBR,2018-04-06,710.0,43820,31294110.0
TQBR,2018-04-09,525.0,59050,40487705.0
TQBR,2018-04-10,573.0,60240,35727375.0
TQBR,2018-04-11,600.0,52500,31899220.0
TQBR,2018-04-12,639.5,52170,33165200.0
TQBR,2018-04-13,577.5,59490,36864990.0
TQBR,2018-04-16,562.0,55120,31270290.0
TQBR,2018-04-17,572.5,54390,30875310.0
TQBR,2018-04-18,566.0,57250,32775375.0
TQBR,2018-04-19,567.0,53550,30431690.0
TQBR,2018-04-20,572.5,53090,30194435.0
TQBR,2018-04-23,555.0,54840,30856700.0
TQBR,2018-04-24,562.0,55020,31071005.0
TQBR,2018-04-25,555.0,58510,32740975.0
TQBR,2018-04-26,590.0,56090,31507615.0
TQBR,2018-04-27,617.5,51490,31543360.0
TQBR,2018-04-28,642.0,33890,21831875.0
TQBR,2018-04-30,650.0,29780,19255230.0
TQBR,2018-05-02,700.0,26770,18336785.0
TQBR,2018-05-03,680.0,37380,25682490.0
TQBR,2018-05-04,689.0,33020,22405420.0
TQBR,2018-05-07,685.0,32300,22238380.0
TQBR,2018-05-08,704.0,33440,23194350.0
TQBR,2018-05-10,730.0,28040,20508720.0
TQBR,2018-05-11,735.0,164760,122032190.0
TQBR,2018-05-14,738.0,162290,120242270.0
TQBR,2018-05-15,743.0,182460,135491660.0
TQBR,2018-05-16,743.0,171040,126963840.0
TQBR,2018-05-17,743.0,173480,128916420.0
TQBR,2018-05-18,770.0,183110,136246530.0
