BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,148.92,175470,26063299.3
TQBR,2014-06-10,149.11,52330,7794554.1
TQBR,2014-06-11,152.5,174280,26262369.3
TQBR,2014-06-16,153.0,164510,25120034.5
TQBR,2014-06-17,155.5,142370,22076368.9
TQBR,2014-06-18,156.69,230500,35915963.6
TQBR,2014-06-19,153.5,356680,55215503.7
TQBR,2014-06-20,150.61,445940,67064422.4
TQBR,2014-06-23,151.59,159460,24002618.1
TQBR,2014-06-24,151.18,80690,12223363.5
TQBR,2014-06-25,149.23,98790,14885155.7
TQBR,2014-06-26,147.0,233450,34561090.5
TQBR,2014-06-27,147.75,92910,13736281.9
TQBR,2014-06-30,150.5,193680,28970417.9
TQBR,2014-07-01,149.85,128770,19335244.2
TQBR,2014-07-02,151.41,140100,21122428.8
TQBR,2014-07-03,148.69,182050,27411373.9
TQBR,2014-07-04,148.85,99410,14896252.3
TQBR,2014-07-07,151.6,63960,9624340.5
TQBR,2014-07-08,151.58,75290,11420294.8
TQBR,2014-07-09,147.79,116760,17332361.7
TQBR,2014-07-10,143.15,440120,64291700.2
TQBR,2014-07-11,144.5,65760,9445213.5
TQBR,2014-07-14,143.78,104130,14944450.4
TQBR,2014-07-15,142.75,83780,12006651.1
TQBR,2014-07-16,142.0,184980,26332867.7
TQBR,2014-07-17,139.73,78850,11068652.3
TQBR,2014-07-18,139.7,146590,20439287.1
TQBR,2014-07-21,138.21,227570,31819859.5
TQBR,2014-07-22,137.0,287340,39615603.8
TQBR,2014-07-23,136.46,112640,15462126.3
TQBR,2014-07-24,136.83,39390,5389017.1
TQBR,2014-07-25,135.0,155630,21132395.2
TQBR,2014-07-28,133.32,144970,19478048.3
TQBR,2014-07-29,132.74,160920,21299271.6
TQBR,2014-07-30,133.55,163450,21919192.9
TQBR,2014-07-31,133.09,129550,17329408.4
TQBR,2014-08-01,133.11,101710,13487299.7
TQBR,2014-08-04,132.54,120510,16006046.4
TQBR,2014-08-05,132.0,113560,14993894.0
TQBR,2014-08-06,129.23,299800,39039432.2
TQBR,2014-08-07,129.2,224290,28983367.1
TQBR,2014-08-08,129.99,143820,18769407.6
TQBR,2014-08-11,134.76,417830,55578708.5
TQBR,2014-08-12,138.22,658760,91139825.1
TQBR,2014-08-13,140.19,145770,20397997.4
TQBR,2014-08-14,140.28,195750,27404417.5
TQBR,2014-08-15,140.73,67410,9475792.0
TQBR,2014-08-18,140.61,87610,12329981.4
TQBR,2014-08-19,142.4,165620,23503382.2
TQBR,2014-08-20,146.94,230920,33496947.9
