BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-10-29,953.0,210997,201748750.0
TQBR,2020-10-30,955.0,54402,52488207.2
TQBR,2020-11-02,957.0,16599,15857360.4
TQBR,2020-11-03,952.6,8985,8569232.6
TQBR,2020-11-05,952.8,15505,14773301.6
TQBR,2020-11-06,952.0,9682,9228375.4
TQBR,2020-11-09,942.0,14891,14100818.0
TQBR,2020-11-10,950.0,12696,11997319.0
TQBR,2020-11-11,948.0,9998,9441366.0
TQBR,2020-11-12,947.0,3810,3596689.4
TQBR,2020-11-13,947.0,6267,5926348.4
TQBR,2020-11-16,948.4,12746,12077021.4
TQBR,2020-11-17,947.6,5005,4739125.0
TQBR,2020-11-18,947.0,10422,9839649.4
TQBR,2020-11-19,946.2,3687,3487561.0
TQBR,2020-11-20,943.2,3896,3680091.4
TQBR,2020-11-23,946.2,8916,8424947.0
TQBR,2020-11-24,947.8,5497,5182374.8
TQBR,2020-11-25,949.0,14179,13448767.4
TQBR,2020-11-26,945.0,6659,6289686.0
TQBR,2020-11-27,946.8,7648,7219531.0
TQBR,2020-11-30,944.0,2344,2211574.0
TQBR,2020-12-01,945.0,5640,5325458.4
TQBR,2020-12-02,946.0,7150,6746587.4
TQBR,2020-12-03,942.6,6730,6343554.6
TQBR,2020-12-04,943.8,6791,6401970.0
TQBR,2020-12-07,935.6,17152,16093114.2
TQBR,2020-12-08,935.0,5705,5329383.6
TQBR,2020-12-09,940.8,6474,6090387.2
TQBR,2020-12-10,939.0,7900,7424360.8
TQBR,2020-12-11,936.0,2306,2159689.6
TQBR,2020-12-14,952.2,22428,21225385.8
TQBR,2020-12-15,967.0,18436,17530557.2
TQBR,2020-12-16,959.8,18274,17573321.6
TQBR,2020-12-17,954.0,9040,8650160.4
TQBR,2020-12-18,955.0,11896,11238688.4
TQBR,2020-12-21,944.4,19114,18080729.4
TQBR,2020-12-22,950.2,8513,8054303.2
TQBR,2020-12-23,950.0,2543,2421499.2
TQBR,2020-12-24,950.2,2126,2019345.8
TQBR,2020-12-25,959.2,8025,7727366.4
TQBR,2020-12-28,951.0,3280,3125782.2
TQBR,2020-12-29,959.4,3557,3408303.6
TQBR,2020-12-30,958.0,4391,4188221.8
TQBR,2021-01-04,964.8,4049,3883986.4
TQBR,2021-01-05,965.0,5189,4992759.8
TQBR,2021-01-06,962.0,1380,1330089.0
TQBR,2021-01-08,958.0,4322,4146738.2
TQBR,2021-01-11,961.8,6620,6358425.6
TQBR,2021-01-12,956.8,3467,3315831.8
TQBR,2021-01-13,952.0,2556,2441658.0
TQBR,2021-01-14,951.0,1883,1796796.4
TQBR,2021-01-15,951.0,18292,17316325.6
TQBR,2021-01-18,950.6,3044,2895371.6
TQBR,2021-01-19,957.2,10653,10258140.8
TQBR,2021-01-20,960.0,10180,9791229.4
TQBR,2021-01-21,960.6,7198,6899647.4
TQBR,2021-01-22,951.0,8909,8472601.6
TQBR,2021-01-25,957.2,5360,5134203.0
TQBR,2021-01-26,956.0,2074,1982182.2
TQBR,2021-01-27,955.0,3296,3147995.8
TQBR,2021-01-28,960.0,47156,45140485.8
TQBR,2021-01-29,956.8,11075,10590110.4
TQBR,2021-02-01,958.0,5412,5201484.0
TQBR,2021-02-02,970.0,25109,24328114.6
TQBR,2021-02-03,972.0,8587,8328168.6
TQBR,2021-02-04,981.0,82061,80183440.4
TQBR,2021-02-05,1005.4,48357,48622450.6
TQBR,2021-02-08,1070.0,111415,120904859.4
TQBR,2021-02-09,1098.0,39343,42990444.6
TQBR,2021-02-10,1091.0,22306,24103206.4
TQBR,2021-02-11,1095.0,26476,28968067.2
TQBR,2021-02-12,1072.4,25090,27235024.4
TQBR,2021-02-15,1090.2,17388,18776270.4
TQBR,2021-02-16,1075.0,14091,15228753.0
TQBR,2021-02-17,1070.0,16863,18039036.0
TQBR,2021-02-18,1075.2,9976,10776188.8
TQBR,2021-02-19,1088.8,17245,18585875.2
TQBR,2021-02-20,1085.8,12416,13577433.8
TQBR,2021-02-22,1088.2,10689,11641128.8
TQBR,2021-02-24,1147.6,33507,37612601.4
TQBR,2021-02-25,1140.0,37065,42714555.2
TQBR,2021-02-26,1160.0,23670,27016951.8
TQBR,2021-03-01,1184.8,21540,25520404.8
TQBR,2021-03-02,1167.8,22442,26167466.0
TQBR,2021-03-03,1170.0,35675,42009877.2
TQBR,2021-03-04,1200.0,19339,22895293.2
TQBR,2021-03-05,1205.0,32586,39264019.8
TQBR,2021-03-09,1205.0,43114,51890471.2
TQBR,2021-03-10,1201.0,17106,20216062.8
TQBR,2021-03-11,1200.8,14247,16928877.0
TQBR,2021-03-12,1190.0,3997,4767970.8
TQBR,2021-03-15,1188.2,15509,18529574.8
TQBR,2021-03-16,1205.0,11577,13834704.4
TQBR,2021-03-17,1201.4,15473,18397001.4
TQBR,2021-03-18,1209.6,20445,24651483.4
TQBR,2021-03-19,1250.0,36088,43881482.2
TQBR,2021-03-22,1250.0,22190,27810123.0
TQBR,2021-03-23,1250.0,15727,19458691.4
TQBR,2021-03-24,1249.8,8057,10015811.0
TQBR,2021-03-25,1249.0,10769,13450897.8
TQBR,2021-03-26,1260.0,23474,29367255.2
TQBR,2021-03-29,1270.0,35788,45098034.2
TQBR,2021-03-30,1269.0,24184,30423975.2
TQBR,2021-03-31,1251.8,13112,16424270.2
TQBR,2021-04-01,1270.8,14389,18061960.8
TQBR,2021-04-02,1295.6,11686,15122884.8
TQBR,2021-04-05,1296.0,9573,12433010.4
TQBR,2021-04-06,1323.8,13821,18154957.4
TQBR,2021-04-07,1430.0,37866,52484034.6
TQBR,2021-04-08,1502.0,146238,218175463.6
TQBR,2021-04-09,1502.0,102716,153427050.0
TQBR,2021-04-12,1484.0,55920,83667000.0
TQBR,2021-04-13,1511.4,32165,47918849.6
TQBR,2021-04-14,1510.0,110430,168356832.2
TQBR,2021-04-15,1522.0,40792,61677973.6
TQBR,2021-04-16,1535.0,101729,154846154.0
TQBR,2021-04-19,1530.0,30327,46701389.8
TQBR,2021-04-20,1539.8,39594,61149038.8
TQBR,2021-04-21,1540.0,58873,90397036.2
TQBR,2021-04-22,1547.8,17292,26732594.2
TQBR,2021-04-23,1540.0,64513,98210139.8
TQBR,2021-04-26,1541.0,26697,40933076.8
TQBR,2021-04-27,1540.2,20659,31620235.8
TQBR,2021-04-28,1540.0,12655,19366020.2
TQBR,2021-04-29,1540.0,11959,18391458.4
TQBR,2021-04-30,1540.0,6333,9738134.8
TQBR,2021-05-04,1532.0,4371,6711961.4
