BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,26.942,14903900,404388751.9
TQBR,2014-06-10,27.394,15981600,432892121.7
TQBR,2014-06-11,27.559,22255600,611471117.2
TQBR,2014-06-16,27.351,68023500,1863936923.9
TQBR,2014-06-17,27.792,24434500,673663500.1
TQBR,2014-06-18,28.184,25750100,725413347.0
TQBR,2014-06-19,27.248,22542500,627093198.8
TQBR,2014-06-20,27.186,18556500,502127351.1
TQBR,2014-06-23,27.275,11518100,314470345.1
TQBR,2014-06-24,27.8,19342600,533608014.6
TQBR,2014-06-25,26.717,19274200,522458308.8
TQBR,2014-06-26,26.5,14867200,394742510.0
TQBR,2014-06-27,26.6,13404200,355958738.1
TQBR,2014-06-30,26.436,13080400,344230819.5
TQBR,2014-07-01,26.673,13177800,348714479.7
TQBR,2014-07-02,27.484,22251100,603588369.4
TQBR,2014-07-03,27.26,8955800,244978972.6
TQBR,2014-07-04,26.595,17264300,464207587.4
TQBR,2014-07-07,27.0,14342100,385041130.1
TQBR,2014-07-08,26.791,16403700,445009639.1
TQBR,2014-07-09,26.99,18315400,489932296.8
TQBR,2014-07-10,26.652,24425600,654544292.6
TQBR,2014-07-11,26.9,16061500,429825406.9
TQBR,2014-07-14,26.38,17191900,457189141.1
TQBR,2014-07-15,26.022,21366100,554258751.9
TQBR,2014-07-16,25.965,22742400,589999519.7
TQBR,2014-07-17,25.59,23377800,599035792.2
TQBR,2014-07-18,24.811,27543100,692068079.3
TQBR,2014-07-21,24.555,28105300,693046213.2
TQBR,2014-07-22,24.851,25969700,650259075.4
TQBR,2014-07-23,24.92,14905700,370720779.4
TQBR,2014-07-24,24.882,18261700,454457424.2
TQBR,2014-07-25,24.86,15945600,395339370.0
TQBR,2014-07-28,24.586,19337000,476733852.1
TQBR,2014-07-29,24.821,18467000,459198545.6
TQBR,2014-07-30,24.792,21345500,535511534.1
TQBR,2014-07-31,24.86,13323300,331813498.4
TQBR,2014-08-01,25.511,16795300,421672140.4
TQBR,2014-08-04,26.435,39351200,1016050599.9
TQBR,2014-08-05,25.365,23851900,610699152.9
TQBR,2014-08-06,25.108,30489400,771320726.7
TQBR,2014-08-07,25.072,26964400,679748238.3
TQBR,2014-08-08,25.269,15607600,395748847.6
TQBR,2014-08-11,25.47,13286700,339251801.6
TQBR,2014-08-12,25.355,10203000,259934303.1
TQBR,2014-08-13,25.874,24108900,620022642.2
TQBR,2014-08-14,26.25,24275800,635593975.6
TQBR,2014-08-15,26.116,16951300,443622151.4
TQBR,2014-08-18,26.038,11620200,302297832.3
TQBR,2014-08-19,26.59,16549700,435844445.7
TQBR,2014-08-20,26.859,14487500,387163533.4
TQBR,2014-08-21,27.15,18508500,501012290.9
TQBR,2014-08-22,26.583,17988000,481035330.3
TQBR,2014-08-25,26.65,6654000,177617290.8
TQBR,2014-08-26,26.5,10456900,278053411.2
TQBR,2014-08-27,26.64,14599900,388230664.2
TQBR,2014-08-28,26.2,34274200,894366995.5
TQBR,2014-08-29,25.525,17096400,444771477.0
TQBR,2014-09-01,25.601,23388700,606602215.4
TQBR,2014-09-02,25.995,9349500,240659227.5
TQBR,2014-09-03,26.323,26944500,712309215.2
TQBR,2014-09-04,26.775,14635400,390286779.5
TQBR,2014-09-05,26.766,15255800,408767728.2
TQBR,2014-09-08,26.526,14229700,379400459.3
TQBR,2014-09-09,26.811,9261000,247876050.5
TQBR,2014-09-10,27.06,14515000,391909522.8
TQBR,2014-09-11,26.94,16315500,443333502.3
TQBR,2014-09-12,26.95,25925500,704816101.4
TQBR,2014-09-15,27.044,42319200,1135236043.7
TQBR,2014-09-16,27.38,19848000,542182684.0
TQBR,2014-09-17,27.35,22652000,622199533.5
TQBR,2014-09-18,27.31,16445300,449917982.8
TQBR,2014-09-19,27.136,22430500,606255220.6
TQBR,2014-09-22,26.8,9666200,261503579.6
TQBR,2014-09-23,27.263,10306200,279340693.9
TQBR,2014-09-24,27.459,15353900,422018347.3
TQBR,2014-09-25,26.93,16243800,442969426.0
TQBR,2014-09-26,26.977,15686400,423037038.3
TQBR,2014-09-29,26.384,25215700,677352951.5
TQBR,2014-09-30,26.04,23537400,617442944.4
TQBR,2014-10-01,26.055,16149800,424054693.0
TQBR,2014-10-02,25.48,23458500,602299498.0
TQBR,2014-10-03,26.01,23774300,618631152.0
TQBR,2014-10-06,26.55,25917400,691600862.0
TQBR,2014-10-07,26.55,18981500,502103830.5
TQBR,2014-10-08,26.01,17198600,450990241.0
TQBR,2014-10-09,26.1,17855400,469299703.0
TQBR,2014-10-10,25.75,14717900,380365096.5
TQBR,2014-10-13,26.475,18862700,497314920.0
TQBR,2014-10-14,26.64,21239100,568914261.5
TQBR,2014-10-15,26.4,16743100,444822507.0
TQBR,2014-10-16,26.2,29744400,788498401.0
TQBR,2014-10-17,26.965,31323000,843646263.0
TQBR,2014-10-20,26.55,24199100,646701480.5
TQBR,2014-10-21,26.47,18182300,482424826.5
TQBR,2014-10-22,26.0,29625200,780282783.5
TQBR,2014-10-23,25.995,31076800,805837314.5
TQBR,2014-10-24,26.215,29837100,780714184.0
TQBR,2014-10-27,26.69,24927700,665240569.5
TQBR,2014-10-28,26.845,26280800,709837588.0
TQBR,2014-10-29,27.4,33177700,898448627.5
