BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,27.48,12674200,348435218.3
TQBR,2014-06-10,27.55,14035900,385641688.8
TQBR,2014-06-11,28.15,27208800,760214606.6
TQBR,2014-06-16,28.27,68059900,1913160272.0
TQBR,2014-06-17,28.2,22101600,629284373.3
TQBR,2014-06-18,29.1,37906800,1091428151.6
TQBR,2014-06-19,28.411,29664000,854800596.8
TQBR,2014-06-20,27.859,21161600,595141043.9
TQBR,2014-06-23,28.25,20111600,568601512.8
TQBR,2014-06-24,28.75,28189100,808779571.4
TQBR,2014-06-25,28.16,18307800,523318201.4
TQBR,2014-06-26,28.185,19616400,554222690.1
TQBR,2014-06-27,28.255,14263700,403099191.7
TQBR,2014-06-30,28.0,23086700,641438598.2
TQBR,2014-07-01,27.811,15362300,427140771.6
TQBR,2014-07-02,28.19,21503300,603425536.4
TQBR,2014-07-03,28.28,15931500,451561848.5
TQBR,2014-07-04,27.786,16341700,459197428.9
TQBR,2014-07-07,28.0,24238300,681185782.0
TQBR,2014-07-08,28.223,25781900,729250485.7
TQBR,2014-07-09,28.62,26436500,750676172.8
TQBR,2014-07-10,28.74,51506600,1476994616.5
TQBR,2014-07-11,28.706,45210400,1299952749.1
TQBR,2014-07-14,28.92,51528700,1487774690.7
TQBR,2014-07-15,26.85,55166400,1476280572.3
TQBR,2014-07-16,27.127,36150800,973450622.9
TQBR,2014-07-17,26.888,27099200,721685427.9
TQBR,2014-07-18,26.61,30469900,812454254.0
TQBR,2014-07-21,25.25,41965100,1079579126.4
TQBR,2014-07-22,26.289,28014900,730352784.9
TQBR,2014-07-23,26.5,20330500,534523344.7
TQBR,2014-07-24,26.5,18913700,500150117.7
TQBR,2014-07-25,26.26,9249700,242994976.7
TQBR,2014-07-28,25.4,17578400,450894102.3
TQBR,2014-07-29,25.5,18515400,471546142.4
TQBR,2014-07-30,26.0,28554700,745992335.2
TQBR,2014-07-31,26.33,35288700,931471525.5
TQBR,2014-08-01,26.25,25749100,670607822.8
TQBR,2014-08-04,26.302,21349600,562953210.9
TQBR,2014-08-05,26.25,17943900,471201396.6
TQBR,2014-08-06,26.16,29859000,785017525.7
TQBR,2014-08-07,25.38,37368700,955341853.8
TQBR,2014-08-08,25.82,20714700,533722421.4
TQBR,2014-08-11,26.3,13247100,347335128.3
TQBR,2014-08-12,26.62,16429800,434509063.5
TQBR,2014-08-13,27.99,46490000,1280403062.9
TQBR,2014-08-14,28.0,38167800,1069529136.4
TQBR,2014-08-15,27.903,17279600,479648814.1
TQBR,2014-08-18,27.489,14350100,396351553.9
TQBR,2014-08-19,26.955,32025800,873758450.5
TQBR,2014-08-20,27.274,22149400,599360233.9
TQBR,2014-08-21,27.699,22579600,623043676.4
TQBR,2014-08-22,27.6,21212900,580831638.3
TQBR,2014-08-25,27.644,4467300,123599082.3
TQBR,2014-08-26,27.63,15816700,437700073.2
TQBR,2014-08-27,27.72,8096900,224693584.1
TQBR,2014-08-28,27.69,33568700,920424603.2
TQBR,2014-08-29,27.198,31054900,848282264.8
TQBR,2014-09-01,26.651,32204500,870420631.9
TQBR,2014-09-02,26.505,17582500,465724030.7
TQBR,2014-09-03,27.22,31264400,845180035.9
TQBR,2014-09-04,27.55,15040300,412561861.0
TQBR,2014-09-05,27.6,26681400,733688283.5
TQBR,2014-09-08,27.481,14779200,406630423.8
TQBR,2014-09-09,27.85,15547400,430527497.5
TQBR,2014-09-10,28.219,25794000,722126821.8
TQBR,2014-09-11,28.048,28290900,798591067.1
TQBR,2014-09-12,28.3,30454400,862991501.4
TQBR,2014-09-15,28.45,30660000,868740956.5
TQBR,2014-09-16,29.056,40054300,1151579828.9
TQBR,2014-09-17,28.8,34397700,992548449.2
TQBR,2014-09-18,28.424,16572300,473954992.3
TQBR,2014-09-19,28.4,27629900,780323612.9
TQBR,2014-09-22,27.879,14509800,406835866.4
TQBR,2014-09-23,28.4,19033200,534293817.8
TQBR,2014-09-24,28.251,13716900,391701213.9
TQBR,2014-09-25,28.542,17604000,502485266.4
TQBR,2014-09-26,28.9,21263800,610003893.1
TQBR,2014-09-29,28.171,22558200,650210470.4
TQBR,2014-09-30,27.3,42023100,1164971993.8
TQBR,2014-10-01,26.6,29538700,805647723.0
TQBR,2014-10-02,26.4,30399000,808090426.5
TQBR,2014-10-03,26.75,32843500,880889604.5
TQBR,2014-10-06,27.275,37460200,1018957834.0
TQBR,2014-10-07,26.96,25317000,686808951.5
TQBR,2014-10-08,26.585,50272100,1348940901.5
TQBR,2014-10-09,26.915,23882800,642206267.5
TQBR,2014-10-10,26.65,26473300,708021513.0
TQBR,2014-10-13,27.05,21684800,586363468.5
TQBR,2014-10-14,27.125,34939000,950686302.5
TQBR,2014-10-15,26.87,39229300,1057378753.5
TQBR,2014-10-16,26.65,47931300,1288422041.0
TQBR,2014-10-17,26.9,37634400,1016777293.0
TQBR,2014-10-20,26.33,66431300,1771213516.5
TQBR,2014-10-21,26.73,57694500,1532962920.5
TQBR,2014-10-22,26.35,35686200,946822405.5
TQBR,2014-10-23,26.625,46469500,1221926815.5
TQBR,2014-10-24,26.81,29676400,794554245.0
TQBR,2014-10-27,27.785,51491200,1419008074.0
TQBR,2014-10-28,28.195,40587200,1138341933.5
TQBR,2014-10-29,28.85,40939700,1163733989.5
TQBR,2014-10-30,29.12,38600100,1117962450.5
TQBR,2014-10-31,29.495,40844100,1197713416.0
TQBR,2014-11-03,30.255,20242500,609497818.5
TQBR,2014-11-05,31.31,41195800,1261912612.5
TQBR,2014-11-06,31.405,48376800,1545824086.5
TQBR,2014-11-07,32.0,67967400,2160077552.5
TQBR,2014-11-10,32.805,60817300,1989960540.0
TQBR,2014-11-11,33.3,46704700,1548906883.5
TQBR,2014-11-12,32.55,57258800,1888713363.5
TQBR,2014-11-13,31.925,51280200,1648342734.5
TQBR,2014-11-14,32.57,50578300,1635512490.0
TQBR,2014-11-17,32.85,74428000,2464807641.5
TQBR,2014-11-18,33.75,56627200,1892521364.0
TQBR,2014-11-19,34.98,62641500,2160228104.5
TQBR,2014-11-20,35.345,101784800,3668763798.0
TQBR,2014-11-21,34.175,87759900,3006368267.5
TQBR,2014-11-24,33.02,73659800,2439910258.0
TQBR,2014-11-25,33.35,54885900,1826330267.0
TQBR,2014-11-26,33.495,37320400,1255052097.0
TQBR,2014-11-27,33.72,63381600,2141500067.5
TQBR,2014-11-28,34.37,59107500,2019783421.5
TQBR,2014-12-01,36.26,81533200,2921698722.5
