BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-09-25,160.0,297230,52540174.0
TQBR,2023-09-26,148.6,10667720,1552171114.6
TQBR,2023-09-27,150.04,2820490,421378923.4
TQBR,2023-09-28,200.5,26933090,5042425723.0
TQBR,2023-09-29,216.02,29343240,6953763831.2
TQBR,2023-10-02,207.92,7718710,1687837087.2
TQBR,2023-10-03,195.22,5912130,1170027386.0
TQBR,2023-10-04,195.0,2374920,456456386.8
TQBR,2023-10-05,198.62,8795760,1795024362.2
TQBR,2023-10-06,196.98,2744040,538320834.0
TQBR,2023-10-09,196.04,2870150,565182908.8
TQBR,2023-10-10,192.88,1796990,346474662.6
TQBR,2023-10-11,191.36,737940,141824803.6
TQBR,2023-10-12,184.4,2024440,378954844.6
TQBR,2023-10-13,187.02,2982860,554757382.2
TQBR,2023-10-16,180.04,3709180,676456640.8
TQBR,2023-10-17,171.0,3128070,542487304.2
TQBR,2023-10-18,167.9,1733200,290543078.8
TQBR,2023-10-19,173.7,4976620,870658451.2
TQBR,2023-10-20,170.5,2766980,480317340.4
TQBR,2023-10-23,176.6,6600150,1160620283.0
TQBR,2023-10-24,175.6,1785600,311402997.0
TQBR,2023-10-25,174.7,847430,148153200.0
TQBR,2023-10-26,168.78,1510910,258138811.4
TQBR,2023-10-27,164.14,1655300,275454619.4
TQBR,2023-10-30,160.76,2234980,361460769.0
TQBR,2023-10-31,162.42,3368080,526792330.6
TQBR,2023-11-01,157.6,2689270,422521370.8
TQBR,2023-11-02,155.88,1283630,201000433.6
TQBR,2023-11-03,154.0,1010910,156718453.0
TQBR,2023-11-06,160.6,3185760,508313928.6
TQBR,2023-11-07,158.48,2651330,421444728.0
TQBR,2023-11-08,156.3,822390,128754593.6
TQBR,2023-11-09,162.6,6093540,981145426.6
TQBR,2023-11-10,159.48,4372560,706664192.2
TQBR,2023-11-13,152.6,6077380,927331647.8
TQBR,2023-11-14,147.3,2615800,384589398.0
TQBR,2023-11-15,154.5,2631140,396852971.4
TQBR,2023-11-16,151.0,1226230,186558349.0
TQBR,2023-11-17,150.0,886230,132561975.0
TQBR,2023-11-20,160.98,3025210,470704453.0
TQBR,2023-11-21,160.48,2023320,321552193.4
TQBR,2023-11-22,159.7,862340,136825309.2
TQBR,2023-11-23,152.84,1403600,219015661.2
TQBR,2023-11-24,151.66,836300,127207128.4
TQBR,2023-11-27,149.24,885370,132937242.8
TQBR,2023-11-28,152.88,970660,146518290.8
TQBR,2023-11-29,144.66,2156940,315846772.4
TQBR,2023-11-30,143.76,1118510,160724952.4
TQBR,2023-12-01,141.3,548510,78214099.6
TQBR,2023-12-04,141.66,812510,115448852.8
TQBR,2023-12-05,141.32,703530,99059375.4
TQBR,2023-12-06,140.06,1329030,186525103.0
TQBR,2023-12-07,139.5,4390030,607954796.8
TQBR,2023-12-08,139.18,877420,121949862.0
TQBR,2023-12-11,137.0,782700,106955790.8
TQBR,2023-12-12,135.82,816480,110946850.8
TQBR,2023-12-13,135.3,581080,78607503.8
TQBR,2023-12-14,135.92,902170,120844821.0
TQBR,2023-12-15,135.5,777190,104671247.0
TQBR,2023-12-18,144.84,2391550,338994665.4
TQBR,2023-12-19,143.82,1938470,279410896.4
TQBR,2023-12-20,147.16,3402430,500920752.4
TQBR,2023-12-21,147.34,2317140,338036185.2
