BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-11-19,936.4,1061849,967252229.6
TQBR,2021-11-22,969.4,412446,388017911.7
TQBR,2021-11-23,958.0,98786,94303048.8
TQBR,2021-11-24,1007.8,224679,218669536.3
TQBR,2021-11-25,1040.5,107351,108132161.5
TQBR,2021-11-26,1036.0,435589,446919815.5
TQBR,2021-11-29,1026.7,301776,304846168.8
TQBR,2021-11-30,997.0,186565,187513125.0
TQBR,2021-12-01,1008.3,129165,129834192.7
TQBR,2021-12-02,983.5,167633,166130959.6
TQBR,2021-12-03,975.0,172654,167969768.2
TQBR,2021-12-06,973.1,70557,67301262.5
TQBR,2021-12-07,1000.0,96032,94415038.3
TQBR,2021-12-08,1024.8,178986,180207216.9
TQBR,2021-12-09,1011.9,109782,111560802.5
TQBR,2021-12-10,1021.9,158219,160094868.9
TQBR,2021-12-13,1032.0,84640,86784720.1
TQBR,2021-12-14,1025.0,112349,115740362.0
TQBR,2021-12-15,1026.1,71504,73384868.7
TQBR,2021-12-16,1018.9,122412,124175351.7
TQBR,2021-12-17,1018.3,115507,117623037.0
TQBR,2021-12-20,998.1,73028,73576971.9
TQBR,2021-12-21,995.8,68220,67702789.5
TQBR,2021-12-22,987.3,43251,42732792.8
TQBR,2021-12-23,982.9,271379,260767792.0
TQBR,2021-12-24,964.0,165072,157934704.8
TQBR,2021-12-27,967.0,56743,54677361.0
TQBR,2021-12-28,973.0,84678,81664800.1
TQBR,2021-12-29,977.0,47418,45922018.8
TQBR,2021-12-30,984.0,9302,9144022.1
TQBR,2022-01-03,993.8,14504,14364879.5
TQBR,2022-01-04,1001.0,13727,13713395.6
TQBR,2022-01-05,1005.2,8532,8558549.9
TQBR,2022-01-06,994.3,49709,49513974.7
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,974.9,21132,20614474.9
TQBR,2022-01-11,963.0,60036,57682552.2
TQBR,2022-01-12,945.4,59286,56258754.6
TQBR,2022-01-13,935.2,52420,49251185.5
TQBR,2022-01-14,909.4,74860,68019277.9
TQBR,2022-01-17,886.0,110976,98857850.7
TQBR,2022-01-18,859.7,297598,255290722.4
TQBR,2022-01-19,829.7,131998,110391460.8
TQBR,2022-01-20,814.4,161983,131256276.9
TQBR,2022-01-21,811.4,26503,21496488.4
TQBR,2022-01-24,745.1,101598,77897301.4
TQBR,2022-01-25,746.0,44588,33249535.1
TQBR,2022-01-26,753.5,22741,17052391.0
TQBR,2022-01-27,746.9,77440,57738094.9
TQBR,2022-01-28,739.8,45138,33455517.6
TQBR,2022-01-31,791.0,304291,233423921.2
TQBR,2022-02-01,778.0,162116,125640512.4
TQBR,2022-02-02,771.0,26438,20406045.1
TQBR,2022-02-03,755.0,20113,15241201.6
TQBR,2022-02-04,737.3,155360,115158495.4
TQBR,2022-02-07,733.2,21762,15951584.2
TQBR,2022-02-08,705.8,188369,132901735.3
TQBR,2022-02-09,705.0,335898,235281291.3
TQBR,2022-02-10,697.5,35562,24758414.4
TQBR,2022-02-11,692.0,67474,46757588.1
TQBR,2022-02-14,680.9,26544,18200127.2
TQBR,2022-02-15,680.0,106548,72341040.5
TQBR,2022-02-16,688.2,170149,116785952.7
TQBR,2022-02-17,680.0,31203,21088611.0
TQBR,2022-02-18,679.0,199133,132140031.8
TQBR,2022-02-21,604.0,88986,55379964.0
TQBR,2022-02-22,643.5,185278,114291921.6
TQBR,2022-02-23,,0,0.0
TQBR,2022-02-24,470.0,44191,20367007.6
TQBR,2022-02-25,453.0,82039,38593633.2
TQBR,2022-02-28,,0,0.0
TQBR,2022-03-01,,0,0.0
TQBR,2022-03-02,,0,0.0
TQBR,2022-03-03,,0,0.0
TQBR,2022-03-04,,0,0.0
TQBR,2022-03-09,,0,0.0
TQBR,2022-03-10,,0,0.0
TQBR,2022-03-11,,0,0.0
TQBR,2022-03-14,,0,0.0
TQBR,2022-03-15,,0,0.0
TQBR,2022-03-16,,0,0.0
TQBR,2022-03-17,,0,0.0
TQBR,2022-03-18,,0,0.0
TQBR,2022-03-21,,0,0.0
TQBR,2022-03-22,,0,0.0
TQBR,2022-03-23,,0,0.0
TQBR,2022-03-24,,0,0.0
TQBR,2022-03-25,,0,0.0
TQBR,2022-03-28,309.0,135430,43199266.4
TQBR,2022-03-29,301.2,82351,25527140.7
TQBR,2022-03-30,353.0,122481,41365367.4
TQBR,2022-03-31,418.9,123215,50157206.2
TQBR,2022-04-01,410.0,84731,36008873.8
TQBR,2022-04-04,395.0,71918,28747075.8
TQBR,2022-04-05,383.9,71509,28519176.5
TQBR,2022-04-06,359.7,73272,26577480.0
TQBR,2022-04-07,338.0,66491,23087880.6
TQBR,2022-04-08,322.0,112155,36531977.6
TQBR,2022-04-11,316.9,30724,10015116.4
TQBR,2022-04-12,310.9,25803,8022143.6
TQBR,2022-04-13,305.5,59134,18052661.9
TQBR,2022-04-14,373.7,639205,229867494.1
TQBR,2022-04-15,357.1,358959,134423008.0
TQBR,2022-04-18,324.9,113871,38358454.4
TQBR,2022-04-19,311.0,126089,38993143.3
TQBR,2022-04-20,305.0,129079,39052141.7
TQBR,2022-04-21,297.0,61257,18343240.9
TQBR,2022-04-22,287.6,71009,20452528.5
TQBR,2022-04-25,275.0,61446,16860242.6
TQBR,2022-04-26,275.0,84412,23276442.0
TQBR,2022-04-27,284.4,109608,30715876.0
TQBR,2022-04-28,285.0,338891,102826255.8
TQBR,2022-04-29,283.6,113218,32008288.6
TQBR,2022-05-04,271.6,81880,22609529.7
TQBR,2022-05-05,264.7,99132,26488899.0
TQBR,2022-05-06,254.9,141765,36154787.3
TQBR,2022-05-11,252.0,79122,19924294.7
TQBR,2022-05-12,242.0,71598,17351538.3
TQBR,2022-05-13,238.5,43573,10329896.4
TQBR,2022-05-16,239.1,41515,9883097.0
TQBR,2022-05-17,241.0,99841,24255101.0
TQBR,2022-05-18,254.6,195349,49179585.2
TQBR,2022-05-19,245.9,107170,26083069.4
TQBR,2022-05-20,234.9,104995,24832611.8
TQBR,2022-05-23,219.5,105540,23613039.9
TQBR,2022-05-24,215.1,69412,14757567.9
TQBR,2022-05-25,210.1,147580,30369073.0
TQBR,2022-05-26,233.5,96170,21207631.5
TQBR,2022-05-27,237.8,82214,19320924.5
TQBR,2022-05-30,219.0,90078,20222222.7
TQBR,2022-05-31,215.1,84602,18004663.3
TQBR,2022-06-01,224.0,51077,11473027.9
TQBR,2022-06-02,217.2,83745,18806074.3
TQBR,2022-06-03,207.0,116146,24065108.7
TQBR,2022-06-06,204.0,92988,18913268.0
TQBR,2022-06-07,203.0,46717,9443205.5
TQBR,2022-06-08,201.2,40539,8235905.8
TQBR,2022-06-09,200.5,33558,6680291.9
TQBR,2022-06-10,194.0,55204,10810074.4
TQBR,2022-06-14,190.8,62908,11930527.5
TQBR,2022-06-15,190.7,239960,46345575.9
TQBR,2022-06-16,207.6,794845,171612198.8
TQBR,2022-06-17,207.0,305898,62127799.2
TQBR,2022-06-20,200.8,240976,48377572.0
TQBR,2022-06-21,190.0,386356,74708952.3
TQBR,2022-06-22,178.0,551507,100948847.1
TQBR,2022-06-23,171.1,495332,85236165.2
TQBR,2022-06-24,172.3,404433,70037400.3
TQBR,2022-06-27,172.0,219761,37545123.4
TQBR,2022-06-28,172.6,196399,34106003.3
TQBR,2022-06-29,175.0,197009,34556395.7
TQBR,2022-06-30,167.0,310182,52602889.5
TQBR,2022-07-01,166.3,112459,18908420.7
TQBR,2022-07-04,160.8,175285,28501654.9
TQBR,2022-07-05,158.5,174729,27492985.6
TQBR,2022-07-06,156.2,202249,32344741.2
TQBR,2022-07-07,140.9,754322,109865620.0
TQBR,2022-07-08,141.5,428145,60751943.9
TQBR,2022-07-11,146.6,885628,131294835.1
TQBR,2022-07-12,137.1,552372,76433267.6
TQBR,2022-07-13,123.5,501354,63345961.7
TQBR,2022-07-14,120.4,306419,37273224.0
TQBR,2022-07-15,116.2,301248,35266238.7
TQBR,2022-07-18,118.5,758456,93132931.8
TQBR,2022-07-19,116.7,339523,39395060.3
TQBR,2022-07-20,100.0,1847752,189763344.0
TQBR,2022-07-21,99.5,486464,47952053.3
TQBR,2022-07-22,98.5,333560,32765735.2
TQBR,2022-07-25,102.0,438295,44605750.0
TQBR,2022-07-26,104.0,455225,47831434.1
TQBR,2022-07-27,100.0,479437,48916488.3
TQBR,2022-07-28,98.5,427116,42499292.3
TQBR,2022-07-29,97.0,385737,37735540.2
TQBR,2022-08-01,92.0,996433,92830026.2
TQBR,2022-08-02,88.0,1197855,105372803.5
TQBR,2022-08-03,87.8,304030,26512219.9
TQBR,2022-08-04,89.0,245462,21750065.8
TQBR,2022-08-05,88.2,259313,22808827.9
TQBR,2022-08-08,103.3,1104309,107801450.5
TQBR,2022-08-09,135.5,7864270,992459045.1
TQBR,2022-08-10,190.0,16084955,2667741247.2
TQBR,2022-08-11,176.8,32474216,6761333180.3
TQBR,2022-08-12,172.0,7555987,1313229860.5
TQBR,2022-08-15,211.5,13304081,2591417294.0
TQBR,2022-08-16,219.6,20955031,4630237140.0
TQBR,2022-08-17,214.6,7867679,1675002172.3
TQBR,2022-08-18,202.4,2955526,608723692.5
TQBR,2022-08-19,189.1,3280397,623985112.3
TQBR,2022-08-22,220.8,7702462,1622985340.9
TQBR,2022-08-23,208.4,5006721,1089713064.8
TQBR,2022-08-24,202.0,3481789,713077331.3
TQBR,2022-08-25,205.0,2582255,527482697.0
TQBR,2022-08-26,200.0,1644407,329276057.3
TQBR,2022-08-29,191.9,1999594,387271275.0
TQBR,2022-08-30,169.2,3579541,640323918.2
TQBR,2022-08-31,182.5,4700407,832690606.0
TQBR,2022-09-01,177.4,2022517,357223860.0
TQBR,2022-09-02,178.2,977233,173679521.8
TQBR,2022-09-05,178.8,1413897,255303686.0
