BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,0.0949,783000,72898.0
TQBR,2014-06-16,0.0913,582000,53327.9
TQBR,2014-06-17,0.095,5000,475.0
TQBR,2014-06-18,0.092,1347000,123924.0
TQBR,2014-06-19,0.092,2000,184.1
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,0.0933,338000,30488.2
TQBR,2014-06-24,0.0929,192000,17606.1
TQBR,2014-06-25,0.0931,15000,1377.2
TQBR,2014-06-26,0.0949,1508000,142774.7
TQBR,2014-06-27,0.0943,2001000,186097.8
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,0.0929,3000,279.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,0.0949,21000,1992.7
TQBR,2014-07-04,0.0934,190000,17833.6
TQBR,2014-07-07,0.0939,6000,569.5
TQBR,2014-07-08,0.0949,10000,946.0
TQBR,2014-07-09,0.0949,37000,3511.3
TQBR,2014-07-10,0.0913,1537000,140202.9
TQBR,2014-07-11,0.0931,671000,62341.2
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,0.0929,3000,278.7
TQBR,2014-07-17,0.0916,67000,6044.5
TQBR,2014-07-18,0.0957,108000,10370.2
TQBR,2014-07-21,0.0942,208000,19341.6
TQBR,2014-07-22,0.095,1148000,108801.1
TQBR,2014-07-23,0.0945,64000,6048.1
TQBR,2014-07-24,0.0936,101000,9488.6
TQBR,2014-07-25,0.0946,302000,28217.5
TQBR,2014-07-28,0.0935,75000,6899.9
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,0.093,1057000,98804.8
TQBR,2014-07-31,0.0932,2000,187.5
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,0.0931,3000,280.9
TQBR,2014-08-06,0.095,252000,23927.3
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,0.0906,1000,90.6
TQBR,2014-08-11,0.0936,34000,3183.5
TQBR,2014-08-12,0.0927,4000,371.4
TQBR,2014-08-13,0.0933,4000,372.4
TQBR,2014-08-14,0.0945,323000,30346.5
TQBR,2014-08-15,0.0977,2753000,266256.2
TQBR,2014-08-18,0.0958,168000,16749.5
