BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,98.95,10,989.5
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,,0,0.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,104.24,259010,27179512.1
TQBR,2013-09-03,105.3,327960,34437498.7
TQBR,2013-09-04,105.51,62670,6565504.5
TQBR,2013-09-05,107.99,364890,38641853.2
TQBR,2013-09-06,107.8,162810,17615259.6
TQBR,2013-09-09,109.5,104040,11326350.1
TQBR,2013-09-10,109.0,297680,32389432.2
TQBR,2013-09-11,108.89,139240,15153416.7
TQBR,2013-09-12,109.14,335020,36502453.7
TQBR,2013-09-13,109.0,278970,30420410.0
TQBR,2013-09-16,109.09,745250,81320643.3
TQBR,2013-09-17,109.0,1203930,131201122.1
TQBR,2013-09-18,108.51,587200,64046152.7
TQBR,2013-09-19,111.01,786340,86695172.7
TQBR,2013-09-20,111.4,119840,13348062.4
TQBR,2013-09-23,110.4,262580,29112745.0
TQBR,2013-09-24,110.1,123850,13621945.0
TQBR,2013-09-25,110.5,347390,38372085.5
TQBR,2013-09-26,111.47,153070,17006582.8
TQBR,2013-09-27,111.25,36250,4025310.6
TQBR,2013-09-30,110.64,200690,22386505.8
TQBR,2013-10-01,110.79,63830,7086122.1
TQBR,2013-10-02,110.27,271260,29976342.1
TQBR,2013-10-03,112.51,657190,72990916.4
TQBR,2013-10-04,113.0,152080,17167235.1
TQBR,2013-10-07,113.26,145440,16519605.0
TQBR,2013-10-08,114.0,178240,19881332.8
TQBR,2013-10-09,114.3,71760,8139616.3
TQBR,2013-10-10,114.5,91610,10445145.9
TQBR,2013-10-11,114.55,104640,11980632.9
TQBR,2013-10-14,114.51,161710,18446317.4
TQBR,2013-10-15,119.25,147710,17240337.6
TQBR,2013-10-16,116.6,67330,7914260.5
TQBR,2013-10-17,115.51,39520,4591127.9
TQBR,2013-10-18,117.2,82850,9586712.9
TQBR,2013-10-21,116.46,32690,3819458.1
TQBR,2013-10-22,117.21,130150,15267529.2
TQBR,2013-10-23,115.3,91980,10666218.4
TQBR,2013-10-24,115.4,39370,4542118.6
TQBR,2013-10-25,115.41,90450,10458107.3
TQBR,2013-10-28,116.51,347450,40313896.8
TQBR,2013-10-29,116.5,150090,17453159.8
TQBR,2013-10-30,117.5,145710,17076860.2
TQBR,2013-10-31,118.0,110660,13046253.5
TQBR,2013-11-01,118.87,164500,19500624.2
TQBR,2013-11-05,118.57,52130,6161780.2
TQBR,2013-11-06,118.31,279200,33038573.4
TQBR,2013-11-07,118.8,85700,10177191.3
TQBR,2013-11-08,117.8,237600,28049362.9
TQBR,2013-11-11,117.12,101100,11874085.4
TQBR,2013-11-12,118.17,49600,5828553.0
TQBR,2013-11-13,114.8,180940,21082882.4
TQBR,2013-11-14,115.65,295060,34167354.2
TQBR,2013-11-15,115.94,31720,3676392.2
TQBR,2013-11-18,117.31,429460,50380785.8
TQBR,2013-11-19,119.38,90050,10638124.4
