BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.001108,41000000,44736
TQBR,2014-06-10,0.001095,228000000,266673
TQBR,2014-06-11,0.001093,75000000,82794
TQBR,2014-06-16,0.001093,6000000,6454
TQBR,2014-06-17,0.00104,186000000,191018
TQBR,2014-06-18,0.001043,258000000,261024
TQBR,2014-06-19,0.001038,39000000,41189
TQBR,2014-06-20,0.001044,30000000,32099
TQBR,2014-06-23,0.001012,2000000,2055
TQBR,2014-06-24,0.001021,51000000,50826
TQBR,2014-06-25,0.000987,142000000,139928
TQBR,2014-06-26,0.000989,200000000,196001
TQBR,2014-06-27,0.000989,62000000,60936
TQBR,2014-06-30,0.000979,187000000,182884
TQBR,2014-07-01,0.000976,60000000,58433
TQBR,2014-07-02,0.000978,59000000,57556
TQBR,2014-07-03,0.000998,54000000,53577
TQBR,2014-07-04,0.001019,112000000,111943
TQBR,2014-07-07,0.001085,342000000,359934
TQBR,2014-07-08,0.00109,163000000,176086
TQBR,2014-07-09,0.001066,9000000,9594
TQBR,2014-07-10,0.001015,48000000,49436
TQBR,2014-07-11,0.001,433000000,431248
TQBR,2014-07-14,0.001009,260000000,252240
TQBR,2014-07-15,0.001009,20000000,20177
TQBR,2014-07-16,0.000977,8000000,7996
TQBR,2014-07-17,0.000995,27000000,26453
TQBR,2014-07-18,0.00097,28000000,26905
TQBR,2014-07-21,0.000941,286000000,261787
TQBR,2014-07-22,0.000946,1219000000,1120221
TQBR,2014-07-23,0.000943,10000000,9432
TQBR,2014-07-24,0.000945,5000000,4714
TQBR,2014-07-25,0.000937,6000000,5558
TQBR,2014-07-28,0.000937,2000000,1870
TQBR,2014-07-29,0.0009,49000000,44502
TQBR,2014-07-30,0.000917,30000000,27200
TQBR,2014-07-31,0.00092,13000000,12065
TQBR,2014-08-01,0.00092,39000000,35841
TQBR,2014-08-04,0.000908,30000000,27360
TQBR,2014-08-05,0.000913,82000000,76359
TQBR,2014-08-06,0.00088,92000000,81763
TQBR,2014-08-07,0.000884,102000000,90387
TQBR,2014-08-08,0.000913,190000000,171149
TQBR,2014-08-11,0.000902,77000000,69482
TQBR,2014-08-12,0.000905,8000000,7239
TQBR,2014-08-13,0.000901,445000000,383224
TQBR,2014-08-14,0.0009,71000000,63393
TQBR,2014-08-15,0.000903,21000000,19088
TQBR,2014-08-18,0.000889,73000000,64373
TQBR,2014-08-19,0.000888,35000000,31122
TQBR,2014-08-20,0.000876,7000000,6151
TQBR,2014-08-21,0.000887,37000000,32579
TQBR,2014-08-22,0.000895,108000000,96858
TQBR,2014-08-25,0.000885,89000000,78521
TQBR,2014-08-26,0.00087,121000000,105762
TQBR,2014-08-27,0.000886,14000000,12483
TQBR,2014-08-28,0.00089,121000000,107244
TQBR,2014-08-29,0.000869,70000000,60721
TQBR,2014-09-01,0.000875,18000000,15570
TQBR,2014-09-02,0.000875,11000000,9441
TQBR,2014-09-03,0.000871,156000000,135182
TQBR,2014-09-04,0.000897,125000000,110866
TQBR,2014-09-05,0.000878,33000000,29008
TQBR,2014-09-08,0.000873,5000000,4365
TQBR,2014-09-09,0.0009,63000000,56509
TQBR,2014-09-10,0.000904,18000000,16258
TQBR,2014-09-11,0.000879,88000000,78716
TQBR,2014-09-12,0.000895,181000000,157279
TQBR,2014-09-15,0.000873,23000000,20212
TQBR,2014-09-16,0.00087,220000000,182195
TQBR,2014-09-17,0.000849,174000000,147570
TQBR,2014-09-18,0.00085,115000000,99819
TQBR,2014-09-19,0.000876,69000000,59639
TQBR,2014-09-22,0.000869,3000000,2573
TQBR,2014-09-23,0.000824,452000000,374365
TQBR,2014-09-24,0.00085,192000000,162488
TQBR,2014-09-25,0.00085,151000000,129056
TQBR,2014-09-26,0.00083,519000000,430273
TQBR,2014-09-29,0.00081,182000000,146571
TQBR,2014-09-30,0.00082,239000000,194927
TQBR,2014-10-01,0.00078,795000000,618119
TQBR,2014-10-02,0.000787,290000000,228460
TQBR,2014-10-03,0.0008,6000000,4734
TQBR,2014-10-06,0.0008,59000000,47884
TQBR,2014-10-07,0.000805,5000000,4026
TQBR,2014-10-08,0.000805,68000000,55427
TQBR,2014-10-09,0.000762,396000000,306027
TQBR,2014-10-10,0.00078,87000000,66282
TQBR,2014-10-13,0.000809,489000000,382377
TQBR,2014-10-14,0.00079,164000000,131399
TQBR,2014-10-15,0.0008,32000000,25304
TQBR,2014-10-16,0.000786,50000000,39531
TQBR,2014-10-17,0.000805,91000000,72663
TQBR,2014-10-20,0.000815,69000000,56234
TQBR,2014-10-21,0.000811,10000000,8118
TQBR,2014-10-22,0.000829,19000000,15664
TQBR,2014-10-23,0.000831,54000000,44142
TQBR,2014-10-24,0.000821,351000000,281510
TQBR,2014-10-27,0.000828,120000000,99345
TQBR,2014-10-28,0.000821,24000000,19687
TQBR,2014-10-29,0.000805,1265000000,947790
TQBR,2014-10-30,0.000813,32000000,25764
TQBR,2014-10-31,0.00081,27000000,21751
TQBR,2014-11-03,0.000792,14000000,11151
TQBR,2014-11-05,0.000807,7000000,5590
TQBR,2014-11-06,0.000805,3000000,2444
TQBR,2014-11-07,0.000796,85000000,66308
TQBR,2014-11-10,0.000846,350000000,289637
TQBR,2014-11-11,0.00087,311000000,275010
TQBR,2014-11-12,0.00084,61000000,51343
TQBR,2014-11-13,0.000815,75000000,61441
TQBR,2014-11-14,0.000805,54000000,43488
TQBR,2014-11-17,0.00084,133000000,109913
TQBR,2014-11-18,0.000823,78000000,63484
TQBR,2014-11-19,0.000806,63000000,50572
TQBR,2014-11-20,0.00081,7000000,5689
TQBR,2014-11-21,0.000811,244000000,195450
TQBR,2014-11-24,0.00081,202000000,168282
TQBR,2014-11-25,0.000824,18000000,14828
TQBR,2014-11-26,0.00083,13000000,10785
TQBR,2014-11-27,0.000842,57000000,48114
TQBR,2014-11-28,0.000828,98000000,81455
TQBR,2014-12-01,0.000809,184000000,148197
TQBR,2014-12-02,0.000788,379000000,297585
TQBR,2014-12-03,0.000835,522000000,433518
TQBR,2014-12-04,0.001167,7043000000,7171826
TQBR,2014-12-05,0.00138,10091000000,15010583
TQBR,2014-12-08,0.001007,4089000000,4895099
TQBR,2014-12-09,0.001,1028000000,1024914
TQBR,2014-12-10,0.000987,8112000000,8950187
TQBR,2014-12-11,0.001009,1107000000,1130858
TQBR,2014-12-12,0.000998,1033000000,1004849
TQBR,2014-12-15,0.000942,1498000000,1367441
TQBR,2014-12-16,0.000819,2158000000,1728211
TQBR,2014-12-17,0.00083,1951000000,1621992
TQBR,2014-12-18,0.000899,1738000000,1550639
TQBR,2014-12-19,0.000896,2186000000,1849952
TQBR,2014-12-22,0.00092,700000000,637760
TQBR,2014-12-23,0.000899,263000000,234477
TQBR,2014-12-24,0.000876,161000000,139930
TQBR,2014-12-25,0.000895,486000000,428520
TQBR,2014-12-26,0.0009,326000000,288821
TQBR,2014-12-29,0.000904,216000000,196292
TQBR,2014-12-30,0.00091,64000000,57186
TQBR,2015-01-05,0.000904,108000000,97123
TQBR,2015-01-06,0.000914,475000000,428922
TQBR,2015-01-08,0.000932,433000000,407539
TQBR,2015-01-09,0.000954,155000000,149786
TQBR,2015-01-12,0.000977,186000000,180592
TQBR,2015-01-13,0.000916,502000000,458858
TQBR,2015-01-14,0.000936,382000000,345171
TQBR,2015-01-15,0.000932,141000000,129801
TQBR,2015-01-16,0.00095,130000000,122881
TQBR,2015-01-19,0.000949,288000000,270919
TQBR,2015-01-20,0.000969,226000000,218304
TQBR,2015-01-21,0.00096,214000000,200330
TQBR,2015-01-22,0.000958,312000000,295060
TQBR,2015-01-23,0.000957,815000000,780310
TQBR,2015-01-26,0.00092,337000000,308761
TQBR,2015-01-27,0.000916,500000000,452231
TQBR,2015-01-28,0.00091,265000000,238799
TQBR,2015-01-29,0.00095,2059000000,1956265
TQBR,2015-01-30,0.001015,3363000000,3463653
TQBR,2015-02-02,0.001,897000000,906994
TQBR,2015-02-03,0.000999,614000000,614339
TQBR,2015-02-04,0.001004,571000000,576041
TQBR,2015-02-05,0.001024,518000000,511309
TQBR,2015-02-06,0.001004,517000000,518538
TQBR,2015-02-09,0.001153,1871000000,2093180
TQBR,2015-02-10,0.001124,487000000,569408
TQBR,2015-02-11,0.001187,555000000,649224
TQBR,2015-02-12,0.00117,1117000000,1276016
TQBR,2015-02-13,0.001229,1163000000,1387022
TQBR,2015-02-16,0.001215,591000000,712912
TQBR,2015-02-17,0.001216,309000000,371787
TQBR,2015-02-18,0.001191,297000000,354611
TQBR,2015-02-19,0.00117,171000000,198198
TQBR,2015-02-20,0.001192,276000000,330862
TQBR,2015-02-24,0.001164,40000000,46644
TQBR,2015-02-25,0.001181,357000000,411422
TQBR,2015-02-26,0.001628,5350000000,7916299
TQBR,2015-02-27,0.001642,5052000000,8072993
TQBR,2015-03-02,0.001599,339000000,549633
TQBR,2015-03-03,0.001589,323000000,506072
TQBR,2015-03-04,0.001535,596000000,908965
TQBR,2015-03-05,0.001609,509000000,814172
TQBR,2015-03-06,0.001571,807000000,1274054
TQBR,2015-03-10,0.001504,177000000,266371
TQBR,2015-03-11,0.001518,358000000,535815
TQBR,2015-03-12,0.001488,42000000,62088
TQBR,2015-03-13,0.001469,39000000,57064
TQBR,2015-03-16,0.001412,117000000,165327
TQBR,2015-03-17,0.001388,292000000,398961
TQBR,2015-03-18,0.001452,364000000,515078
TQBR,2015-03-19,0.0014,507000000,708009
TQBR,2015-03-20,0.001379,119000000,163157
TQBR,2015-03-23,0.001358,115000000,156784
TQBR,2015-03-24,0.001373,12000000,16336
TQBR,2015-03-25,0.001362,61000000,80212
TQBR,2015-03-26,0.001361,77000000,101631
TQBR,2015-03-27,0.001323,191000000,240672
TQBR,2015-03-30,0.001328,10000000,12797
TQBR,2015-03-31,0.001324,91000000,116283
TQBR,2015-04-01,0.00125,820000000,1022829
TQBR,2015-04-02,0.001279,340000000,431930
TQBR,2015-04-03,0.001289,330000000,425139
TQBR,2015-04-06,0.001432,643000000,911067
TQBR,2015-04-07,0.00139,229000000,312921
TQBR,2015-04-08,0.001365,210000000,280812
TQBR,2015-04-09,0.00139,1685000000,2355774
TQBR,2015-04-10,0.001414,157000000,224683
TQBR,2015-04-13,0.001617,3795000000,5474860
TQBR,2015-04-14,0.001545,614000000,965240
TQBR,2015-04-15,0.00157,1015000000,1554479
TQBR,2015-04-16,0.001522,202000000,313038
TQBR,2015-04-17,0.001499,80000000,120533
TQBR,2015-04-20,0.0015,178000000,274037
TQBR,2015-04-21,0.0015,256000000,375878
TQBR,2015-04-22,0.001436,259000000,377041
TQBR,2015-04-23,0.001444,40000000,56218
TQBR,2015-04-24,0.001451,123000000,171902
TQBR,2015-04-27,0.001497,2716000000,3783379
TQBR,2015-04-28,0.0015,1323000000,1988177
TQBR,2015-04-29,0.001483,128000000,185589
TQBR,2015-04-30,0.00141,159000000,224873
TQBR,2015-05-05,0.001455,546000000,770555
TQBR,2015-05-06,0.0015,573000000,846420
TQBR,2015-05-07,0.001515,35000000,51250
TQBR,2015-05-08,0.001475,153000000,222575
TQBR,2015-05-12,0.00139,462000000,647960
TQBR,2015-05-13,0.0014,58000000,82480
TQBR,2015-05-14,0.001415,71000000,99125
TQBR,2015-05-15,0.0014,187000000,256190
TQBR,2015-05-18,0.001405,6000000,8455
TQBR,2015-05-19,0.001355,441000000,596965
TQBR,2015-05-20,0.00135,466000000,611250
TQBR,2015-05-21,0.00132,252000000,326255
TQBR,2015-05-22,0.001345,159000000,209170
TQBR,2015-05-25,0.0013,317000000,411090
TQBR,2015-05-26,0.001285,256000000,326120
TQBR,2015-05-27,0.001335,394000000,509600
TQBR,2015-05-28,0.00137,414000000,565705
TQBR,2015-05-29,0.00138,270000000,368610
TQBR,2015-06-01,0.001365,258000000,341175
TQBR,2015-06-02,0.00133,95000000,125965
TQBR,2015-06-03,0.0014,341000000,480865
TQBR,2015-06-04,0.00138,48000000,63895
TQBR,2015-06-05,0.001365,43000000,56715
TQBR,2015-06-08,0.00133,116000000,152265
TQBR,2015-06-09,0.0013,121000000,157615
TQBR,2015-06-10,0.0013,38000000,49395
TQBR,2015-06-11,0.001295,150000000,194260
TQBR,2015-06-15,0.00131,312000000,402480
TQBR,2015-06-16,0.0013,15000000,19670
TQBR,2015-06-17,0.00133,88000000,116450
TQBR,2015-06-18,0.001345,101000000,135345
TQBR,2015-06-19,0.00134,32000000,43115
TQBR,2015-06-22,0.00134,105000000,138790
TQBR,2015-06-23,0.00133,26000000,34405
TQBR,2015-06-24,0.00132,659000000,847415
TQBR,2015-06-25,0.001325,60000000,78705
TQBR,2015-06-26,0.00133,36000000,47180
TQBR,2015-06-29,0.00129,232000000,296560
TQBR,2015-06-30,0.00128,3655000000,4677980
TQBR,2015-07-01,0.001255,4683000000,5934555
TQBR,2015-07-02,0.001255,194000000,244425
TQBR,2015-07-03,0.001265,1060000000,1335600
TQBR,2015-07-06,0.00126,56000000,69595
TQBR,2015-07-07,0.00125,127000000,157080
TQBR,2015-07-08,0.001235,60000000,73945
TQBR,2015-07-09,0.001265,90000000,114760
TQBR,2015-07-10,0.00125,170000000,213655
TQBR,2015-07-13,0.00128,445000000,564495
TQBR,2015-07-14,0.001275,247000000,313970
TQBR,2015-07-15,0.00127,211000000,267530
TQBR,2015-07-16,0.00133,618000000,780225
TQBR,2015-07-17,0.00134,46000000,60760
TQBR,2015-07-20,0.00132,21000000,27550
TQBR,2015-07-21,0.00128,260000000,334350
TQBR,2015-07-22,0.00131,644000000,826325
TQBR,2015-07-23,0.0013,132000000,170465
TQBR,2015-07-24,0.0013,21000000,27050
TQBR,2015-07-27,0.00127,34000000,42595
TQBR,2015-07-28,0.00125,179000000,226465
TQBR,2015-07-29,0.00121,1655000000,2017735
TQBR,2015-07-30,0.0012,920000000,1094700
TQBR,2015-07-31,0.0012,27000000,32410
TQBR,2015-08-03,0.00116,702000000,816295
TQBR,2015-08-04,0.00118,95000000,111260
TQBR,2015-08-05,0.00118,425000000,494915
TQBR,2015-08-06,0.00115,298000000,341730
TQBR,2015-08-07,0.00115,1040000000,1195235
TQBR,2015-08-10,0.00117,1076000000,1222190
TQBR,2015-08-11,0.001145,103000000,118075
TQBR,2015-08-12,0.00112,1238000000,1366995
TQBR,2015-08-13,0.001115,730000000,797490
TQBR,2015-08-14,0.001105,1254000000,1382505
TQBR,2015-08-17,0.0011,798000000,879055
TQBR,2015-08-18,0.001445,4617000000,6024700
TQBR,2015-08-19,0.00124,3509000000,4736210
TQBR,2015-08-20,0.001215,2649000000,3128920
TQBR,2015-08-21,0.0012,1081000000,1279680
TQBR,2015-08-24,0.00115,1154000000,1290655
TQBR,2015-08-25,0.00115,762000000,865620
TQBR,2015-08-26,0.00115,427000000,484190
TQBR,2015-08-27,0.00119,1107000000,1324940
TQBR,2015-08-28,0.001215,4382000000,5355520
TQBR,2015-08-31,0.00118,1647000000,1920670
TQBR,2015-09-01,0.001155,911000000,1066475
TQBR,2015-09-02,0.00112,1902000000,2148130
TQBR,2015-09-03,0.00111,6349000000,6929105
TQBR,2015-09-04,0.001115,389000000,427290
TQBR,2015-09-07,0.00111,635000000,708520
TQBR,2015-09-08,0.00111,701000000,762405
TQBR,2015-09-09,0.00112,515000000,567615
TQBR,2015-09-10,0.0011,185000000,203230
TQBR,2015-09-11,0.001105,293000000,320725
TQBR,2015-09-14,0.00112,285000000,313815
TQBR,2015-09-15,0.00112,191000000,214460
TQBR,2015-09-16,0.001135,426000000,481040
TQBR,2015-09-17,0.001125,307000000,345220
TQBR,2015-09-18,0.001125,480000000,536105
TQBR,2015-09-21,0.00112,470000000,520785
