BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.001648,13000000,21424
TQBR,2014-06-10,0.001648,11000000,17815
TQBR,2014-06-11,0.00168,58000000,97039
TQBR,2014-06-16,0.00159,125000000,199385
TQBR,2014-06-17,0.001536,1000000,1536
TQBR,2014-06-18,0.001541,4000000,6340
TQBR,2014-06-19,0.0015,82000000,123753
TQBR,2014-06-20,0.0016,7000000,11114
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,0.001521,41000000,62392
TQBR,2014-06-25,0.001546,1000000,1546
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,0.00162,45000000,71498
TQBR,2014-06-30,0.001737,763000000,1330006
TQBR,2014-07-01,0.001589,115000000,179225
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,0.001615,10000000,16109
TQBR,2014-07-07,0.0015,46000000,68080
TQBR,2014-07-08,0.001529,83000000,123263
TQBR,2014-07-09,0.001499,17000000,25500
TQBR,2014-07-10,0.001487,4000000,5887
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,0.001489,13000000,18984
TQBR,2014-07-15,0.0015,295000000,442207
TQBR,2014-07-16,0.00155,93000000,142131
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,0.001467,14000000,20550
TQBR,2014-07-21,0.001495,75000000,111154
TQBR,2014-07-22,0.001539,10000000,15340
TQBR,2014-07-23,0.001546,22000000,33549
TQBR,2014-07-24,0.001539,67000000,101907
TQBR,2014-07-25,0.001502,28000000,42893
TQBR,2014-07-28,0.001484,1000000,1484
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,0.0015,57000000,85500
TQBR,2014-07-31,0.0015,25000000,37812
TQBR,2014-08-01,0.001506,8000000,12012
TQBR,2014-08-04,0.00148,2000000,2960
TQBR,2014-08-05,0.001472,4000000,5912
TQBR,2014-08-06,0.001432,16000000,23759
TQBR,2014-08-07,0.00137,146000000,203295
TQBR,2014-08-08,0.00133,27000000,36449
TQBR,2014-08-11,0.001413,19000000,26341
TQBR,2014-08-12,0.001413,10000000,14130
TQBR,2014-08-13,0.00142,19000000,26782
TQBR,2014-08-14,0.001413,46000000,63955
TQBR,2014-08-15,0.001448,11000000,15778
TQBR,2014-08-18,0.001363,3000000,4131
TQBR,2014-08-19,0.001413,18000000,25831
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,0.001456,1000000,1456
TQBR,2014-08-22,0.001413,33000000,46630
TQBR,2014-08-25,0.001414,1000000,1414
TQBR,2014-08-26,0.001454,1000000,1454
TQBR,2014-08-27,0.00141,1000000,1410
TQBR,2014-08-28,0.001407,27000000,37815
TQBR,2014-08-29,0.001379,15000000,20690
TQBR,2014-09-01,0.001418,17000000,24098
TQBR,2014-09-02,0.001445,40000000,58218
TQBR,2014-09-03,0.001499,31000000,44947
TQBR,2014-09-04,0.001429,43000000,62864
TQBR,2014-09-05,0.001429,44000000,64447
TQBR,2014-09-08,0.001499,92000000,135456
TQBR,2014-09-09,0.00155,52000000,79933
TQBR,2014-09-10,,0,0
TQBR,2014-09-11,0.0015,23000000,33861
TQBR,2014-09-12,0.001531,570000000,916104
TQBR,2014-09-15,0.00159,3000000,4692
TQBR,2014-09-16,0.001502,261000000,410960
TQBR,2014-09-17,0.001499,2000000,2998
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,0.001497,302000000,481886
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,0.001583,176000000,260638
TQBR,2014-09-24,0.001537,112000000,172075
TQBR,2014-09-25,0.00154,4000000,6160
TQBR,2014-09-26,0.001482,1000000,1482
TQBR,2014-09-29,0.0016,220000000,348623
TQBR,2014-09-30,0.0017,145000000,242241
TQBR,2014-10-01,0.001565,64000000,102830
TQBR,2014-10-02,0.001555,8000000,12440
TQBR,2014-10-03,0.00155,4000000,6200
TQBR,2014-10-06,0.001525,23000000,35285
TQBR,2014-10-07,0.001505,33000000,49780
TQBR,2014-10-08,0.00149,10000000,14955
TQBR,2014-10-09,0.00152,30000000,44760
TQBR,2014-10-10,0.001545,56000000,86135
TQBR,2014-10-13,,0,0
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,0.00151,71000000,107205
TQBR,2014-10-16,0.0016,135000000,211470
TQBR,2014-10-17,0.0016,225000000,362150
TQBR,2014-10-20,0.00163,52000000,84105
TQBR,2014-10-21,0.001635,167000000,275170
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,0.001675,8000000,13310
TQBR,2014-10-24,0.00153,189000000,287540
TQBR,2014-10-27,0.0015,2000000,3005
TQBR,2014-10-28,0.001505,9000000,13605
TQBR,2014-10-29,0.00154,11000000,16945
TQBR,2014-10-30,0.001585,12000000,18250
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,0.00152,1000000,1520
TQBR,2014-11-05,0.001515,7000000,10605
TQBR,2014-11-06,0.001505,14000000,21200
TQBR,2014-11-07,0.00153,18000000,27520
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,0.001505,1000000,1505
TQBR,2014-11-12,0.00156,9000000,14200
TQBR,2014-11-13,0.00156,6000000,9525
TQBR,2014-11-14,0.001585,1000000,1585
TQBR,2014-11-17,0.00159,57000000,90525
TQBR,2014-11-18,0.00165,248000000,398535
TQBR,2014-11-19,0.00165,159000000,255495
TQBR,2014-11-20,0.0016,138000000,220970
TQBR,2014-11-21,0.001625,22000000,34170
TQBR,2014-11-24,,0,0
TQBR,2014-11-25,0.001565,1000000,1565
TQBR,2014-11-26,0.00155,304000000,465430
TQBR,2014-11-27,0.00156,1000000,1560
TQBR,2014-11-28,0.001515,61000000,92560
TQBR,2014-12-01,0.00155,167000000,267820
TQBR,2014-12-02,0.00151,34000000,52525
TQBR,2014-12-03,0.00152,4000000,6080
TQBR,2014-12-04,0.001505,266000000,402465
TQBR,2014-12-05,0.001505,262000000,394310
TQBR,2014-12-08,0.00151,346000000,522460
TQBR,2014-12-09,0.001505,38000000,56390
TQBR,2014-12-10,0.0015,378000000,559850
TQBR,2014-12-11,0.001465,296000000,426110
TQBR,2014-12-12,0.001495,9000000,13365
TQBR,2014-12-15,0.001465,67000000,98520
TQBR,2014-12-16,0.001435,315000000,445180
TQBR,2014-12-17,0.00156,140000000,214840
TQBR,2014-12-18,0.001605,146000000,233340
TQBR,2014-12-19,0.00157,87000000,140830
TQBR,2014-12-22,0.00166,468000000,801775
TQBR,2014-12-23,0.001615,2000000,3235
TQBR,2014-12-24,0.00168,123000000,213530
TQBR,2014-12-25,0.00167,3000000,5035
TQBR,2014-12-26,0.00166,2000000,3320
TQBR,2014-12-29,0.0017,179000000,319730
TQBR,2014-12-30,0.001755,122000000,220515
TQBR,2015-01-05,0.00174,1000000,1740
TQBR,2015-01-06,0.00174,1000000,1740
TQBR,2015-01-08,,0,0
TQBR,2015-01-09,,0,0
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,0.0016,23000000,37370
TQBR,2015-01-14,0.001705,32000000,51780
TQBR,2015-01-15,0.0017,740000000,1257955
TQBR,2015-01-16,0.0017,4000000,6800
TQBR,2015-01-19,0.0017,38000000,64600
TQBR,2015-01-20,0.0017,14000000,23815
TQBR,2015-01-21,0.0017,37000000,62265
TQBR,2015-01-22,0.0017,3000000,5120
TQBR,2015-01-23,0.0017,122000000,207415
TQBR,2015-01-26,0.0017,10000000,17000
TQBR,2015-01-27,0.0018,450000000,811210
TQBR,2015-01-28,0.0018,120000000,216000
TQBR,2015-01-29,0.00188,175000000,321850
TQBR,2015-01-30,0.001885,117000000,220405
TQBR,2015-02-02,0.00185,7000000,13185
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,0.00195,356000000,685585
TQBR,2015-02-05,0.002,32000000,63815
TQBR,2015-02-06,0.001955,4000000,7860
TQBR,2015-02-09,0.002,110000000,214600
TQBR,2015-02-10,0.001955,11000000,21460
TQBR,2015-02-11,,0,0
TQBR,2015-02-12,0.00196,35000000,68700
TQBR,2015-02-13,0.00195,22000000,42900
TQBR,2015-02-16,0.00186,78000000,152215
TQBR,2015-02-17,0.00199,30000000,57220
TQBR,2015-02-18,0.0019,224000000,425630
TQBR,2015-02-19,0.001915,18000000,33700
TQBR,2015-02-20,0.001905,1000000,1905
TQBR,2015-02-24,0.001885,335000000,624510
TQBR,2015-02-25,0.00189,40000000,75600
TQBR,2015-02-26,,0,0
TQBR,2015-02-27,0.00199,204000000,405870
TQBR,2015-03-02,0.00194,50000000,99790
TQBR,2015-03-03,0.001905,31000000,59140
TQBR,2015-03-04,0.00191,15000000,28915
TQBR,2015-03-05,0.001915,189000000,360645
TQBR,2015-03-06,0.001805,2220000000,3824910
TQBR,2015-03-10,0.00182,9000000,16315
TQBR,2015-03-11,0.001845,7000000,13110
TQBR,2015-03-12,0.0018,398000000,739395
TQBR,2015-03-13,0.001765,50000000,89895
TQBR,2015-03-16,0.00174,2000000,3495
TQBR,2015-03-17,0.00177,19000000,32765
TQBR,2015-03-18,0.001705,14000000,23900
TQBR,2015-03-19,0.00172,83000000,143005
TQBR,2015-03-20,0.001725,7000000,12155
TQBR,2015-03-23,0.001745,13000000,22690
TQBR,2015-03-24,,0,0
TQBR,2015-03-25,,0,0
TQBR,2015-03-26,0.00163,108000000,175455
TQBR,2015-03-27,0.00163,1000000,1630
TQBR,2015-03-30,0.001615,7000000,11080
TQBR,2015-03-31,0.00161,13000000,21825
TQBR,2015-04-01,0.001675,72000000,120845
TQBR,2015-04-02,0.001685,8000000,13480
TQBR,2015-04-03,,0,0
TQBR,2015-04-06,0.00167,31000000,49805
TQBR,2015-04-07,0.001695,10000000,16920
TQBR,2015-04-08,0.001635,18000000,29340
TQBR,2015-04-09,0.001625,5000000,7985
TQBR,2015-04-10,0.001635,1000000,1635
TQBR,2015-04-13,,0,0
TQBR,2015-04-14,0.0016,9000000,14720
TQBR,2015-04-15,0.001505,238000000,363895
TQBR,2015-04-16,0.001525,18000000,27815
TQBR,2015-04-17,0.001555,116000000,179035
TQBR,2015-04-20,0.00152,25000000,38420
TQBR,2015-04-21,0.001515,7000000,10640
TQBR,2015-04-22,0.00152,2000000,3055
TQBR,2015-04-23,0.00157,1000000,1570
TQBR,2015-04-24,0.00154,9000000,13735
