BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,0.255,2420000,624571
TQBR,2014-06-11,0.257,3840000,986945
TQBR,2014-06-16,0.26,600000,155281
TQBR,2014-06-17,0.26,120000,31248
TQBR,2014-06-18,0.2598,20000,5196
TQBR,2014-06-19,0.2599,20000,5122
TQBR,2014-06-20,0.26,3540000,913696
TQBR,2014-06-23,0.26,1150000,299008
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,0.275,400000,108978
TQBR,2014-06-26,0.26,1600000,416004
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,0.2563,80000,20775
TQBR,2014-07-01,0.2596,290000,74357
TQBR,2014-07-02,0.25,3080000,770682
TQBR,2014-07-03,0.244,780000,191502
TQBR,2014-07-04,0.2321,7250000,1696288
TQBR,2014-07-07,0.2397,10000,2397
TQBR,2014-07-08,0.2397,20000,4794
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,0.2388,160000,37506
TQBR,2014-07-14,0.2345,100000,23450
TQBR,2014-07-15,0.235,210000,49355
TQBR,2014-07-16,0.2638,40000,10548
TQBR,2014-07-17,0.25,4130000,1032596
TQBR,2014-07-18,0.242,420000,101820
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,0.248,80000,19880
TQBR,2014-07-23,0.2488,20000,4976
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,0.25,90000,22500
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,0.2501,160000,40109
TQBR,2014-07-31,0.25,440000,110050
TQBR,2014-08-01,0.2552,160000,40724
TQBR,2014-08-04,0.2649,8720000,2209931
TQBR,2014-08-05,0.2599,20000,5197
TQBR,2014-08-06,0.2698,10000,2698
TQBR,2014-08-07,0.26,90000,23727
TQBR,2014-08-08,0.261,5450000,1383118
TQBR,2014-08-11,0.2687,60000,15274
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,0.2729,70000,18989
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,0.265,920000,245195
TQBR,2014-08-18,0.265,30000,8050
TQBR,2014-08-19,0.27,20000,5400
TQBR,2014-08-20,0.261,570000,151047
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,0.26,270000,70233
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,0.2628,270000,70168
TQBR,2014-08-27,0.263,10000,2630
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,0.2524,810000,203537
TQBR,2014-09-02,0.2477,620000,153574
TQBR,2014-09-03,0.25,290000,72670
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,0.265,100000,26495
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,,0,0
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,0.2639,10000,2639
TQBR,2014-09-15,0.26,510000,133999
TQBR,2014-09-16,0.2555,490000,127030
TQBR,2014-09-17,0.2591,540000,138580
TQBR,2014-09-18,0.2595,110000,28223
TQBR,2014-09-19,0.2627,90000,22815
TQBR,2014-09-22,0.255,520000,132421
TQBR,2014-09-23,0.26,440000,114122
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,0.26,1610000,414235
TQBR,2014-09-29,0.2599,600000,152342
TQBR,2014-09-30,0.25,1810000,452186
TQBR,2014-10-01,0.251,950000,237220
TQBR,2014-10-02,0.2485,440000,110985
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,0.248,30000,7440
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,0.254,1070000,256805
TQBR,2014-10-09,0.2535,10000,2535
TQBR,2014-10-10,0.2495,900000,217030
TQBR,2014-10-13,0.245,40000,9800
TQBR,2014-10-14,0.24,1290000,310130
TQBR,2014-10-15,0.2445,230000,55640
TQBR,2014-10-16,0.2455,30000,7355
TQBR,2014-10-17,0.239,280000,67295
TQBR,2014-10-20,0.2455,390000,94495
TQBR,2014-10-21,0.25,490000,119725
TQBR,2014-10-22,0.245,370000,91275
TQBR,2014-10-23,0.245,730000,175700
TQBR,2014-10-24,0.24,860000,203365
TQBR,2014-10-27,0.249,1140000,270800
TQBR,2014-10-28,0.249,940000,230195
TQBR,2014-10-29,0.25,1290000,313885
TQBR,2014-10-30,0.255,200000,50645
TQBR,2014-10-31,0.2585,70000,18100
TQBR,2014-11-03,0.248,1310000,336385
TQBR,2014-11-05,0.2535,1860000,478765
TQBR,2014-11-06,0.25,90000,22500
TQBR,2014-11-07,0.2505,40000,10175
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,0.259,30000,7770
TQBR,2014-11-12,0.2635,450000,118155
TQBR,2014-11-13,0.2635,960000,246370
TQBR,2014-11-14,0.27,210000,55685
TQBR,2014-11-17,0.2695,430000,112635
TQBR,2014-11-18,0.2605,370000,97600
TQBR,2014-11-19,0.2685,40000,10740
TQBR,2014-11-20,0.2795,810000,224030
TQBR,2014-11-21,0.2795,510000,138190
TQBR,2014-11-24,,0,0
TQBR,2014-11-25,0.289,10000,2890
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,,0,0
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,0.295,110000,31675
TQBR,2014-12-02,0.2895,110000,29950
TQBR,2014-12-03,,0,0
TQBR,2014-12-04,0.295,30000,8820
TQBR,2014-12-05,,0,0
TQBR,2014-12-08,0.2875,120000,34055
TQBR,2014-12-09,,0,0
TQBR,2014-12-10,0.285,80000,22250
TQBR,2014-12-11,,0,0
TQBR,2014-12-12,,0,0
TQBR,2014-12-15,0.2695,1160000,312240
TQBR,2014-12-16,0.235,2440000,576920
TQBR,2014-12-17,0.2495,1170000,282465
TQBR,2014-12-18,0.2695,50000,12925
TQBR,2014-12-19,0.245,570000,139360
TQBR,2014-12-22,0.248,50000,12810
TQBR,2014-12-23,0.2595,230000,57570
TQBR,2014-12-24,0.2495,1010000,239060
TQBR,2014-12-25,0.248,1200000,287570
TQBR,2014-12-26,0.248,740000,181105
TQBR,2014-12-29,0.2495,20000,4850
TQBR,2014-12-30,0.24,440000,102720
TQBR,2015-01-05,0.239,70000,16205
TQBR,2015-01-06,0.239,30000,7170
TQBR,2015-01-08,0.239,370000,88195
TQBR,2015-01-09,0.24,990000,237185
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,0.259,60000,15380
TQBR,2015-01-14,0.25,40000,10280
TQBR,2015-01-15,0.257,20000,5140
TQBR,2015-01-16,0.255,450000,114565
TQBR,2015-01-19,,0,0
TQBR,2015-01-20,0.2545,320000,78515
TQBR,2015-01-21,0.27,570000,148945
TQBR,2015-01-22,0.27,1530000,432260
TQBR,2015-01-23,0.2765,1280000,333525
TQBR,2015-01-26,0.258,1220000,315025
TQBR,2015-01-27,0.258,270000,69680
TQBR,2015-01-28,0.256,1220000,312080
TQBR,2015-01-29,,0,0
TQBR,2015-01-30,0.258,1440000,371100
TQBR,2015-02-02,0.258,3440000,885180
TQBR,2015-02-03,0.265,450000,116020
TQBR,2015-02-04,0.255,120000,30620
TQBR,2015-02-05,0.25,750000,189540
TQBR,2015-02-06,0.265,1000000,264445
TQBR,2015-02-09,0.265,40000,10630
