BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,84.0,20,1680.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,109.99,10,1099.9
TQBR,2013-09-02,84.0,201080,16739757.2
TQBR,2013-09-03,81.6,128230,10464428.3
TQBR,2013-09-04,82.52,41840,3454453.3
TQBR,2013-09-05,84.5,80180,6702473.0
TQBR,2013-09-06,84.55,103470,8828468.3
TQBR,2013-09-09,84.03,145350,12343353.4
TQBR,2013-09-10,85.0,215280,18328363.1
TQBR,2013-09-11,85.0,51820,4396636.2
TQBR,2013-09-12,84.76,47460,4024755.9
TQBR,2013-09-13,83.0,30200,2525529.0
TQBR,2013-09-16,87.99,335230,29196752.8
TQBR,2013-09-17,87.33,107580,9261000.3
TQBR,2013-09-18,85.98,75080,6507723.2
TQBR,2013-09-19,86.0,95230,8267638.0
TQBR,2013-09-20,85.84,51570,4464716.0
TQBR,2013-09-23,84.26,31770,2703474.1
TQBR,2013-09-24,85.03,30600,2596949.4
TQBR,2013-09-25,84.4,91760,7700565.5
TQBR,2013-09-26,85.0,33790,2870487.4
TQBR,2013-09-27,83.0,501660,42069198.4
TQBR,2013-09-30,83.66,74420,6182372.4
TQBR,2013-10-01,83.2,78930,6619822.2
TQBR,2013-10-02,83.56,32880,2763645.3
TQBR,2013-10-03,84.7,261200,21980698.6
TQBR,2013-10-04,84.89,82170,6974974.5
TQBR,2013-10-07,85.48,132430,11293979.6
TQBR,2013-10-08,86.0,40760,3488607.4
TQBR,2013-10-09,85.4,53740,4590918.6
TQBR,2013-10-10,85.44,158450,13609394.0
TQBR,2013-10-11,84.35,177290,15112175.9
TQBR,2013-10-14,84.1,414690,34932238.7
TQBR,2013-10-15,85.0,557440,47689557.9
TQBR,2013-10-16,86.69,559660,48133546.9
TQBR,2013-10-17,87.49,76010,6582158.2
TQBR,2013-10-18,87.6,298020,26026970.7
TQBR,2013-10-21,88.1,24410,2162127.1
TQBR,2013-10-22,89.25,85080,7583990.9
TQBR,2013-10-23,88.55,429990,38639701.8
TQBR,2013-10-24,90.83,99610,8958397.8
TQBR,2013-10-25,88.8,4920,437550.6
TQBR,2013-10-28,89.0,20390,1805106.9
TQBR,2013-10-29,89.02,40920,3651376.2
TQBR,2013-10-30,90.87,472660,43206983.6
TQBR,2013-10-31,91.5,612030,55564656.3
TQBR,2013-11-01,92.58,404560,37604224.2
TQBR,2013-11-05,89.01,88160,7895990.4
TQBR,2013-11-06,87.36,148610,13109421.4
TQBR,2013-11-07,88.32,82490,7170702.5
TQBR,2013-11-08,87.21,150560,13128678.5
TQBR,2013-11-11,86.71,49220,4280713.8
TQBR,2013-11-12,88.37,148200,13140293.6
TQBR,2013-11-13,90.15,390470,35105118.0
TQBR,2013-11-14,90.0,212830,19187941.7
TQBR,2013-11-15,89.99,318710,28525786.0
TQBR,2013-11-18,92.71,118320,10909030.5
TQBR,2013-11-19,91.59,261080,24327244.3
TQBR,2013-11-20,92.25,637460,58977981.4
TQBR,2013-11-21,92.27,76380,7032466.3
TQBR,2013-11-22,94.29,117670,11055881.7
TQBR,2013-11-25,95.51,487450,46454677.8
TQBR,2013-11-26,93.27,217370,20602332.8
TQBR,2013-11-27,95.48,281130,26642487.6
TQBR,2013-11-28,94.24,142170,13514302.1
TQBR,2013-11-29,93.83,61550,5755013.9
TQBR,2013-12-02,92.0,21250,1979183.4
TQBR,2013-12-03,90.4,49300,4493132.5
TQBR,2013-12-04,89.4,18270,1647083.6
TQBR,2013-12-05,90.74,14540,1318826.2
TQBR,2013-12-06,89.67,68560,6188123.5
TQBR,2013-12-09,90.2,20690,1855053.6
TQBR,2013-12-10,90.1,12920,1152564.5
TQBR,2013-12-11,90.25,9260,834831.3
TQBR,2013-12-12,90.47,18260,1633228.1
TQBR,2013-12-13,89.11,14540,1306600.7
TQBR,2013-12-16,93.8,77770,7126839.4
TQBR,2013-12-17,94.05,167580,15719799.1
TQBR,2013-12-18,95.0,139640,13239650.4
TQBR,2013-12-19,95.12,256640,24387244.4
TQBR,2013-12-20,94.81,44470,4133835.1
TQBR,2013-12-23,92.78,551930,51739800.8
TQBR,2013-12-24,93.43,47930,4430444.9
TQBR,2013-12-25,93.49,28700,2671960.7
TQBR,2013-12-26,93.15,6780,632219.0
TQBR,2013-12-27,92.75,91880,8520025.1
TQBR,2013-12-30,93.83,42690,3993001.3
TQBR,2014-01-06,91.04,36350,3360808.1
TQBR,2014-01-08,91.98,16720,1530533.3
TQBR,2014-01-09,91.8,157530,14474767.8
TQBR,2014-01-10,93.0,52690,4890852.5
TQBR,2014-01-13,94.45,28370,2662913.6
TQBR,2014-01-14,94.9,53170,4991787.6
TQBR,2014-01-15,95.16,611220,58963163.5
TQBR,2014-01-16,96.73,112980,11002247.3
TQBR,2014-01-17,99.32,73310,7221329.4
TQBR,2014-01-20,100.9,190170,19146320.4
TQBR,2014-01-21,102.0,169530,17289050.2
TQBR,2014-01-22,104.3,461700,47637144.0
TQBR,2014-01-23,107.16,329320,34877411.7
TQBR,2014-01-24,103.81,55260,5801451.2
TQBR,2014-01-27,102.56,61110,6368766.6
TQBR,2014-01-28,100.7,120880,12404664.5
TQBR,2014-01-29,97.0,342820,34447671.0
TQBR,2014-01-30,96.15,117440,11311011.0
TQBR,2014-01-31,94.76,129590,12378891.0
TQBR,2014-02-03,93.7,60430,5737282.6
TQBR,2014-02-04,93.72,31310,2893348.2
TQBR,2014-02-05,95.76,43310,4096772.2
TQBR,2014-02-06,95.52,48170,4591492.8
TQBR,2014-02-07,95.73,40130,3838264.7
TQBR,2014-02-10,95.1,14080,1346288.8
TQBR,2014-02-11,95.02,51970,4988986.6
TQBR,2014-02-12,99.2,87550,8542832.1
TQBR,2014-02-13,100.75,94690,9447181.7
TQBR,2014-02-14,99.92,91440,9235071.2
TQBR,2014-02-17,102.82,19590,2004695.8
TQBR,2014-02-18,101.48,20010,2048452.7
TQBR,2014-02-19,90.54,401590,37510170.3
TQBR,2014-02-20,92.31,191470,17564648.4
TQBR,2014-02-21,91.64,37420,3455364.7
TQBR,2014-02-24,90.22,63840,5778876.8
TQBR,2014-02-25,89.0,73350,6566663.8
TQBR,2014-02-26,90.48,16510,1479279.4
TQBR,2014-02-27,89.47,59350,5274938.1
