BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-11-22,0.571,4825767000,2837360788.2
TQBR,2023-11-23,0.5795,1416906000,809852310.5
TQBR,2023-11-24,0.5739,590949000,338541115.4
TQBR,2023-11-27,0.557,528888000,297052276.0
TQBR,2023-11-28,0.559,349671000,195146858.3
TQBR,2023-11-29,0.5649,611809000,348361849.4
TQBR,2023-11-30,0.56,252969000,141883802.1
TQBR,2023-12-01,0.5554,371598000,206507674.8
TQBR,2023-12-04,0.5615,813431000,462738739.9
TQBR,2023-12-05,0.562,286356000,159921582.2
TQBR,2023-12-06,0.5556,227506000,126967740.6
TQBR,2023-12-07,0.5549,158283000,87994971.6
TQBR,2023-12-08,0.5542,143709000,79992215.5
TQBR,2023-12-11,0.532,397171000,216161328.7
TQBR,2023-12-12,0.5272,244695000,128576071.5
TQBR,2023-12-13,0.5234,123520000,65341476.4
TQBR,2023-12-14,0.5265,198033000,104249052.7
TQBR,2023-12-15,0.548,322311000,174339234.3
TQBR,2023-12-18,0.5638,321395000,179173458.8
TQBR,2023-12-19,0.562,199889000,113170051.8
TQBR,2023-12-20,0.595,858522000,503157303.7
TQBR,2023-12-21,0.6299,1680385000,1049362231.0
TQBR,2023-12-22,0.63,894299000,573994986.6
TQBR,2023-12-25,0.6255,450208000,281515336.6
TQBR,2023-12-26,0.636,254207000,160883348.8
TQBR,2023-12-27,0.6292,287288000,182796183.3
TQBR,2023-12-28,0.625,357413000,224094125.4
TQBR,2023-12-29,0.639,145918000,92700706.1
TQBR,2024-01-03,0.6532,265418000,173283609.0
TQBR,2024-01-04,0.6525,107667000,70411342.5
TQBR,2024-01-05,0.6521,128497000,84127001.6
TQBR,2024-01-08,0.6594,218807000,144333548.6
TQBR,2024-01-09,0.6555,166235000,109404284.2
TQBR,2024-01-10,0.6689,612995000,405942371.4
TQBR,2024-01-11,0.6547,372839000,245560056.3
TQBR,2024-01-12,0.6599,284900000,187402570.2
TQBR,2024-01-15,0.6556,192495000,126896226.0
TQBR,2024-01-16,0.6513,213262000,138977802.7
TQBR,2024-01-17,0.6524,102017000,66607563.5
TQBR,2024-01-18,0.6498,223662000,145544303.1
TQBR,2024-01-19,0.6447,142874000,92362605.8
TQBR,2024-01-22,0.648,166511000,107828083.7
TQBR,2024-01-23,0.6476,150804000,97851406.5
TQBR,2024-01-24,0.6431,141194000,91038508.3
TQBR,2024-01-25,0.63,242688000,153642511.0
TQBR,2024-01-26,0.621,296611000,185141500.7
TQBR,2024-01-29,0.6459,1093927000,707120188.2
TQBR,2024-01-30,0.655,517093000,339519177.5
TQBR,2024-01-31,0.663,456007000,300608173.0
TQBR,2024-02-01,0.679,1075787000,735591278.5
TQBR,2024-02-02,0.6844,424790000,290361777.4
TQBR,2024-02-05,0.6725,424162000,286598057.8
TQBR,2024-02-06,0.6713,516671000,343202522.7
TQBR,2024-02-07,0.692,620533000,423942994.0
TQBR,2024-02-08,0.728,1025219000,727138711.1
TQBR,2024-02-09,0.7152,628436000,456478331.6
TQBR,2024-02-12,0.7085,335803000,237980113.7
TQBR,2024-02-13,0.743,593895000,436314371.4
TQBR,2024-02-14,0.7372,1058774000,796150664.1
TQBR,2024-02-15,0.75,582712000,437003046.3
TQBR,2024-02-16,0.7619,616373000,468970993.5
TQBR,2024-02-19,0.7919,897158000,704350286.3
TQBR,2024-02-20,0.8044,1054886000,841155845.2
TQBR,2024-02-21,0.7814,1252300000,971264587.2
TQBR,2024-02-22,0.7885,429595000,340304823.3
TQBR,2024-02-26,0.76,1047267000,806891603.8
TQBR,2024-02-27,0.7523,685270000,521405866.3
TQBR,2024-02-28,0.743,1124885000,822651030.8
TQBR,2024-02-29,0.7632,565047000,422433402.2
TQBR,2024-03-01,0.7646,405366000,307380619.1
TQBR,2024-03-04,0.797,606702000,473051486.9
TQBR,2024-03-05,0.791,890035000,701222727.9
TQBR,2024-03-06,0.7905,644184000,506532710.9
TQBR,2024-03-07,0.7878,564165000,446257561.3
TQBR,2024-03-11,0.788,444015000,351751524.4
TQBR,2024-03-12,0.7807,353149000,275459115.9
TQBR,2024-03-13,0.7783,210661000,164224670.3
TQBR,2024-03-14,0.7613,368471000,283063929.9
TQBR,2024-03-15,0.7765,303850000,236175544.8
TQBR,2024-03-18,0.7698,214041000,165194328.7
TQBR,2024-03-19,0.7581,300856000,229882051.8
TQBR,2024-03-20,0.7589,272458000,206435331.9
TQBR,2024-03-21,0.7846,535339000,417586977.3
TQBR,2024-03-22,0.7949,472776000,373895304.0
TQBR,2024-03-25,0.807,639240000,511307287.0
TQBR,2024-03-26,0.8039,325021000,261692238.4
TQBR,2024-03-27,0.8005,198199000,158814717.0
TQBR,2024-03-28,0.8299,1164187000,960911584.7
TQBR,2024-03-29,0.876,1470885000,1274124059.8
TQBR,2024-04-01,0.949,3021441000,2853773392.8
TQBR,2024-04-02,0.941,1596864000,1521556677.1
TQBR,2024-04-03,0.936,590310000,557804846.9
TQBR,2024-04-04,0.9409,393102000,372087367.2
TQBR,2024-04-05,0.9417,989610000,917860071.6
TQBR,2024-04-08,0.97,973515000,942039988.4
TQBR,2024-04-09,1.012,3194219000,3239863762.5
TQBR,2024-04-10,1.059,2214882000,2300931732.1
TQBR,2024-04-11,1.0484,4183026000,4547183999.2
TQBR,2024-04-12,1.1085,2551652000,2807898153.3
TQBR,2024-04-15,1.083,2459538000,2685355856.9
TQBR,2024-04-16,1.0867,698094000,759617719.0
TQBR,2024-04-17,1.06,1106158000,1175181776.7
TQBR,2024-04-18,1.0485,791693000,823281120.9
TQBR,2024-04-19,1.0688,669255000,714794639.9
TQBR,2024-04-22,1.035,834161000,872450158.3
TQBR,2024-04-23,1.0098,970415000,983918792.2
TQBR,2024-04-24,0.9851,1724069000,1729609272.5
TQBR,2024-04-25,0.938,3110550000,2978347985.8
TQBR,2024-04-26,0.958,1060462000,1014351554.6
TQBR,2024-04-27,0.964,460973000,444287569.0
TQBR,2024-04-29,0.9646,224579000,215254077.8
TQBR,2024-04-30,0.95,202558000,192458623.2
TQBR,2024-05-02,0.9275,359067000,336949635.3
TQBR,2024-05-03,0.909,543569000,500022736.6
TQBR,2024-05-06,0.9382,845181000,791633601.5
TQBR,2024-05-07,0.9399,415549000,387457384.8
TQBR,2024-05-08,0.9594,738095000,705650349.6
TQBR,2024-05-10,1.008,1812780000,1818175196.1
TQBR,2024-05-13,0.9857,1196993000,1192649659.5
TQBR,2024-05-14,0.9932,498123000,492972245.2
TQBR,2024-05-15,1.0011,782031000,781349088.5
TQBR,2024-05-16,0.9962,479131000,480053172.6
TQBR,2024-05-17,1.004,432462000,432762445.7
TQBR,2024-05-20,1.0717,2914427000,3060145054.2
TQBR,2024-05-21,1.065,840820000,886327273.1
TQBR,2024-05-22,1.0364,1342961000,1429577178.0
TQBR,2024-05-23,1.02,926203000,946916623.3
TQBR,2024-05-24,1.0033,937529000,951185671.9
TQBR,2024-05-27,0.9886,778959000,763420933.4
TQBR,2024-05-28,1.0066,534781000,529991184.2
TQBR,2024-05-29,0.983,237956000,235453216.4
TQBR,2024-05-30,0.9765,307080000,299549568.5
TQBR,2024-05-31,0.9365,543016000,517942072.0
TQBR,2024-06-03,0.9155,987968000,891457425.2
TQBR,2024-06-04,0.9187,573312000,528962525.2
TQBR,2024-06-05,0.9482,581488000,551280585.6
TQBR,2024-06-06,0.952,390731000,373330174.1
TQBR,2024-06-07,0.9301,665691000,629198078.8
TQBR,2024-06-10,0.9,375043000,344159812.6
TQBR,2024-06-11,0.9013,429736000,387922583.7
